"","GSM3351254","GSM3351255","GSM3351256","GSM3351257","GSM3351258","GSM3351259","GSM3351260","GSM3351261"
"Sbspon",0.124608012360076,1.2353191267089,1.67368590614701,1.10504131214213,1.23798629438812,1.54931076150344,2.00200717963449,1.46373135988137
"Scaf1",5.32359526334791,5.20517581710177,4.99629159411645,4.78664844901986,5.43775758579705,4.96132319338624,5.15065007565332,4.68793804313733
"Scaf11",6.82541588733954,7.24497130841268,7.14737370553938,7.63318501317314,7.28543722199442,7.53084955726803,7.65478029856505,7.75388232171384
"Scaf4",4.77154426143226,4.78829539544255,4.67176596907677,5.21002798962278,4.70698585651677,4.79871024095013,4.76874423863269,5.13448851788082
"Scaf8",5.33447568305106,5.39378344806487,5.45799043184903,5.85057650438448,5.1222617432554,5.53258731665804,5.24679270731878,5.99364080966317
"Scai",5.20410440480383,5.42114716433688,5.53236785396008,5.56556402164766,5.44433285171345,5.72602085521347,5.17529303539978,5.70955724636574
"Scamp2",5.88988477974462,6.0952374795081,6.08233869557614,5.85876356161304,5.75584132748775,5.74504195488964,6.08003629368347,5.93406923172146
"Scamp5",6.83885082339164,6.92481176796147,7.21933189686018,6.8058965419217,6.85315418972995,7.12703256539473,6.70977694649806,6.78205661540998
"Scand1",7.78316047028515,7.49657193811052,7.45690854719217,7.2603856935541,7.76409281705274,7.56482202980729,7.44532373349446,7.13076293065798
"Scaper",5.96882017142079,6.43296420261232,6.57372730666162,6.96288028023567,6.60873370060658,6.85591191187402,6.6928083922403,7.10461081379782
"Scara3",4.13852145769235,4.63313418923747,3.7347998649311,3.70515214440883,4.16995665651224,4.30642166525309,4.62408268231232,3.98417127027368
"Scarb1",4.94485261109172,4.90530915715049,5.04492886451796,5.32282764774845,4.85250773698113,4.73786082460461,5.06092575184905,5.10212383834171
"Scarb2",5.98271933212974,5.08713702050301,5.19254848175609,4.62325345011733,5.88229137579,4.81189074352742,5.22335101207428,4.59795994716854
"Scarf1",1.54060784921333,1.02312690890859,1.24458190985564,0.350896966052601,-0.039907979412243,0.47933286222699,0.77455875105779,0.0284422389265588
"Scarf2",0.124608012360076,1.02312690890859,1.32555720864291,0.525614397742465,1.56202478798207,0.977354363672057,1.30779813477215,-0.251390465684627
"Sccpdh",6.90238364672201,6.87422819831404,6.93959887371,6.59502025835087,6.8482042334282,6.6864670513045,6.88806973267251,6.5461135997042
"Scd1",4.84186026342035,5.46387742113324,4.98387168410912,4.1673843207065,5.05511349445704,5.14178059615206,5.16302417129646,4.33636400036627
"Scd2",9.53264547204724,9.87339695428591,9.56535125231535,9.28326203211719,9.3172467861466,9.49752555463196,9.61464788014813,9.37432456987909
"Scd3",1.68362025580242,3.27503368950468,1.90206509322592,2.92018390287661,2.65960856556438,3.27740201817297,2.65545971761207,3.31486545168214
"Scel",1.98922255820309,1.73134820186188,0.497651492792109,1.7697145867287,1.74358909522709,1.02340653536187,1.76281441669369,1.58398759651464
"Scfd2",3.80472522664808,3.98904545737492,4.4992458343342,4.18050768737039,3.92869695369488,4.27345296280765,3.99449467720491,4.23897176672917
"Scg2",9.72631649551655,9.67840165531853,9.88214783301924,10.6332787120193,10.0067065558615,10.0979200456674,9.51740661977702,10.6376401157775
"Scg3",8.92074035205253,8.51534280002205,8.31084867283437,8.58191135113668,8.43990636200759,8.31354842420739,8.56660809743671,8.72514993212173
"Scg5",9.21926870742309,8.88342206339655,9.38406060152643,9.4853756859227,9.27959428864262,9.1480544099264,9.08440608815758,9.36661625263794
"Scgb3a1",0.999777075803482,1.98710614760503,1.32555720864291,-0.353332804111805,1.11149511867616,0.776866983622644,1.88736227502836,-0.598888540718657
"Schip1",7.57986657435345,7.64030356160683,7.84378069962693,8.29717298054447,7.50889836061509,7.91213729220747,7.37393239306721,8.46546355330281
"Sclt1",4.97297726451107,4.93218684563072,5.10350658626407,5.44204794753378,5.00261832712874,5.21801981905803,5.36932611494337,5.69126378128724
"Scly",3.03816707879627,3.44463202677623,3.34581936873029,3.20341386495176,3.6615781507731,3.67371817694798,3.68697004344538,3.64715806709888
"Scmh1",5.0867435937855,4.98448510632104,4.86700152055022,4.94370562660663,5.22512173499995,4.66346585188578,4.862773698038,4.72437877137783
"Scml2",0.886051461963296,1.2353191267089,1.67368590614701,1.40252026093166,0.972838398197738,1.11132238083981,0.898138871338236,1.72145139496989
"Scml4",0.627561297593448,0.387125355490362,1.47502911556338,0.7298535888174,1.35427556899982,1.54931076150344,-0.0805464664565599,0.847313287757599
"Scn1a",6.22415706581814,6.81356975961727,7.54302799673511,7.52502413052346,6.81560879381373,7.52385787909818,6.88806973267251,7.32016363115146
"Scn1b",6.21829473532853,6.68175919264076,7.30169684587722,6.83038751369117,6.67172938839381,6.97860112766884,6.28074156541188,6.79457455241733
"Scn2a1",8.6219982093088,9.19040671256731,9.13269461214816,9.48845688694595,9.17228704269676,9.25551666657906,9.15541135701877,9.51464440409782
"Scn2b",7.98740008830026,8.069642344243,8.12469879603541,7.95548675437669,7.93022948082427,8.21280899777044,7.90457759003075,7.78793199705241
"Scn3b",6.53834635872801,6.70754741730302,6.35489452733052,6.47055097249215,6.68844314209348,6.70247907245361,6.30885522973443,6.24918794446724
"Scn4b",8.34436913539109,9.05634308736089,7.79218233088513,8.62854354017755,8.94889686975796,8.13628646417285,9.19887641893865,8.48972327014659
"Scn5a",2.92754530284664,1.5045476421573,2.05237130155804,1.34151208112055,3.36156358785212,3.04041383435817,1.11746047053336,0.847313287757599
"Scn7a",1.61388540571404,2.55985906036294,1.84826942624995,0.990488168694309,2.65960856556438,1.34687426462494,2.00200717963449,2.78537445223914
"Scn8a",6.92595488429084,7.52270213977503,7.51955724742762,7.74193707639584,7.44967220722906,7.6037080657936,7.38321719009023,7.7095384705978
"Scn9a",3.77308324512906,3.47628406779233,3.95439171810463,4.21067246443685,3.63882683200824,3.98429573537031,3.2956232930141,3.95100633145849
"Scnn1a",1.98922255820309,1.62240014607775,1.7923898533707,0.469693714673081,2.24325651405717,1.27254968614492,1.88736227502836,0.695391096490056
"Scoc",8.28601340151779,8.18268181812488,8.65530681103493,8.51980556683437,8.49161233865562,8.65241451381177,8.38045040227577,8.43954402875089
"Scp2",7.37906555155947,7.10939940591924,7.14737370553938,7.05423603957506,7.49471420250836,7.17627541943199,7.49511191474009,7.10083579504644
"Scpep1",4.31369000923767,4.36658056178354,4.41848752082154,4.08137699335709,4.39027826384933,4.01311254979829,4.08831248437163,4.17338665199794
"Scrg1",7.13019983059999,6.79904145627126,6.20511908005628,5.79619725302402,7.22752835437387,6.66392913220667,7.29461200564632,5.98547470622048
"Scrib",3.67376729243698,3.35666574390745,3.47567714363678,2.78923954854608,3.33350169690349,3.65920621464434,3.54290717037567,2.93986510221323
"Scrn2",2.53336124195096,2.87687423992419,2.56711822561681,2.18878617854185,2.65960856556438,2.87444494124419,2.50804757654768,2.39937432048454
"Scrn3",4.77154426143226,5.26378675915259,5.22457159693424,5.46368060735032,5.2327384238087,5.12867296260386,5.21148576468042,5.24806787002537
"Scrt1",4.63739338676217,4.67919454229554,5.5065525990973,5.27876036685504,5.25535014888447,5.01644662633094,4.89280257366516,4.81625781463167
