"ensembl_id","symbol","mean_fpkm","median_fpkm","max_fpkm","min_fpkm","sd_fpkm","cv","detected_samples","ctrl_mean","mor_mean","log2fc_mor_vs_ctrl"
"ENSMUSG00000004018","Fancl",4.32875,4.075,6.11,3.06,0.98754294662489,0.228135823649989,8,3.6375,5.02,0.464630914299322
"ENSMUSG00000074743","Thbd",4.11625,2.965,11.03,1.03,3.20364496650746,0.778292126694797,8,6.18,2.0525,-1.58975531772701
"ENSMUSG00000021287","Xrcc3",3.78625,3.35,8.63,1.75,2.11655338092043,0.559010467063832,8,5.12,2.4525,-1.06158428768067
"ENSMUSG00000000290","Itgb2",3.0725,3.25,3.82,2.06,0.666413642460254,0.216896222118878,8,2.92,3.225,0.143284080326464
"ENSMUSG00000022766","Serpind1",3.01,2.77,5.61,1.47,1.26132583305935,0.419045127262242,8,3.38,2.64,-0.356365714726284
"ENSMUSG00000021470","Ercc6l2",2.98125,3.035,3.66,1.81,0.601270975280103,0.201684184580328,8,3.085,2.8775,-0.100420849654198
"ENSMUSG00000032679","Cd59a",2.88,3.02,3.42,2.09,0.5,0.173611111111111,8,3.1525,2.6075,-0.273733499843399
"ENSMUSG00000026399","Cd55",2.535,2.59,3.61,1.59,0.698958408736069,0.275723238160185,8,2.755,2.315,-0.250940634715055
"ENSMUSG00000036103","Colec12",2.445,2.32,3.86,1.07,1.12698079588151,0.460932840851332,8,3.1675,1.7225,-0.878458716826581
"ENSMUSG00000055884","Fancm",2.25625,2.02,3.74,1.36,0.786764395664747,0.348704441291855,8,2.0275,2.485,0.293412993846212
"ENSMUSG00000068686","Cd59b",2.21375,2.215,3.21,1.12,0.665924438012945,0.300812846081511,8,2.23,2.1975,-0.0211709810314938
"ENSMUSG00000048376","F2r",2.08375,2.135,2.46,1.72,0.282131554927332,0.135396067151689,8,1.945,2.2225,0.192320694570397
"ENSMUSG00000034023","Fancd2",1.9825,2.04,3.36,0.63,0.925492147068636,0.466830843414192,8,1.7375,2.2275,0.358229893885027
"ENSMUSG00000054051","Ercc6",1.98,2.05,2.49,1.36,0.358209834753718,0.180914057956423,8,1.8925,2.0675,0.127529536350717
"ENSMUSG00000027082","Tfpi",1.96875,1.33,4.07,1.13,1.22873265138167,0.624118172130372,8,2.695,1.2425,-1.11641398896495
"ENSMUSG00000028933","Xrcc2",1.95625,1.95,2.46,1.55,0.277382536271791,0.141792989787497,8,2.0175,1.895,-0.090324622582251
"ENSMUSG00000001128","Cfp",1.8175,1.98,2.22,1.28,0.362993506435426,0.199721324035998,8,1.6725,1.9625,0.230559046979867
"ENSMUSG00000031196","F8",1.76625,1.725,2.27,1.28,0.378792725077223,0.214461557014705,8,1.735,1.7975,0.0510272116909006
"ENSMUSG00000016493","Cd46",1.44875,1.385,1.94,0.95,0.312429992158243,0.215654869479374,8,1.475,1.4225,-0.0522502283181308
"ENSMUSG00000015083","C8g",1.38875,1.42,1.85,0.86,0.320331859171079,0.230662004803657,8,1.3975,1.38,-0.0181669342181407
"ENSMUSG00000049130","C5ar1",1.21,1.19,2.43,0.48,0.594258241123215,0.491122513324971,8,0.9175,1.5025,0.710973241462653
"ENSMUSG00000040552","C3ar1",1.1,1.025,2,0.61,0.461054691518727,0.419140628653388,8,1.3375,0.8625,-0.632349056111853
"ENSMUSG00000001930","Vwf",1.08125,0.97,3.78,0.12,1.17644060623561,1.08803755489998,8,1.73,0.4325,-1.9975018261448
"ENSMUSG00000039109","F13a1",1.00375,0.84,2.39,0.37,0.707549846805358,0.704906447626758,8,1.45,0.5575,-1.37741833358343
"ENSMUSG00000047757","Fancb",0.99125,1.09,1.5,0.47,0.384092157840128,0.387482630860154,8,0.8725,1.11,0.346979208472332
"ENSMUSG00000024371","C2",0.815,0.305,2.68,0.16,0.903927936444999,1.10911403244785,8,1.3775,0.2525,-2.44304161500685
"ENSMUSG00000030111","A2m",0.6725,0.62,1.3,0.18,0.369430062973456,0.549338383603652,8,0.725,0.62,-0.225376279775269
"ENSMUSG00000021492","F12",0.58875,0.57,1.32,0.12,0.399515331370399,0.678582303813842,8,0.7325,0.445,-0.717753255753085
"ENSMUSG00000028979","Masp2",0.5325,0.435,1.27,0.16,0.379011873164945,0.711759386225248,8,0.755,0.31,-1.28147165409047
