"ensembl_id","symbol","mean_fpkm","median_fpkm","max_fpkm","min_fpkm","sd_fpkm","cv","detected_samples","ctrl_mean","mor_mean","log2fc_mor_vs_ctrl"
"ENSMUSG00000000439","Mkrn2",7.1425,7.115,8.86,5.57,0.995758863523551,0.139413211553875,8,7.855,6.43,-0.288751840175925
"ENSMUSG00000000440","Pparg",0.81875,0.615,1.9,0.23,0.589489791502545,0.719987531606162,8,0.6775,0.96,0.502187615354896
"ENSMUSG00000000441","Raf1",30.75,31.575,34.66,26.13,3.28750882671276,0.10691085615326,8,30.66,30.84,0.00844479362725342
"ENSMUSG00000000489","Pdgfb",5.7775,6.015,9.13,2.97,1.96746936806795,0.340539916584674,8,4.6025,6.9525,0.595008185501949
"ENSMUSG00000000530","Acvrl1",3.295,2.935,6.49,1.45,1.64495766337183,0.499228425909509,8,4.425,2.165,-1.03097020819268
"ENSMUSG00000000531","Grasp",24.515,27.3,33.02,3.64,10.0523629063022,0.410049476088198,8,25.0925,23.9375,-0.0679809544836188
"ENSMUSG00000000532","Acvr1b",11.43125,11.665,13.93,9.56,1.30398770261511,0.114072188309687,8,12.0675,10.795,-0.160749492018056
"ENSMUSG00000000538","Tom1l2",71.77125,72.68,78.82,60.81,5.10700202103515,0.0711566542457481,8,70.9275,72.615,0.0339220247931617
"ENSMUSG00000000552","Znf385a",19.265,17.81,25.43,14.73,3.44532395325275,0.178838513015974,8,21.6275,16.9025,-0.355611615061572
"ENSMUSG00000000555","Itga5",0.795,0.52,2.68,0.31,0.783800266102824,0.985912284406068,8,1.21,0.38,-1.66833596220101
"ENSMUSG00000000560","Gabra2",13.93625,13.97,17.31,10.69,2.47044205124739,0.177267346039817,8,12.3725,15.5,0.325107647129655
"ENSMUSG00000000561","Wdr77",21,20.81,24.13,18.46,1.97036617336546,0.0938269606364506,8,19.8825,22.1175,0.153681820163344
"ENSMUSG00000000562","Adora3",0.7275,0.685,1.09,0.37,0.259546307456465,0.356764683788955,8,0.6825,0.7725,0.178459953842976
"ENSMUSG00000000563","Atp5pb",228.45625,219.705,279.33,216.39,21.1650601143218,0.0926438218009874,8,236.005,220.9075,-0.0953746067931992
