"SYMBOL","ENSEMBL","ENTREZID"
"Map3k6","ENSMUSG00000028862","53608"
"Map6","ENSMUSG00000055407","17760"
"Marchf7","ENSMUSG00000026977","57438"
"Mark1","ENSMUSG00000026620","226778"
"Mark3","ENSMUSG00000007411","17169"
"Mark4","ENSMUSG00000030397","232944"
"Masp2","ENSMUSG00000028979","17175"
"Matn2","ENSMUSG00000022324","17181"
"Max","ENSMUSG00000059436","17187"
"Mbd1","ENSMUSG00000024561","17190"
"Mcat","ENSMUSG00000048755","223722"
"Mcl1","ENSMUSG00000038612","17210"
"Mcmdc2","ENSMUSG00000046101","240697"
"Mdfic2","ENSMUSG00000090667","330390"
"Med14","ENSMUSG00000064127","26896"
"Med7","ENSMUSG00000020397","66213"
"Med8","ENSMUSG00000006392","80509"
"Megf9","ENSMUSG00000039270","230316"
"Mettl6","ENSMUSG00000021891","67011"
"Mex3d","ENSMUSG00000048696","237400"
"Mfn2","ENSMUSG00000029020","170731"
"Mid1","ENSMUSG00000035299","17318"
"Mid1-ps1","ENSMUSG00000095134","107988026"
"Midn","ENSMUSG00000035621","59090"
"Miip","ENSMUSG00000029022","28010"
"Mir22hg","ENSMUSG00000085148","100042498"
"Mir6236","ENSMUSG00000098973","102465959"
"Mitd1","ENSMUSG00000026088","69028"
"Mknk1","ENSMUSG00000028708","17346"
"Mllt11","ENSMUSG00000053192","56772"
"Mmachc","ENSMUSG00000028690","67096"
"Mocs1","ENSMUSG00000064120","56738"
"Mon1b","ENSMUSG00000078908","270096"
"Morc2b","ENSMUSG00000048602","240069"
"Morf4l1","ENSMUSG00000062270","21761"
"Morf4l1b","ENSMUSG00000062270","627352"
"Mroh7","ENSMUSG00000047502","381538"
"Mrpl3","ENSMUSG00000032563","94062"
"Mrpl40","ENSMUSG00000022706","18100"
"Mrps10","ENSMUSG00000034729","64657"
"Msl1","ENSMUSG00000052915","74026"
"mt-Nd4l","ENSMUSG00000065947","17720"
"Mterf1a","ENSMUSG00000040429","545725"
"Mtif2","ENSMUSG00000020459","76784"
"Mtmr3","ENSMUSG00000034354","74302"
"Mtmr9","ENSMUSG00000035078","210376"
"Mto1","ENSMUSG00000032342","68291"
"Mtus2","ENSMUSG00000029651","77521"
"Mvb12b","ENSMUSG00000038740","72543"
"Mycn","ENSMUSG00000037169","18109"
"Myo7a","ENSMUSG00000030761","17921"
"Myorg","ENSMUSG00000046312","329828"
"N4bp2l1","ENSMUSG00000041132","100637"
"N4bp3","ENSMUSG00000001053","212706"
"Nabp2","ENSMUSG00000025374","69917"
"Naga","ENSMUSG00000022453","17939"
"Ndn","ENSMUSG00000033585","17984"
"Ndufs5","ENSMUSG00000028648","595136"
"Necap2","ENSMUSG00000028923","66147"
"Nelfcd","ENSMUSG00000016253","57314"
"Neto2","ENSMUSG00000036902","74513"
"Nfil3","ENSMUSG00000056749","18030"
"Nfkbid","ENSMUSG00000036931","243910"
"Nfu1","ENSMUSG00000029993","56748"
"Nfya","ENSMUSG00000023994","18044"
"Nhlrc3","ENSMUSG00000042997","212114"
"Ninl","ENSMUSG00000068115","78177"
"Nlrp10","ENSMUSG00000049709","244202"
"Nop53","ENSMUSG00000041560","68077"
"Nostrin","ENSMUSG00000034738","329416"
"Npas4","ENSMUSG00000045903","225872"
"Npsr1","ENSMUSG00000043659","319239"
"Nr4a1","ENSMUSG00000023034","15370"
"Nr4a3","ENSMUSG00000028341","18124"
"Nrsn1","ENSMUSG00000048978","22360"
"Nsdhl","ENSMUSG00000031349","18194"
"Nsun3","ENSMUSG00000050312","106338"
"Ntrk3","ENSMUSG00000059146","18213"
"Nucks1","ENSMUSG00000026434","98415"
"Nudt3","ENSMUSG00000024213","56409"
"Nufip2","ENSMUSG00000037857","68564"
"Numbl","ENSMUSG00000063160","18223"
"Nup54","ENSMUSG00000034826","269113"
"Oat","ENSMUSG00000030934","18242"
"Ocrl","ENSMUSG00000001173","320634"
"Odc1","ENSMUSG00000011179","18263"
"Olig2","ENSMUSG00000039830","50913"
"Oxsm","ENSMUSG00000021786","71147"
"P2rx3","ENSMUSG00000027071","228139"
