"SYMBOL","ENSEMBL","ENTREZID"
"Fam114a2","ENSMUSG00000020523","67726"
"Fam135b","ENSMUSG00000036800","70363"
"Fam181a","ENSMUSG00000096753","100504156"
"Fam181b","ENSMUSG00000051515","58238"
"Fancc","ENSMUSG00000021461","14088"
"Fat3","ENSMUSG00000074505","270120"
"Fbxl14","ENSMUSG00000030019","101358"
"Fbxl17","ENSMUSG00000023965","50758"
"Fbxl4","ENSMUSG00000040410","269514"
"Fbxo11","ENSMUSG00000005371","225055"
"Fbxo34","ENSMUSG00000037536","78938"
"Fbxo38","ENSMUSG00000042211","107035"
"Fbxo44","ENSMUSG00000029001","230903"
"Fcho2","ENSMUSG00000041685","218503"
"Fes","ENSMUSG00000053158","14159"
"Fgfbp3","ENSMUSG00000047632","72514"
"Fhip1b","ENSMUSG00000044465","74349"
"Fhit","ENSMUSG00000060579","14198"
"Fip1l1","ENSMUSG00000029227","66899"
"Fkbp5","ENSMUSG00000024222","14229"
"Flcn","ENSMUSG00000032633","216805"
"Fnbp1l","ENSMUSG00000039735","214459"
"Fndc3b","ENSMUSG00000039286","72007"
"Fosl2","ENSMUSG00000029135","14284"
"Fry","ENSMUSG00000056602","320365"
"Fzd3","ENSMUSG00000007989","14365"
"Fzd9","ENSMUSG00000049551","14371"
"G530011O06Rik","ENSMUSG00000072844","654820"
"Gabra2","ENSMUSG00000000560","14395"
"Galc","ENSMUSG00000021003","14420"
"Garem1","ENSMUSG00000042680","381126"
"Gas5","ENSMUSG00000053332","14455"
"Gba2","ENSMUSG00000028467","230101"
"Gbf1","ENSMUSG00000025224","107338"
"Gcc2","ENSMUSG00000038039","70297"
"Gdap1","ENSMUSG00000025777","14545"
"Gdpd5","ENSMUSG00000035314","233552"
"Gemin5","ENSMUSG00000037275","216766"
"Gfm1","ENSMUSG00000027774","28030"
"Gfpt2","ENSMUSG00000020363","14584"
"Gigyf2","ENSMUSG00000048000","227331"
"Gimap1","ENSMUSG00000090019","16205"
"Gja1","ENSMUSG00000050953","14609"
"Gls","ENSMUSG00000026103","14660"
"Gm10036","ENSMUSG00000058064","100040551"
"Gm10263","ENSMUSG00000066407","100042864"
"Gm10654","ENSMUSG00000074252","665828"
"Gm12371","ENSMUSG00000084898","100042132"
"Gm12901","ENSMUSG00000083720","194197"
"Gm13375","ENSMUSG00000075514","433408"
"Gm13611","ENSMUSG00000066068","100504319"
"Gm14295","ENSMUSG00000078877","100039123"
"Gm14418","ENSMUSG00000078867","668066"
"Gm15328","ENSMUSG00000086095","328906"
"Gm15459","ENSMUSG00000100801","727711"
"Gm16835","ENSMUSG00000087479","102635192"
"Gm18733","ENSMUSG00000092444","100417644"
"Gm29514","ENSMUSG00000099964","102639375"
"Gm43305","ENSMUSG00000105703","108168162"
"Gm4366","ENSMUSG00000107383","100043330"
"Gm5815","ENSMUSG00000046952","545216"
"Gm5835","ENSMUSG00000101795","545369"
"Gm6206","ENSMUSG00000048949","621205"
"Gm6368","ENSMUSG00000080775","622901"
"Gm7027","ENSMUSG00000067121","630138"
"Gmeb1","ENSMUSG00000028901","56809"
"Gnai3","ENSMUSG00000000001","14679"
"Golga4","ENSMUSG00000038708","54214"
"Gopc","ENSMUSG00000019861","94221"
"Gpank1","ENSMUSG00000092417","81845"
"Gpatch8","ENSMUSG00000034621","237943"
"Gpr137c","ENSMUSG00000049092","70713"
"Gpr158","ENSMUSG00000045967","241263"
"Gpr19","ENSMUSG00000032641","14760"
"Gpr68","ENSMUSG00000047415","238377"
"Gramd1b","ENSMUSG00000040111","235283"
"Gria1","ENSMUSG00000020524","14799"
"Grin2a","ENSMUSG00000059003","14811"
"Gspt1","ENSMUSG00000062203","14852"
"Gstt1","ENSMUSG00000001663","14871"
"Gtf2h4","ENSMUSG00000001524","14885"
"Gtf3a","ENSMUSG00000016503","66596"
"Gtf3c1","ENSMUSG00000032777","233863"
"Gtpbp6","ENSMUSG00000033434","107999"
"Gucy1a2","ENSMUSG00000041624","234889"
"Gzf1","ENSMUSG00000027439","74533"
"H2-DMb1","ENSMUSG00000079547","14999"
"H2-K1","ENSMUSG00000061232","14972"
"H2-T10","ENSMUSG00000079491","15024"
"H2-T22","ENSMUSG00000056116","15039"
"H2-T23","ENSMUSG00000067212","15040"
"Haus4","ENSMUSG00000022177","219072"
"Hcfc1","ENSMUSG00000031386","15161"
"Hectd1","ENSMUSG00000035247","207304"
"Helz","ENSMUSG00000020721","78455"
"Herc2","ENSMUSG00000030451","15204"
