"gene","effect_size","pval","adj_pval","significant"
"ZBTB16",0.132684207620063,0.00134386484715682,0.0874058485651739,FALSE
"TLE4",-0.132770567418735,0.00133414965683318,0.0874058485651739,FALSE
"ADAMTS14",0.132587771899846,0.0013547906527602,0.0874058485651739,FALSE
"PDE4D",-0.132295826523193,0.00138836845935312,0.0881503783716267,FALSE
"NECAB1",0.131593035130299,0.00147237096196886,0.0918121445650917,FALSE
"HPN-AS1",0.13143457317851,0.00149194734918274,0.0918121445650917,FALSE
"CERCAM",0.130050936800085,0.00167335348388625,0.101415362659773,FALSE
"DPP10",-0.12962924566226,0.00173254890760074,0.103435755677656,FALSE
"IQGAP1",0.129387739736939,0.00176731181583778,0.103959518578693,FALSE
"STK3",0.128961196718917,0.0018302798282161,0.10610317844731,FALSE
"DPYSL5",-0.12819491809862,0.00194860447659113,0.111348827233779,FALSE
"LRP1B",0.12661095130552,0.00221575258560069,0.121085092342628,FALSE
"ST6GALNAC3",-0.126705374506814,0.00219893142426995,0.121085092342628,FALSE
"AL359091.1",0.126911031745137,0.0021626986568128,0.121085092342628,FALSE
"CPQ",-0.126475580437739,0.00224007420833862,0.121085092342628,FALSE
"GLUL",0.125453271275518,0.0024317972980092,0.129695855893824,FALSE
"CNDP1",0.124903243885818,0.00254105428652435,0.13327422837216,FALSE
"P4HA1",0.124783003610997,0.00256552889616408,0.13327422837216,FALSE
"CLMN",0.124467415904722,0.0026307949005745,0.13491255900382,FALSE
"NRXN1",-0.123739179574442,0.00278723126990747,0.141125633919366,FALSE
"SEMA3B",0.123259892551138,0.00289477698001067,0.144738849000534,FALSE
"PRKN",-0.122175958699638,0.00315210223732011,0.155659369744203,FALSE
"SYNDIG1",-0.121905067590511,0.00321958757971863,0.157053052669201,FALSE
"MAML2",-0.121464961804254,0.00333204006082231,0.158668574324872,FALSE
"MOG",0.121505635597411,0.0033214993527901,0.158668574324872,FALSE
"POLR2F",0.121036705540846,0.00344488724205511,0.162112340802593,FALSE
"MATN2",0.12081521065856,0.003504606883023,0.163004971303395,FALSE
"BAALC",0.120106556235769,0.00370205824068092,0.17020957428418,FALSE
"DAAM2",-0.118952121055768,0.00404546545163649,0.183884793256204,FALSE
"PLD5",-0.118423297661564,0.00421222596107007,0.187210042714225,FALSE
"LDLRAD3",-0.118426814771834,0.0042110965686102,0.187210042714225,FALSE
"MTRNR2L12",-0.118140352533164,0.00430398875346545,0.189186318833646,FALSE
"RFTN2",-0.117922298697878,0.00437593903560389,0.190258218939299,FALSE
"HIVEP2",0.116789327911912,0.0047676299897047,0.205059354395901,FALSE
"AC087564.1",-0.116578292599225,0.00484400165011386,0.206127729792079,FALSE
"KIF6",-0.116186638381093,0.004988676926789,0.210049554812168,FALSE
"YPEL2",-0.115930862220073,0.00508525690934086,0.210178142688015,FALSE
"ANKRD44",-0.115900534354319,0.00509681996018436,0.210178142688015,FALSE
"RETREG1",0.115745485797672,0.00515630720471868,0.210461518559946,FALSE
"FOXN3",-0.11543738170798,0.00527638275585155,0.213187182054608,FALSE
"AC110285.1",0.114926781215737,0.00548094705017466,0.219237882006986,FALSE
"ZNF521",-0.114123714974143,0.00581719544086354,0.230383977855982,FALSE
"CNTNAP4",-0.11373963839805,0.00598449240247389,0.234240020529198,FALSE
"CD55",0.11348265299908,0.00609883867665655,0.234240020529198,FALSE
"PPP1R9A",-0.113371727234555,0.00614880053889146,0.234240020529198,FALSE
"SOBP",-0.113479449971152,0.0061002762043235,0.234240020529198,FALSE
"FBXL17",-0.110734443950878,0.00745052248819351,0.28097988070801,FALSE
"PLLP",0.110612647936135,0.00751621180893926,0.28097988070801,FALSE
"ANLN",-0.110351734753799,0.00765868323518137,0.283654934636347,FALSE
"BCAT1",0.110100454745417,0.00779817775351239,0.286171660679354,FALSE
"ARHGEF3",0.108692856059881,0.00862250579167679,0.313545665151883,FALSE
"AC025159.1",0.108033549873953,0.00903474416303662,0.322669434394165,FALSE
"PELI2",-0.108157804862171,0.00895573223628332,0.322669434394165,FALSE
"SH3PXD2B",0.107854882277757,0.00914944726184758,0.323874239357437,FALSE
"PLXDC2",-0.107593401719347,0.00931965915212235,0.327005584284995,FALSE
"IMMP2L",-0.107441542523791,0.00941980430859313,0.327645367255413,FALSE
"GPR155",0.106923978440403,0.00976836696092503,0.336840240031898,FALSE
"NT5DC1",-0.105994269082099,0.0104234618818133,0.347743786193208,FALSE
"AC105402.3",-0.106038687307727,0.0103912961118496,0.347743786193208,FALSE
