"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene","significant"
5.55175271736923e-71,0.733132326189301,0.694,0.735,1.35873596004894e-66,"8","Rpl12",TRUE
1.77555597977189e-70,1.5738771087734,0.305,0.204,4.34549570489371e-66,"8","Limd2",TRUE
4.37281266346667e-70,1.56299364377725,0.351,0.258,1.07020217125683e-65,"8","Cmtm6",TRUE
7.21313749602342e-70,1.27313243398099,0.43,0.352,1.76534327077677e-65,"8","Smap2",TRUE
1.97169214544968e-69,1.6032436197042,0.368,0.277,4.82551935677354e-65,"8","Ssh2",TRUE
2.25625017096781e-68,1.31100040772852,0.443,0.373,5.52194666842663e-64,"8","Gng10",TRUE
7.22386679784335e-66,1.17043602601183,0.436,0.359,1.76796916010418e-61,"8","Hexa",TRUE
9.38777383271815e-66,1.43016716694167,0.293,0.191,2.29756376781944e-61,"8","Cd68",TRUE
4.18526381172294e-65,0.505848298980617,0.766,0.797,1.02430146528107e-60,"8","Rpl3",TRUE
6.80894082296531e-65,0.318157725825208,0.821,0.821,1.66642017701253e-60,"8","Calm2",TRUE
9.60324504831905e-65,1.52190437996424,0.454,0.412,2.3502981931256e-60,"8","Ppp1r10",TRUE
1.15475524708564e-64,0.469658978126387,0.779,0.774,2.8261479917174e-60,"8","Psap",TRUE
1.32165213524751e-63,1.36600760604272,0.294,0.192,3.23461143580475e-59,"8","Otulinl",TRUE
1.03172834585744e-62,0.624948341678797,0.759,0.81,2.5250519536515e-58,"8","Rpl32",TRUE
4.41101598417707e-62,0.958879726725834,0.539,0.519,1.0795520519675e-57,"8","Pabpc1",TRUE
2.6376130866891e-61,1.08737671010617,0.324,0.219,6.4552942683629e-57,"8","Coro1a",TRUE
3.17645591951305e-60,0.514479157513988,0.796,0.84,7.77405821741624e-56,"8","Rpl19",TRUE
3.21261312465394e-60,0.492837773953533,0.744,0.772,7.86254936127806e-56,"8","Rpsa",TRUE
4.63789184536916e-60,1.91039244281137,0.265,0.176,1.13507765023565e-55,"8","Il6ra",TRUE
9.87144420463856e-60,1.16251585600556,0.312,0.207,2.41593725464324e-55,"8","Atf3",TRUE
1.20793576822102e-59,0.539858768773435,0.862,0.891,2.95630199914413e-55,"8","Rps21",TRUE
9.33671452948123e-59,0.623327815856165,0.758,0.8,2.28506751394524e-54,"8","Rps28",TRUE
3.7017393741344e-57,2.17811685438431,0.373,0.323,9.05963694425653e-53,"8","Dleu2",TRUE
3.74967591196782e-57,0.267999015382279,0.152,0.332,9.17695682695005e-53,"8","Zfp292",TRUE
5.87962039470642e-57,0.566767267706211,0.745,0.79,1.43897829540045e-52,"8","Rps19",TRUE
4.83863328548937e-56,0.582767170719627,0.782,0.816,1.18420711029067e-51,"8","Rps27",TRUE
7.94588023448962e-56,0.602688961825688,0.621,0.616,1.94467472858899e-51,"8","Ctsb",TRUE
4.64246058147838e-55,0.562054330749402,0.741,0.786,1.13619580271102e-50,"8","Rpl6",TRUE
9.16370116339753e-55,0.375744402644126,0.902,0.903,2.24272422272991e-50,"8","Rpl13",TRUE
2.01349140331339e-54,0.258042932443046,0.106,0.257,4.92781886046918e-50,"8","Cdk13",TRUE
6.91260765049684e-54,0.695505378899398,0.667,0.709,1.6917915963826e-49,"8","Rps6",TRUE
1.18225302580275e-53,0.450331277316941,0.835,0.854,2.89344605534965e-49,"8","Rps8",TRUE
3.1616759428915e-53,1.0720481255671,0.393,0.314,7.73788570263266e-49,"8","Arpc1b",TRUE
3.74357994583375e-53,0.327036916867838,0.115,0.269,9.16203755943352e-49,"8","Tnrc18",TRUE
4.11402427229085e-52,0.304577159444194,0.742,0.629,1.00686630040046e-47,"8","Marcks",TRUE
8.73891860736216e-52,2.62094268386463,0.267,0.196,2.13876293996582e-47,"8","Fbxl18",TRUE
1.71357912767203e-51,1.58145419149966,0.371,0.312,4.19381355706454e-47,"8","Tanc2",TRUE
1.75640183149153e-51,0.60625271698177,0.71,0.773,4.29861784239237e-47,"8","Rps25",TRUE
3.8769385537023e-51,0.575292298299388,0.688,0.741,9.488419416331e-47,"8","Rps5",TRUE
