Contrast,Method,TF,Activity_Score,P_value
Control_DLPFC_vs_NAC_full,DoRothEA,NCOA3,1.1672816717497791,0.2430966378422248
Control_DLPFC_vs_NAC_full,DoRothEA,SIX5,-1.1622190954962575,0.24514648000185377
Control_DLPFC_vs_NAC_full,DoRothEA,E2F2,-1.160843269192809,0.2457056430498864
Control_DLPFC_vs_NAC_full,DoRothEA,BATF,-1.1420818899377847,0.25341998241502306
Control_DLPFC_vs_NAC_full,DoRothEA,ZNF384,1.1343375085741843,0.25665300123909435
Control_DLPFC_vs_NAC_full,DoRothEA,KLF5,-1.115049248111881,0.26482931820888683
Control_DLPFC_vs_NAC_full,DoRothEA,IKZF1,-1.1037306717870274,0.26970998640501015
Control_DLPFC_vs_NAC_full,DoRothEA,BHLHE40,-1.0994261752454035,0.2715822187462578
Control_DLPFC_vs_NAC_full,DoRothEA,NR1H3,-1.0888224620628872,0.2762321842380736
Control_DLPFC_vs_NAC_full,DoRothEA,CREM,1.0836573278591937,0.278516762360519
Control_DLPFC_vs_NAC_full,DoRothEA,POU2F1,-1.0769970643845104,0.28148157718117417
Control_DLPFC_vs_NAC_full,DoRothEA,STAT3,-1.0756284390954352,0.28209346328868307
Control_DLPFC_vs_NAC_full,DoRothEA,PDX1,1.0747541881967042,0.2824847959035601
Control_DLPFC_vs_NAC_full,DoRothEA,WT1,1.0682792683355542,0.28539455731178753
Control_DLPFC_vs_NAC_full,DoRothEA,PAX5,-1.0218256854212386,0.3068634102289677
Control_DLPFC_vs_NAC_full,DoRothEA,USF2,-0.9923035933373875,0.3210494509712387
Control_DLPFC_vs_NAC_full,DoRothEA,FLI1,-0.9686335527450727,0.33272805638940495
Control_DLPFC_vs_NAC_full,DoRothEA,ZNF217,0.9538142900218738,0.3401776546618307
Control_DLPFC_vs_NAC_full,DoRothEA,ZNF263,-0.9519554796062482,0.3411195609923953
Control_DLPFC_vs_NAC_full,DoRothEA,STAT5B,-0.9345042815799305,0.3500438284319679
Control_DLPFC_vs_NAC_full,DoRothEA,ZNF740,0.9107353670990979,0.36243482452821335
Control_DLPFC_vs_NAC_full,DoRothEA,CEBPB,-0.8977156253314601,0.36933717697811014
Control_DLPFC_vs_NAC_full,DoRothEA,E2F7,-0.8967834438075742,0.3698344841267358
Control_DLPFC_vs_NAC_full,DoRothEA,FOXA1,0.8946012855486454,0.37100026438932743
Control_DLPFC_vs_NAC_full,DoRothEA,TP53,-0.8867689866287981,0.37520328804471953
Control_DLPFC_vs_NAC_full,DoRothEA,SP4,0.8685955013806719,0.3850684159332737
Control_DLPFC_vs_NAC_full,DoRothEA,HOXA9,0.8600441437834058,0.38976470930110607
Control_DLPFC_vs_NAC_full,DoRothEA,ESR2,-0.8495590223325493,0.3955703024452309
Control_DLPFC_vs_NAC_full,DoRothEA,PROX1,0.8304857740019322,0.40626418776840445
Control_DLPFC_vs_NAC_full,DoRothEA,GATA3,-0.830070673648695,0.4064988267270752
Control_DLPFC_vs_NAC_full,DoRothEA,MXI1,-0.8124211394179036,0.4165500203523986
Control_DLPFC_vs_NAC_full,DoRothEA,SOX6,0.8024458613597331,0.42229509332652787
Control_DLPFC_vs_NAC_full,DoRothEA,TCF3,-0.7937118005414306,0.4273632288421401
Control_DLPFC_vs_NAC_full,DoRothEA,E2F3,-0.7932456657219147,0.42763470635179757
Control_DLPFC_vs_NAC_full,DoRothEA,FOXO1,-0.7849705963218166,0.4324708085123603
Control_DLPFC_vs_NAC_full,DoRothEA,SOX10,-0.7829824573789681,0.43363741370115433
Control_DLPFC_vs_NAC_full,DoRothEA,ZFX,0.7783809342941042,0.4363444751268272
Control_DLPFC_vs_NAC_full,DoRothEA,SREBF1,0.7761885055687118,0.43763769189929075
Control_DLPFC_vs_NAC_full,DoRothEA,PBX3,0.7714985349175115,0.44041149047421474
Control_DLPFC_vs_NAC_full,DoRothEA,HMBOX1,-0.7706456997712618,0.4409169655824236
Control_DLPFC_vs_NAC_full,DoRothEA,ARID2,0.7632946907885387,0.44528766768497474
Control_DLPFC_vs_NAC_full,DoRothEA,SP2,0.7610004347443705,0.446656807580115
Control_DLPFC_vs_NAC_full,DoRothEA,NEUROD1,-0.7581570634732252,0.44835696183016477
Control_DLPFC_vs_NAC_full,DoRothEA,ETV4,-0.7559842597438783,0.4496586329878388
Control_DLPFC_vs_NAC_full,DoRothEA,ERG,-0.7546246479772359,0.4504742302464768
Control_DLPFC_vs_NAC_full,DoRothEA,ONECUT1,0.7510633917650091,0.4526145060706254
Control_DLPFC_vs_NAC_full,DoRothEA,NFE2L2,0.7502474575881553,0.45310568109924426
Control_DLPFC_vs_NAC_full,DoRothEA,EPAS1,-0.7469134176843321,0.45511582610360546
Control_DLPFC_vs_NAC_full,DoRothEA,ETS2,-0.7453502582935252,0.4560600058384459
Control_DLPFC_vs_NAC_full,DoRothEA,PKNOX1,0.7206607426450203,0.4711182714299316
Control_DLPFC_vs_NAC_full,DoRothEA,CLOCK,0.7032696928670938,0.48188769417022237
Control_DLPFC_vs_NAC_full,DoRothEA,TP73,-0.6998268266164196,0.48403545914115786
Control_DLPFC_vs_NAC_full,DoRothEA,CTCF,-0.6976486406322449,0.4853969546698725
Control_DLPFC_vs_NAC_full,DoRothEA,SMAD5,0.6969240665500096,0.4858503155785195
Control_DLPFC_vs_NAC_full,DoRothEA,RUNX1,-0.6483986231125608,0.516727160651599
Control_DLPFC_vs_NAC_full,DoRothEA,ZKSCAN1,-0.6441426071615347,0.5194829636063631
Control_DLPFC_vs_NAC_full,DoRothEA,ZNF143,0.634960009930568,0.5254544968568851
Control_DLPFC_vs_NAC_full,DoRothEA,BACH1,0.6298775710181345,0.5287746884349658
Control_DLPFC_vs_NAC_full,DoRothEA,SNAI2,0.6262866436574848,0.5311269453158065
Control_DLPFC_vs_NAC_full,DoRothEA,NRF1,0.6189201336145856,0.5359689742369602
Control_DLPFC_vs_NAC_full,DoRothEA,NFE2,-0.618069543899181,0.5365294974114251
Control_DLPFC_vs_NAC_full,DoRothEA,TCF4,0.6130487383214072,0.5398441136817562
Control_DLPFC_vs_NAC_full,DoRothEA,CEBPA,-0.6129568309845488,0.5399048841105147
Control_DLPFC_vs_NAC_full,DoRothEA,SMAD1,0.598975542305112,0.5491891942750287
Control_DLPFC_vs_NAC_full,DoRothEA,EOMES,-0.5914964697718904,0.5541878198138841
Control_DLPFC_vs_NAC_full,DoRothEA,PRDM14,0.591085280890705,0.5544632815877188
Control_DLPFC_vs_NAC_full,DoRothEA,HSF1,0.5771290955917133,0.5638522506630933
