gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
CARS,1.166479389609018,6.31304697701409,2.5332385595790673e-06,0.0010077958575230599,OUD_vs_Control_Female,True,True,True,True,True,Up
FGF20,-4.246242251428369,2.1265710867183394,2.5734188869100474e-06,0.0010077958575230599,OUD_vs_Control_Female,True,True,True,True,True,Down
AL445623.2,-3.6113861369774374,2.018336685170461,2.5757890326644584e-06,0.0010077958575230599,OUD_vs_Control_Female,True,True,True,True,True,Down
TMEM165,0.8211068081498387,9.944726833406483,2.8508663293773488e-06,0.001099711648295589,OUD_vs_Control_Female,False,True,True,False,True,Up
CD84,-2.606954228355106,3.700158648093668,2.9138762821925843e-06,0.0011084061613429238,OUD_vs_Control_Female,True,True,True,True,True,Down
AC103719.1,-5.29742386343672,0.24652920636769057,3.0364731243556378e-06,0.0011295358500941306,OUD_vs_Control_Female,True,True,True,True,True,Down
OBI1-AS1,-2.3001577633807337,6.945980885089905,3.051907875966323e-06,0.0011295358500941306,OUD_vs_Control_Female,True,True,True,True,True,Down
ACY3,-4.243056905487671,0.7873685586419361,3.3195230037242808e-06,0.0012122012803466747,OUD_vs_Control_Female,True,True,True,True,True,Down
GPR155,1.232450323612082,6.377740347167261,3.3877018780210822e-06,0.0012208207767794921,OUD_vs_Control_Female,True,True,True,True,True,Up
MIR4300HG,-1.2147034799995466,6.068286383869429,3.740798640054577e-06,0.0013305583526469448,OUD_vs_Control_Female,True,True,True,True,True,Down
SELPLG,-3.148060684410071,2.6945236908103745,3.892488193800519e-06,0.0013667623929719053,OUD_vs_Control_Female,True,True,True,True,True,Down
MIR31HG,-1.9506436795393745,3.7295760496603534,3.976371345874543e-06,0.001378542511655848,OUD_vs_Control_Female,True,True,True,True,True,Down
SOCS3,3.4418820212156644,3.6825551027294723,4.213750627248527e-06,0.0014278087522479096,OUD_vs_Control_Female,True,True,True,True,True,Up
PRDM11,-1.3156947637548744,5.19261137335646,4.3343030780100955e-06,0.0014278087522479096,OUD_vs_Control_Female,True,True,True,True,True,Down
RGS18,-2.5089845161717923,2.430498743129863,4.3554574163086975e-06,0.0014278087522479096,OUD_vs_Control_Female,True,True,True,True,True,Down
HAMP,4.3359411153795895,3.7178146436350126,4.46224999635154e-06,0.0014278087522479096,OUD_vs_Control_Female,True,True,True,True,True,Up
DNAH7,-2.514022466887093,4.2807339572547916,4.465475165474657e-06,0.0014278087522479096,OUD_vs_Control_Female,True,True,True,True,True,Down
STAT3,1.4203231733423287,7.129509235126421,4.497976867906152e-06,0.0014278087522479096,OUD_vs_Control_Female,True,True,True,True,True,Up
PIP4K2A,0.6472830254030731,11.230660119717575,4.530083507635664e-06,0.0014278087522479096,OUD_vs_Control_Female,False,True,True,False,True,Up
USP53,-1.1437518010116676,6.037971383395817,4.561369292675846e-06,0.0014278087522479096,OUD_vs_Control_Female,True,True,True,True,True,Down
LINC01845,-4.957946082704879,0.4785251525903279,4.587672345473055e-06,0.0014278087522479096,OUD_vs_Control_Female,True,True,True,True,True,Down
PTPN13,0.9179629505549592,8.541778279206413,4.737571320238221e-06,0.0014578944193110606,OUD_vs_Control_Female,False,True,True,False,True,Up
CD55,0.9934069808019603,7.24272519391388,4.832002122427076e-06,0.0014697806227116795,OUD_vs_Control_Female,False,True,True,False,True,Up
WIF1,-2.161827093956004,3.4271093480766384,4.883526970452856e-06,0.0014697806227116795,OUD_vs_Control_Female,True,True,True,True,True,Down
GPC5,-1.192641082862184,8.39884296683587,5.0944044624866545e-06,0.0014869791020846448,OUD_vs_Control_Female,True,True,True,True,True,Down
LTC4S,-2.4279113211117256,2.482477434629434,5.11523778137243e-06,0.0014869791020846448,OUD_vs_Control_Female,True,True,True,True,True,Down
