gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
MECOM,-1.5017164845601823,3.5126613428894524,0.0059075807691779825,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
FXYD6,-0.8214316619415876,3.920318523173662,0.006099644968176616,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
RGS6,-0.9836037139315466,4.395891491702752,0.006118866571863479,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
KCNJ3,-1.2120515065217587,3.3815813022997365,0.006129159958161726,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
SMOC2,-1.1634434969989387,1.9275354481119726,0.006136893175106687,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
ERG,-1.1879646639063128,1.9675390119190777,0.006137646683300334,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
LINC01250,-1.8081744096713481,2.8022226931734626,0.006146793793696196,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
COL21A1,-1.3592411113854725,3.133122171407265,0.00615796242762069,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
IQGAP2,-1.1677831674156027,2.642097731422093,0.006231613133250822,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
DNAH6,-1.01739910905858,4.129253475390401,0.006237419705864367,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AL121981.1,2.6932815225840714,-1.680830183264721,0.0062721279117655005,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Up
COL14A1,-1.1676159641550792,4.0222618703206825,0.006322321953471628,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
PRKCH,-0.756114407589331,4.975606898257046,0.00634066557457276,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
TSHZ2,-0.9566489546995157,4.4354485337560385,0.00647093693483141,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
OTX2,-3.040387095287917,-3.5833819136127105,0.006518099034043342,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
ARHGAP15,-0.8635782254373089,6.30650513446479,0.006582714472867095,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AC073115.1,-2.7264770147240913,-2.3447887593338392,0.006643718097753175,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
HPGDS,-1.3383918832464923,3.0547322794327325,0.006691408558973368,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
TRIM36,-0.966214493045591,3.2086644743994666,0.006703099701022131,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
SEMA3G,-3.504004676728888,-2.0100313370270118,0.006795379548413802,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AP000428.2,-5.0470567067645655,-2.676848959908938,0.006869755663198747,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
SNHG18,1.3601031162782735,2.0868087925269894,0.006905448415494007,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Up
C8orf34-AS1,-2.2135563184120324,-0.8360064050656186,0.006905629368162862,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
TMEM204,-1.4426516589602039,0.20193847359668854,0.0069241506289596955,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AC246817.2,-1.2318889498921655,2.1299298115888643,0.007297518397403824,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AC006148.2,1.7101106346966106,-0.9432994413680936,0.007356683967484234,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Up
AC000082.1,-2.067447560679314,-1.5148272366088498,0.007391700889371054,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
ADAMTS12,-1.4633286114040338,1.2087792144824983,0.007580910799404086,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
MUC4,2.129554865695145,-0.9224755618552206,0.0075881802038755535,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Up
RPL9,0.789010531235054,4.976981357158981,0.007589198509866158,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Up
EFHB,-1.8361966472783011,3.088763419346668,0.007623243846401512,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
MTRNR2L10,-1.9617238192582347,-2.2825148248986196,0.00767588860843073,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
ITPRIP-AS1,2.282052822393081,-2.8192124968832686,0.007741078783470757,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Up
TNC,-0.8692041796634498,4.960778023877177,0.007997187805289978,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
OTOF,-1.3401156508752954,0.6523774426490431,0.00830578535293695,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
SNX31,-1.4336867584728457,1.539844251954481,0.008368735976058595,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
LINC02043,-1.5014439319545636,0.49910355540193463,0.008385905175935397,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
DHCR24,-1.0547272449541374,3.9350910441520153,0.008402928253188167,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AL606923.2,-1.5187819071357986,2.9285586034829314,0.008416769207129247,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
COL1A2,-1.355504967274502,0.3588598006493161,0.008460996282790328,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AC114757.1,-1.3667385312078177,0.9275445263468026,0.008508687357790135,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
GLIPR1L2,0.8808471209192802,4.059400195942788,0.008595435589194638,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Up
ABCG2,-1.3154383880937064,3.305678681451302,0.008608451414161724,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AC008869.1,3.7359269044469063,-3.167379492170661,0.008638221100176733,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Up
SOX17,-2.2211409575066363,-2.8251624088812255,0.008646593823285979,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
LINC01427,-5.927603851954101,-4.415560992981401,0.008648643093970667,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
EFNB1,-1.3112149609034498,0.4960144766271883,0.008660886936790846,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
MICALL2,0.7390153503332634,4.079025521319908,0.008708867475074234,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Up
RPS3A,0.7703684654477541,4.987963245079782,0.008738090841507768,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Up
LINC00842,-1.7047873312475657,-0.5479314141935986,0.00874552144362887,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AC245123.1,-2.983790356724254,4.0198456953124335,0.008830282983289708,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
SIDT1,-1.0205903025836105,2.324006147090009,0.008876920038056822,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AL513493.1,-2.3260571747155026,-2.5742295423232737,0.009010201829415846,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
COBLL1,-1.223515894086496,3.947163319898136,0.009030670882580147,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
F2R,-1.721424302282965,-0.42841368144621056,0.009055475431902594,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
AC245187.2,-2.7528471050850607,4.012300310621364,0.009119582619144015,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
CALCR,-2.399857059874762,1.2856542112605163,0.009175306557521714,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
KIF25,1.955729128725803,2.480419579592103,0.009296858459974898,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Up
NTS,-3.0211357496969637,-2.7680442107969463,0.009323511088221584,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
SKAP1,-1.0621713187698256,2.8750965878053196,0.009398074786209793,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
SLC35F3,-0.7108214269927495,6.15297064527685,0.009541264864673202,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
TXNIP,-0.9627936748138599,5.648830575965457,0.009745099418076886,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
HTR2C,-0.7580824834958461,3.815305939453899,0.00990481527072718,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
KRT83,-5.808956869186633,-4.488556574786863,0.00991199996562824,0.9998769263150931,OUD_vs_Control_Caudate,False,False,True,False,False,Down
