gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
SLCO1B7,1.509860787234797,-1.7229767352239862,0.020452469987101103,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
MARCKSL1,0.6103574692976774,6.982005681245299,0.021557909075405265,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
SGPP2,1.3436140811562423,1.810631131805361,0.021572864884304557,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
VIM,1.0003578637634203,3.066244105442925,0.02186557545364243,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
TXNIP,1.1551622365714416,5.593391317385072,0.021952577250749724,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
SLC19A3,1.1817215934438934,0.6636781741201818,0.022396240598203332,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
CYP4F12,2.146638806801262,0.6993845910885598,0.022682269346232433,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
ADGRF5,1.924943035737405,1.5748298212137843,0.02284714264234832,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
AC008574.1,2.1496655517554193,1.749365221334674,0.02286670949137794,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
LINC00574,1.4246258211430947,-0.9306198533300517,0.022985246441969264,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
AC109466.1,2.5286756049438828,3.5986538718330507,0.023157042762981927,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
MYO5C,0.8742955691632589,2.6461195941732587,0.024780687409722568,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
TRBC2,2.615778685424043,-2.187208159056395,0.02523079642944492,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
CREG2,0.6652336412777805,5.245122081841399,0.025289028885293788,0.9999661184625348,OUD_Effect_Putamen_vs_Caudate,False,False,False,False,False,Up
