gene,mean_group1,mean_group2,log_fold_change,abs_log_fold_change,t_statistic,pvalue,padj,significant
NCAM2,25.10783,22.301754,-2.806076,2.806076,4.487788987475822,8.034031951305108e-06,5.216903864483836e-05,True
KAZN,6.5779204,5.025628,-1.5522923,1.5522923,4.456649906730018,9.267107084876903e-06,5.9404532595364765e-05,True
PALM2-AKAP2,14.281339,12.072748,-2.2085905,2.2085905,4.430605870547304,1.0435586176886364e-05,6.60480137777618e-05,True
ARAP2,12.346237,10.890542,-1.4556952,1.4556952,4.418681793770233,1.1016416432937048e-05,6.901720296747705e-05,True
DSCAML1,8.439127,7.269696,-1.1694307,1.1694307,4.418155490480253,1.1042752474796327e-05,6.901720296747705e-05,True
LRP1B,11.86016,15.472664,3.612504,3.612504,-4.359683239789121,1.4375108843432508e-05,8.928639033187893e-05,True
ZSWIM6,9.314194,8.646296,-0.6678982,0.6678982,4.346486006919769,1.52502199792044e-05,9.413716036545926e-05,True
PPFIA2,6.1757617,6.9411416,0.7653799,0.7653799,-4.235638999775301,2.48969348335881e-05,0.000149083442117294,True
TRIM2,15.767258,13.914665,-1.8525925,1.8525925,4.213838095575409,2.738070872048054e-05,0.0001620160279318375,True
FRYL,11.79017,10.4302635,-1.3599062,1.3599062,4.199618436417851,2.9126030956455195e-05,0.00017132959386150114,True
GNAO1,8.670194,7.570483,-1.0997105,1.0997105,4.1579332705653025,3.4873511692366805e-05,0.00020393866486764211,True
NFASC,7.6070185,6.578989,-1.0280294,1.0280294,4.15085958657164,3.5950122859618576e-05,0.00020901234220708476,True
KANK1,6.0469785,5.3207345,-0.726244,0.726244,4.0310081020967825,5.9764374136508435e-05,0.0003376518312797087,True
PLCL1,18.028399,15.737445,-2.2909536,2.2909536,4.026539347893894,6.0892487610720294e-05,0.0003407533373091257,True
ALCAM,9.203486,8.444742,-0.75874424,0.75874424,3.9602765926154855,8.017990315246748e-05,0.00043827040473941954,True
ANKRD44,4.1642838,3.2565684,-0.9077153,0.9077153,3.9602052640835654,8.020348406731377e-05,0.00043827040473941954,True
KLHL32,8.082368,9.104302,1.0219345,1.0219345,-3.876745532711621,0.00011278440332319525,0.0006031251514609371,True
PPP1R9A,4.1920795,4.899535,0.70745564,0.70745564,-3.846232867182297,0.00012755390062297616,0.0006678214692302417,True
SYNDIG1,5.1639123,3.3123472,-1.8515651,1.8515651,3.844789142130334,0.00012829609402968865,0.000668208823071295,True
CLMN,8.268736,7.2144303,-1.0543056,1.0543056,3.833649438087237,0.00013416142079046583,0.0006951368952873877,True
ST6GALNAC3,9.21784,7.619953,-1.597887,1.597887,3.8237052656338317,0.00013961016606448616,0.0007196400312602379,True
PDE4D,3.3946612,4.0758257,0.6811645,0.6811645,-3.756580918998604,0.00018222357156359736,0.0009249927490537936,True
PEX5L,15.635355,13.429518,-2.2058372,2.2058372,3.744949368827649,0.00019075285113892278,0.0009633982380753675,True
LINC01170,3.8762546,4.521994,0.64573956,0.64573956,-3.735592425183952,0.00019788546012175452,0.0009943992970942437,True
AOPEP,7.826992,7.1141562,-0.7128358,0.7128358,3.7252034637045677,0.000206098469541106,0.00103049234770553,True
RTN4,9.294117,8.532102,-0.76201534,0.76201534,3.583118613926469,0.0003559185907263923,0.0016788612770112846,True
PTPRK,12.041909,10.819766,-1.2221432,1.2221432,3.573665118672172,0.00036885502595205443,0.0017317137368641053,True
ADGRL3,10.070202,11.46236,1.3921585,1.3921585,-3.562457021270978,0.0003847626944622165,0.0017979565161785817,True
RNF220,22.02432,19.34182,-2.6825008,2.6825008,3.5087463556506697,0.0004703069265685145,0.002157371222791351,True
AC092691.1,3.0669117,4.4815664,1.4146547,1.4146547,-3.488771685956125,0.0005064267463046542,0.002312450896368284,True
DPP6,6.2538786,4.624171,-1.6297078,1.6297078,3.4750680693330525,0.0005326871581426756,0.0023994917033453855,True
EPB41L2,4.048297,3.1062787,-0.9420183,0.9420183,3.4586724666234128,0.000565775027924711,0.0025371077485413047,True
MAP4K4,10.772248,10.016745,-0.75550365,0.75550365,3.440320220751954,0.0006050805392677851,0.002689246841190156,True
NOVA1,3.6882398,4.42696,0.7387202,0.7387202,-3.427507053444823,0.0006340158804437377,0.0028053800019634412,True
SLC7A14-AS1,9.182141,7.9317293,-1.250412,1.250412,3.416111335082565,0.0006608282450381958,0.0029111376433400694,True
AL163541.1,2.1678545,0.89304185,-1.2748127,1.2748127,3.400846067744815,0.0006984015789909345,0.0030631648201356774,True
MAML3,2.712396,1.9105828,-0.8018131,0.8018131,3.37865398463224,0.0007565823817797861,0.0033038531955449173,True
LUZP2,1.7478377,2.834794,1.0869564,1.0869564,-3.3739203173672925,0.000769562157454222,0.0033459224237140086,True
MAP7,15.554451,13.987414,-1.5670366,1.5670366,3.2777855206307995,0.0010823505404213606,0.004586231103480342,True
CTNNA3,41.04747,36.666523,-4.380947,4.380947,3.2700506603816484,0.0011120591931275219,0.004692232882394607,True
LIMCH1,12.68175,11.422008,-1.2597427,1.2597427,3.245604004858505,0.0012109931421114414,0.005066916912600174,True
SIK3,27.731598,25.119919,-2.611679,2.611679,3.220424883942673,0.0013213535488829438,0.005437668925444213,True
C10orf90,10.653322,9.620011,-1.0333109,1.0333109,3.150529984597864,0.0016782565302034627,0.006753187756179012,True
MARCH1,19.259645,17.627687,-1.631958,1.631958,3.1499525857842943,0.0016815437512885739,0.006753187756179012,True
PPP2R2B,48.928448,53.9106,4.982151,4.982151,-3.1349291093886595,0.001769188070474264,0.007020587581247079,True
PLXDC2,15.734392,12.344254,-3.3901386,3.3901386,3.1211144492608103,0.0018534728044561606,0.0072971370254179555,True
C1orf61,1.204936,1.8346416,0.62970555,0.62970555,-3.060902213439183,0.0022657320273269752,0.008816077927342316,True
TF,7.1419854,7.960549,0.81856346,0.81856346,-3.0339224938670375,0.0024764509484601384,0.009514980515615862,True
HDAC2-AS2,7.5440316,6.7320757,-0.8119559,0.8119559,3.016860215525296,0.002618827965471595,0.009919802899513617,True
AGAP1,18.351793,16.834719,-1.5170746,1.5170746,2.9941144305183975,0.0028202895357707317,0.010394556960534807,True
SPOCK3,17.025942,15.475023,-1.5509186,1.5509186,2.99360443425849,0.002824964863262815,0.010394556960534807,True
MYO1D,5.7922683,6.4560304,0.6637621,0.6637621,-2.973121918211925,0.003018697858381262,0.011017145468544752,True
SLC9A9,5.8202763,5.1391225,-0.6811538,0.6811538,2.929979977891178,0.0034670270631001455,0.0124639419147096,True
SLC24A2,32.64327,29.545662,-3.0976067,3.0976067,2.929039844696324,0.0034774397942039788,0.0124639419147096,True
ZNF536,11.856965,10.734528,-1.1224375,1.1224375,2.920014239578192,0.003578865724257083,0.012666291764737641,True
RBMS3,1.4928284,2.299418,0.8065896,0.8065896,-2.919514410820761,0.003584560569420752,0.012666291764737641,True
FRMD4B,13.167959,11.968314,-1.199645,1.199645,2.915654678395369,0.0036288155562471435,0.012777519564250507,True
TTLL7,18.934214,17.10336,-1.8308544,1.8308544,2.911684336798526,0.003674857477295521,0.012880386599978559,True
DOCK4,16.791367,14.349714,-2.4416523,2.4416523,2.889249580752825,0.003945164007511782,0.01369848613719369,True
PDE8A,12.165366,11.10609,-1.0592766,1.0592766,2.8574117552346565,0.004359848564937916,0.014982297474013459,True
DST,17.652094,16.590845,-1.0612488,1.0612488,2.854905905238588,0.004394110367126458,0.015023183949093402,True
RORA,4.6866345,6.5710235,1.8843889,1.8843889,-2.852453045934812,0.004427884171257258,0.015023183949093402,True
NKAIN3,2.4042625,3.9168603,1.5125978,1.5125978,-2.8453862622502024,0.004526509180513638,0.015240771651561071,True
AC008691.1,1.497199,0.7279876,-0.7692115,0.7692115,2.793461160646118,0.005314502811028306,0.017597691427246046,True
NRXN1,7.223503,11.149321,3.9258175,3.9258175,-2.7797575431334365,0.0055421919494523485,0.018171121145745404,True
KIRREL3,12.522183,11.291909,-1.2302742,1.2302742,2.7669505489759483,0.005762914996537816,0.01871076297577213,True
MAGI2,37.295074,34.904976,-2.3900986,2.3900986,2.756667836881054,0.005945845213546432,0.019118473355454767,True
PHLPP1,19.367508,17.979206,-1.3883018,1.3883018,2.7458195813290174,0.006144502449470197,0.01944462800465252,True
CREB5,9.763363,8.897057,-0.8663063,0.8663063,2.7138205590058413,0.006765827398175,0.020946834050077398,True
LPAR1,9.953093,9.068422,-0.88467026,0.88467026,2.6922794001039425,0.007215365505118154,0.022065337936141145,True
P2RY12,1.34116,0.7130502,-0.6281099,0.6281099,2.6204129993717995,0.008915758215368871,0.02614338437962052,True
DOCK10,17.593075,16.411308,-1.1817665,1.1817665,2.6103276456889475,0.009181093187081492,0.02676703553084983,True
NAV2,2.8673096,3.5437071,0.67639756,0.67639756,-2.593124754103343,0.009650006529892214,0.027809817089026558,True
FOXN3,5.253119,4.293405,-0.95971394,0.95971394,2.5858695148973965,0.009854097735449246,0.02823523706432449,True
GABRB1,2.1516664,3.1354976,0.98383117,0.98383117,-2.5767819641379037,0.01011516088868211,0.028818122189977525,True
LAMA2,6.7588096,5.9658546,-0.7929549,0.7929549,2.5667860379213545,0.010409427213703644,0.029405161620631764,True
AC002429.2,1.6619892,2.6394103,0.97742105,0.97742105,-2.554172375854371,0.010791629399749557,0.030313565729633587,True
LRRTM4,2.7928698,4.044686,1.251816,1.251816,-2.5118549671826607,0.012166750800317502,0.03320197948607082,True
MAN2A1,14.895335,13.691596,-1.2037392,1.2037392,2.5017468262683544,0.012517392114594501,0.034014652485311145,True
ATP8A1,8.927192,8.221139,-0.7060528,0.7060528,2.5000603807270605,0.012576757573703438,0.0340833538582749,True
LSAMP,20.142675,23.296196,3.1535206,3.1535206,-2.478706824585204,0.013350314666166721,0.03598467565004507,True
GPM6A,4.6955175,7.241227,2.5457096,2.5457096,-2.46836616419862,0.013739833282819365,0.0368360141630546,True
NCKAP5,24.253012,22.438988,-1.814024,1.814024,2.411351167506317,0.016073289768212286,0.041966814016220065,True
SOX6,1.7043833,2.544989,0.84060585,0.84060585,-2.389493583242362,0.017056426437854766,0.04401681902078987,True
SFMBT2,3.536841,2.4764242,-1.0604167,1.0604167,2.348908271898899,0.019022779753913307,0.04755694938478326,True
MEF2C,2.760208,1.678136,-1.0820719,1.0820719,2.3235746679884532,0.020348431736746702,0.04999614677333342,True
