gene,mean_group1,mean_group2,log_fold_change,abs_log_fold_change,t_statistic,pvalue,padj,significant
COLGALT2,3.664362,4.0234857,0.3591237,0.3591237,-4.174015782639545,3.121197359736341e-05,8.867037953796424e-05,False
SGMS1,5.041672,4.613797,-0.42787504,0.42787504,4.164100363492294,3.2587346740409014e-05,9.231542985951563e-05,False
SRGAP2C,0.89412034,0.5940254,-0.30009496,0.30009496,4.1542142279060394,3.40158972344456e-05,9.609010518204973e-05,False
PPP3CA,2.9336984,3.3092227,0.37552428,0.37552428,-4.134685452469695,3.701458323179744e-05,0.00010426643163886603,False
SAT1,1.5222031,0.8654106,-0.65679246,0.65679246,4.120477582463559,3.935229116670756e-05,0.00011054014372670662,False
OBI1-AS1,1.5891986,3.1740963,1.5848978,1.5848978,-4.115505436022881,4.020301608778922e-05,0.00011261349044198661,True
SIPA1L2,1.0433091,0.72134405,-0.32196504,0.32196504,4.106062318569961,4.1867026578472134e-05,0.00011694700161584395,False
NRXN1,5.6135902,9.186412,3.5728216,3.5728216,-4.095773712134727,4.375439043716864e-05,0.00012187852489462017,True
ANO2,0.5111579,0.26522714,-0.24593073,0.24593073,4.094624725373713,4.397010673450345e-05,0.0001221391853736207,False
RORA,3.9434345,5.628829,1.6853945,1.6853945,-4.085949396745152,4.56317488249364e-05,0.00012640373635716456,True
AKAP6,11.51753,10.621357,-0.8961735,0.8961735,4.083893188615963,4.603423398585105e-05,0.00012716639222610788,True
MGAT4C,0.92032254,1.8039781,0.88365555,0.88365555,-4.078065362190236,4.71933671493327e-05,0.00013000927589347852,True
IL6ST,1.5079248,1.1732705,-0.33465433,0.33465433,4.076138655567246,4.758263554827503e-05,0.00013046961665844975,False
MAP4K4,9.78313,10.394496,0.6113663,0.6113663,-4.075947558575878,4.7621410080334155e-05,0.00013046961665844975,False
MTUS1,4.5667186,4.1998124,-0.36690617,0.36690617,4.071257577385556,4.8582480974444066e-05,0.00013257065970070047,False
SNX29,3.194082,2.8945918,-0.2994902,0.2994902,4.070914837135624,4.865343211015707e-05,0.00013257065970070047,False
AL445250.1,1.3866596,1.0598786,-0.32678103,0.32678103,4.065650686838482,4.9755597633520675e-05,0.00013520542835195835,False
ATP10B,3.6492164,3.994291,0.34507465,0.34507465,-4.061962829351984,5.054179540407972e-05,0.0001366745055256759,False
TJP1,9.80843,10.525033,0.7166033,0.7166033,-4.061833556919507,5.056956704450009e-05,0.0001366745055256759,True
PRUNE2,12.327689,13.801211,1.4735222,1.4735222,-4.0527244045355255,5.256334964174459e-05,0.00014168018771359728,True
MOB3B,3.7914078,4.1484036,0.35699582,0.35699582,-4.04590580379778,5.4104328271440625e-05,0.00014544174266516296,False
PPP1R12B,3.7068498,4.006818,0.299968,0.299968,-4.037546074109695,5.605207276104158e-05,0.0001502736535148568,False
