"","OUD_Effect_Male_vs_Female_results","OUD_Effect_Putamen_vs_Caudate_results","OUD_vs_Control_Caudate_results","OUD_vs_Control_Female_results","OUD_vs_Control_Male_results","OUD_vs_Control_Putamen_results","Pooled_OUD_vs_Control_results"
"MAZ",0.145461528309513,-0.798420442047547,-0.914130879689443,-1.06030118970811,-1.19122682163565,-1.64104485639756,-1.13264638862089
"SREBF1",-1.54643899498557,1.50040437430632,-0.021915379864776,0.929116564675907,-1.21992826379808,1.14389242765179,0.547581521592304
"NR1I2",-0.778582011162621,2.76499577145916,-2.11509175597852,-0.23599048790763,-1.55802571909855,0.417947142591651,-1.76527676183126
"FOSL1",0.982316153428699,-1.00235429303508,-0.195082910201422,-0.931265437900303,0.328975868815049,-1.18283081301239,-0.331526199236944
"JUNB",0.650585714563823,0.935791020832397,0.743308367497615,0.153946528118237,0.819454362105096,1.10979909470652,1.00763192278901
"PAX5",0.479367537751847,-1.14880272750151,-0.436734123356689,-1.00427721421053,-0.973770575107048,-1.58385603811011,-0.844806386824673
"HSF1",-2.88413755018479,1.15133040125567,-0.827584418972688,1.26376326331459,-2.85797902345604,0.718998429185432,-0.0840256739111
"TFAP2A",0.266938141538324,0.815485169792209,1.18212225005561,0.583829584960915,1.57630719951286,1.8504516794575,1.6848314144654
"SREBF2",-0.586121709241032,-0.686336812927109,-0.258155483203291,0.209420486054557,-0.405481134917931,-0.350186593501303,0.0311649246416988
"PGR",1.21067325050245,-1.18249490251504,0.52186625184252,-0.626597294012888,1.12363675812909,-0.868325004425211,-0.893581569914771
"KLF1",-0.673776846897009,1.54436811002872,0.174063098382842,0.864954705837102,0.157359008890707,1.76814051575033,1.08257044669852
"NFIC",-0.0567759566402658,1.74911690360201,-1.14564240057253,-0.103660755387467,-0.514159685619263,0.352145410145567,-0.424794045682055
"ESRRA",-0.219475149937535,-0.390592760165096,0.718462069351903,0.460329198068637,0.251615902222751,0.141070437567067,0.284253988436903
"TFAP2C",-1.74954841690453,-0.271205779551646,-0.240783038596149,0.902265800132211,-1.62411424354266,-0.131673428269592,-0.169838201969774
"PAX8",-0.191369759781065,1.93270667728522,-0.982728432724873,0.334464442635557,0.021140375733622,1.09051610853095,0.0294189816305678
"ETV4",-6.33019058606113e-05,0.303148158195548,0.677963348214172,0.473709853246049,0.720123808369104,0.859448239022162,0.646240876616892
"NR1H4",0.64861876349759,0.198832276010556,0.433120926252863,-0.0918269747609052,0.000770836040874412,-0.509319517631041,-0.585391688038398
"MEF2C",0.393582072099998,-0.437713180831335,-0.866785768785854,-0.77866276541508,-0.250792435985594,-1.04949465099853,-1.10116896264835
"PPARA",0.676377495145701,-0.840117288305748,-0.218009661392319,-0.759706048959019,-0.288396801747621,-1.30151316146859,-1.49807510089899
"EPAS1",-1.17428556026025,2.18942406100662,0.798286375382044,1.71300935623865,0.283641271750857,2.93715157736942,1.35373224379417
"CEBPE",-3.06984532678345,2.14116998156375,-0.71808929061934,0.991856896956072,-3.61162843448655,1.41543449178392,-0.144043802997409
