"analysis","statistic","source","condition","score","p_value"
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ATF1","OUD_Effect_Male_vs_Female_results",-4.92879340019557,8.32422705592924e-07
"OUD_Effect_Male_vs_Female_results_ulm","ulm","RELB","OUD_Effect_Male_vs_Female_results",-4.90495990767833,9.4004272307979e-07
"OUD_Effect_Male_vs_Female_results_ulm","ulm","STAT5B","OUD_Effect_Male_vs_Female_results",-4.8827600594086,1.05224793689398e-06
"OUD_Effect_Male_vs_Female_results_ulm","ulm","GATA2","OUD_Effect_Male_vs_Female_results",-4.72695653182232,2.29089892338778e-06
"OUD_Effect_Male_vs_Female_results_ulm","ulm","SMAD3","OUD_Effect_Male_vs_Female_results",-4.70192041655335,2.59033184776348e-06
"OUD_Effect_Male_vs_Female_results_ulm","ulm","NFE2L2","OUD_Effect_Male_vs_Female_results",-4.64650372427683,3.39244130255277e-06
"OUD_Effect_Male_vs_Female_results_ulm","ulm","TBP","OUD_Effect_Male_vs_Female_results",-4.51772156391497,6.27805487476463e-06
"OUD_Effect_Male_vs_Female_results_ulm","ulm","RXRG","OUD_Effect_Male_vs_Female_results",4.46909802939577,7.88779775153759e-06
"OUD_Effect_Male_vs_Female_results_ulm","ulm","KLF4","OUD_Effect_Male_vs_Female_results",-4.40536934194276,1.06020979184709e-05
"OUD_Effect_Male_vs_Female_results_ulm","ulm","FOXK2","OUD_Effect_Male_vs_Female_results",-4.33686906235457,1.45064418901775e-05
"OUD_Effect_Male_vs_Female_results_ulm","ulm","JUNB","OUD_Effect_Male_vs_Female_results",-4.27473034345602,1.9204265404488e-05
"OUD_Effect_Male_vs_Female_results_ulm","ulm","KLF5","OUD_Effect_Male_vs_Female_results",-4.23252172493518,2.31869118013676e-05
"OUD_Effect_Male_vs_Female_results_ulm","ulm","TCF7L2","OUD_Effect_Male_vs_Female_results",-4.19619096382824,2.72332041628292e-05
"OUD_Effect_Male_vs_Female_results_ulm","ulm","IRF2","OUD_Effect_Male_vs_Female_results",-4.04729395423408,5.19613503166789e-05
"OUD_Effect_Male_vs_Female_results_ulm","ulm","THAP11","OUD_Effect_Male_vs_Female_results",-4.02935797281078,5.60866891934682e-05
"OUD_Effect_Male_vs_Female_results_ulm","ulm","MXI1","OUD_Effect_Male_vs_Female_results",-3.97051277628694,7.19088722648502e-05
"OUD_Effect_Male_vs_Female_results_ulm","ulm","FLI1","OUD_Effect_Male_vs_Female_results",-3.96739336593974,7.28557073852229e-05
"OUD_Effect_Male_vs_Female_results_ulm","ulm","ERG","OUD_Effect_Male_vs_Female_results",-3.94908628594069,7.86545098337218e-05
"OUD_Effect_Male_vs_Female_results_ulm","ulm","MAX","OUD_Effect_Male_vs_Female_results",-3.93809660441677,8.23423142173324e-05
"OUD_Effect_Male_vs_Female_results_ulm","ulm","MNT","OUD_Effect_Male_vs_Female_results",-3.93556951990997,8.32131396056963e-05
"OUD_Effect_Male_vs_Female_results_ulm","ulm","SREBF1","OUD_Effect_Male_vs_Female_results",-3.93304432593356,8.40920029400005e-05
"OUD_Effect_Male_vs_Female_results_ulm","ulm","FOXL2","OUD_Effect_Male_vs_Female_results",-3.93120276416598,8.47384599452837e-05
