gene,logFC,PValue,t_stat,contrast,oud_mean,ctrl_mean,n_oud,n_ctrl,FDR,significant_nominal,significant_strict,significant,direction
STC2,2.968355332381947,0.005680718118836023,13.211188681358575,OUD_vs_Control_Female,144.0232391357422,18.402150630950928,2,2,0.9999722821216691,True,False,True,Up
AC016573.1,1.81031611627963,0.00015483479587742217,80.355439274769,OUD_vs_Control_Female,252.83895874023438,72.09157943725586,2,2,0.9562455805042813,True,True,True,Up
AC008632.1,1.929346926322589,0.009866839986424578,9.992599760072803,OUD_vs_Control_Female,141.47965240478516,37.145198822021484,2,2,0.9999722821216691,True,False,True,Up
AC140125.2,2.150163315150487,0.006870696878098696,12.001973476302492,OUD_vs_Control_Female,20.947949409484863,4.719303011894226,2,2,0.9999722821216691,True,False,True,Up
TNF,2.7293133969692076,0.000909853806521813,33.129713184461316,OUD_vs_Control_Female,302.98475646972656,45.68941307067871,2,2,0.9999722821216691,True,True,True,Up
LST1,-1.756555727288615,0.0006969633840724009,-37.85889299560256,OUD_vs_Control_Female,342.6408386230469,1157.7507934570312,2,2,0.9999722821216691,True,True,True,Down
LINCMD1,-2.120990556024983,0.0014201165801807753,-26.507883660170368,OUD_vs_Control_Female,1.4060029089450836,6.116007328033447,2,2,0.9999722821216691,True,False,True,Down
LINC01268,-2.4968029221417147,0.005297661556918878,-13.68443854176029,OUD_vs_Control_Female,449.2256317138672,2535.5787353515625,2,2,0.9999722821216691,True,False,True,Down
AL360178.1,-1.6620999657678117,0.00839505044528699,-10.845271539457647,OUD_vs_Control_Female,351.2123565673828,1111.5057983398438,2,2,0.9999722821216691,True,False,True,Down
CITED2,0.7333807162202963,0.0007033462515755216,37.68653618717278,OUD_vs_Control_Female,266.7594909667969,160.4539031982422,2,2,0.9999722821216691,True,False,True,Up
KIF25,2.431133159451998,0.008553232179002354,10.743231086817895,OUD_vs_Control_Female,1762.8088989257812,326.8595886230469,2,2,0.9999722821216691,True,False,True,Up
LINC01624,-1.3180564976166667,0.008489767495270202,-10.783829902919004,OUD_vs_Control_Female,16.231033325195312,40.46883583068848,2,2,0.9999722821216691,True,False,True,Down
AC006041.1,0.8550023112260348,0.007700076277020787,11.330082781455502,OUD_vs_Control_Female,7.485536336898804,4.138486862182617,2,2,0.9999722821216691,True,False,True,Up
AC002480.1,-1.6776967186095422,0.0031419513953311533,-17.79815521114098,OUD_vs_Control_Female,92.65865707397461,296.43060302734375,2,2,0.9999722821216691,True,False,True,Down
CYCS,0.7883590922092819,0.006641859966605324,12.209090932077057,OUD_vs_Control_Female,2152.198486328125,1246.1278076171875,2,2,0.9999722821216691,True,False,True,Up
AC099654.15,-1.606858393144969,0.00823023075653011,-10.954694982632361,OUD_vs_Control_Female,3.41082763671875,10.38896656036377,2,2,0.9999722821216691,True,False,True,Down
WEE2-AS1,-1.1086435869041407,0.0035652759235988373,-16.702816915994777,OUD_vs_Control_Female,164.62831115722656,355.0091094970703,2,2,0.9999722821216691,True,False,True,Down
TRBVB,1.0149193463175439,0.005174749297981955,13.847287596973434,OUD_vs_Control_Female,2.954547643661499,1.4620756059885025,2,2,0.9999722821216691,True,False,True,Up
LINC00996,-5.942061081043117,0.0006484026645621152,-39.252409988118345,OUD_vs_Control_Female,38.218002796173096,2349.6685791015625,2,2,0.9999722821216691,True,True,True,Down
WDR86-AS1,-2.3264124158334956,0.008112119994747561,-11.035142706350852,OUD_vs_Control_Female,2.9856198132038116,14.97457218170166,2,2,0.9999722821216691,True,False,True,Down
AC022039.1,-1.7167481172564831,0.009058940681903369,-10.435059072348125,OUD_vs_Control_Female,3.7557153701782227,12.344836711883545,2,2,0.9999722821216691,True,False,True,Down
FGF20,-4.0416459256042545,0.008878240309797008,-10.542161172204521,OUD_vs_Control_Female,46.73210906982422,769.6123657226562,2,2,0.9999722821216691,True,False,True,Down
AC113133.1,-3.43705787499159,0.0022054967476441215,-21.258248877659998,OUD_vs_Control_Female,17.932034969329834,194.21693420410156,2,2,0.9999722821216691,True,False,True,Down
