gene,logFC,PValue,t_stat,contrast,oud_mean,ctrl_mean,n_oud,n_ctrl,FDR,significant_nominal,significant_strict,significant,direction
AC010883.2,-2.662577064999412,0.000859734782128546,-34.08298137910019,OUD_vs_Control_Female,17.504482746124268,110.83191680908203,2,2,0.9999722821216691,True,True,True,Down
AL139340.1,-3.409671270845505,0.0009031107834819165,-33.253332045755656,OUD_vs_Control_Female,65.00807571411133,690.8450317382812,2,2,0.9999722821216691,True,True,True,Down
TNF,2.7293133969692076,0.000909853806521813,33.129713184461316,OUD_vs_Control_Female,302.98475646972656,45.68941307067871,2,2,0.9999722821216691,True,True,True,Up
LINC01666,-1.2607985406280782,0.0009663429126542356,-32.14544420658315,OUD_vs_Control_Female,16.29698657989502,39.05219841003418,2,2,0.9999722821216691,True,True,True,Down
DOCK8-AS1,-1.8550700962563784,0.001000443280248174,-31.592042770263102,OUD_vs_Control_Female,34.73984622955322,125.67810821533203,2,2,0.9999722821216691,True,False,True,Down
LINC01228,-2.483347650059767,0.0012005073860596235,-28.835419732145684,OUD_vs_Control_Female,1.3423952460289001,7.506587266921997,2,2,0.9999722821216691,True,False,True,Down
LINC01861,2.916331452182374,0.0012077074382511753,28.749180962921507,OUD_vs_Control_Female,18.23080825805664,2.41491961479187,2,2,0.9999722821216691,True,False,True,Up
TNFRSF13C,-3.2461678525839055,0.0012085445090545283,-28.739204937900002,OUD_vs_Control_Female,100.21197891235352,950.8533325195312,2,2,0.9999722821216691,True,False,True,Down
RASSF10,-4.071684946144124,0.0012423956347051798,-28.34425678863167,OUD_vs_Control_Female,3.287109076976776,55.273048400878906,2,2,0.9999722821216691,True,False,True,Down
AL020994.3,-0.23978395507492348,0.0012600317529378377,-28.14482383619779,OUD_vs_Control_Female,1.0345232896506786,1.2215814664959908,2,2,0.9999722821216691,False,False,False,Down
LINC01427,-2.8089741967410617,0.0013214055400403261,-27.482181085023583,OUD_vs_Control_Female,1.3459907174110413,9.432516098022461,2,2,0.9999722821216691,True,False,True,Down
LINC00676,-4.220667034701505,0.0013508539715974155,-27.180375335504646,OUD_vs_Control_Female,4.103216469287872,76.50182723999023,2,2,0.9999722821216691,True,False,True,Down
FFAR4,-2.867555166623109,0.0013754027168518127,-26.936223314858637,OUD_vs_Control_Female,41.1995735168457,300.6857452392578,2,2,0.9999722821216691,True,False,True,Down
AP002409.1,-1.6018326854854523,0.0013994017806565299,-26.703771434113964,OUD_vs_Control_Female,1.048820398747921,3.183470368385315,2,2,0.9999722821216691,True,False,True,Down
LINCMD1,-2.120990556024983,0.0014201165801807753,-26.507883660170368,OUD_vs_Control_Female,1.4060029089450836,6.116007328033447,2,2,0.9999722821216691,True,False,True,Down
AC138207.9,-2.383266413411101,0.001546125679145616,-25.40232939400124,OUD_vs_Control_Female,9.46946406364441,49.40376853942871,2,2,0.9999722821216691,True,False,True,Down
MIR210HG,3.6569352722287736,0.0015940781514377895,25.01643888190089,OUD_vs_Control_Female,797.7356567382812,63.242902755737305,2,2,0.9999722821216691,True,False,True,Up
AC138207.1,-1.6861854663721942,0.0018609227162951403,-23.148829228885372,OUD_vs_Control_Female,4.371745705604553,14.068483829498291,2,2,0.9999722821216691,True,False,True,Down
AC011893.1,-1.2038389907849731,0.0019987515144455686,-22.334117769403555,OUD_vs_Control_Female,26.240615844726562,60.445735931396484,2,2,0.9999722821216691,True,False,True,Down
AP001351.1,-2.0003012464690815,0.002077288199522098,-21.9065600194934,OUD_vs_Control_Female,1.227778099477291,4.912137985229492,2,2,0.9999722821216691,True,False,True,Down
CX3CR1,-4.130198950998052,0.0021119131234635367,-21.72567270513992,OUD_vs_Control_Female,541.3868408203125,9480.28662109375,2,2,0.9999722821216691,True,False,True,Down
AC055872.2,0.6411644933632961,0.0021412318088149546,21.57594570034121,OUD_vs_Control_Female,1.690715253353119,1.08407848700881,2,2,0.9999722821216691,True,False,True,Up
AP004247.2,-1.4999403689362727,0.0021986756905681398,-21.29130778689494,OUD_vs_Control_Female,6.271948337554932,17.739015579223633,2,2,0.9999722821216691,True,False,True,Down
AC113133.1,-3.43705787499159,0.0022054967476441215,-21.258248877659998,OUD_vs_Control_Female,17.932034969329834,194.21693420410156,2,2,0.9999722821216691,True,False,True,Down
AC026495.1,-3.118998927923009,0.002270959766798563,-20.948580473665686,OUD_vs_Control_Female,15.026198863983154,130.54533767700195,2,2,0.9999722821216691,True,False,True,Down
MCTP2,-2.1281420454423317,0.002331804684620444,-20.67251722650062,OUD_vs_Control_Female,153.75508880615234,672.146728515625,2,2,0.9999722821216691,True,False,True,Down
SLC10A2,1.7670508510286103,0.0024906688233228003,19.999980128093227,OUD_vs_Control_Female,8.470595598220825,2.4887349009513855,2,2,0.9999722821216691,True,False,True,Up
CXCL8,5.6552514607620274,0.00264499617511739,19.405490009173892,OUD_vs_Control_Female,75.30741500854492,1.4942986965179443,2,2,0.9999722821216691,True,False,True,Up
AC008568.1,-1.1116527928418167,0.002762406586709049,-18.986939796509066,OUD_vs_Control_Female,146.30066680908203,316.1455993652344,2,2,0.9999722821216691,True,False,True,Down
LINC01817,0.521227605570925,0.0029017204260098485,18.52360291342271,OUD_vs_Control_Female,17.911834716796875,12.480584621429443,2,2,0.9999722821216691,True,False,True,Up
TRPM5,-1.9039821676199082,0.0030049443779605885,-18.20125309754293,OUD_vs_Control_Female,2.7545652389526367,10.30881643295288,2,2,0.9999722821216691,True,False,True,Down
