Node,Degree,Betweenness,Closeness,PageRank
FOXP3,2,0,NA,6.680464616640015e-4
GATA3,2,0,NA,6.530388176658616e-4
GBP1,1,0,NA,6.513202146393881e-4
GCK,1,0,NA,6.513202146393881e-4
GLS,1,0,NA,6.513202146393881e-4
GREB1,2,0,NA,6.552993072371814e-4
GSTK1,1,0,NA,6.513202146393881e-4
HCFC1,1,0,NA,6.513202146393881e-4
HDAC7,1,0,NA,6.513202146393881e-4
HLA-DMA,1,0,NA,6.513202146393881e-4
HLA-DMB,1,0,NA,6.513202146393881e-4
HLA-DQA2,1,0,NA,6.513202146393881e-4
HLA-DRB1,1,0,NA,6.513202146393881e-4
HLA-E,2,0,NA,6.55450776044286e-4
HMOX1,3,0,NA,7.034782253005531e-4
HSP90AA1,1,0,NA,6.513202146393881e-4
HSPB1,3,0,NA,6.570393073042662e-4
IDO1,1,0,NA,6.513202146393881e-4
IFI35,2,0,NA,6.55450776044286e-4
IFI6,1,0,NA,6.513202146393881e-4
IFIT1,1,0,NA,6.513202146393881e-4
IFIT3,2,0,NA,6.569127239205493e-4
IFITM1,1,0,NA,6.513202146393881e-4
IFITM3,1,0,NA,6.513202146393881e-4
IFNA1,1,0,NA,6.513202146393881e-4
IFNB1,1,0,NA,6.513202146393881e-4
IFNLR1,1,0,NA,6.513202146393881e-4
IGF1,5,0,NA,7.199972244836422e-4
IGFBP3,3,0,NA,6.571907761113709e-4
IGFLR1,1,0,NA,6.513202146393881e-4
IL12A,1,0,NA,6.513202146393881e-4
IL12RB1,2,0,NA,6.530388176658616e-4
IL12RB2,1,0,NA,6.513202146393881e-4
IL17D,1,0,NA,6.513202146393881e-4
IL18BP,1,0,NA,6.513202146393881e-4
IL1R1,2,0,NA,6.55450776044286e-4
IL6ST,3,0,NA,7.122632601048133e-4
INO80,1,0,NA,6.513202146393881e-4
IRF1,4,0,NA,7.754209255525601e-4
IRF2,1,0,NA,6.513202146393881e-4
IRF7,1,0,NA,6.513202146393881e-4
IRF8,1,0,NA,6.513202146393881e-4
IRF9,1,0,NA,6.513202146393881e-4
ISG15,1,0,NA,6.513202146393881e-4
ISG20,1,0,NA,6.513202146393881e-4
JAK2,1,0,NA,6.513202146393881e-4
JUN,8,0,NA,8.766359701710087e-4
JUNB,2,0,NA,6.552993072371814e-4
KIF2A,1,0,NA,6.513202146393881e-4
KRT17,1,0,NA,6.513202146393881e-4
LAP3,1,0,NA,6.513202146393881e-4
LY96,2,0,NA,6.569127239205493e-4
MAN1A1,1,0,NA,6.513202146393881e-4
MAT2A,3,0,NA,6.568150864875087e-4
MCL1,3,0,NA,6.569527767831256e-4
MED16,1,0,NA,6.513202146393881e-4
MET,5,0,NA,6.890114169136346e-4
MMP13,6,0,NA,7.475698959953369e-4
MMP9,7,0,NA,7.993684875316378e-4
MTMR9,1,0,NA,6.513202146393881e-4
MUC1,4,0,NA,7.163938215097112e-4
MUC4,3,0,NA,6.547788177329464e-4
MVP,1,0,NA,6.513202146393881e-4
MX1,1,0,NA,6.513202146393881e-4
MYD88,2,0,NA,6.777653756165483e-4
NAA35,1,0,NA,6.513202146393881e-4
NMI,1,0,NA,6.513202146393881e-4
NOX5,1,0,NA,6.513202146393881e-4
NR1H4,1,0,NA,6.513202146393881e-4
OAS1,1,0,NA,6.513202146393881e-4
OAS2,2,0,NA,6.552127767160407e-4
OAS3,1,0,NA,6.513202146393881e-4
OASL,1,0,NA,6.513202146393881e-4
OPRM1,2,0,NA,6.53060214706473e-4
PARP14,1,0,NA,6.513202146393881e-4
PIM1,5,0,NA,7.691998753531223e-4
PLAU,5,0,NA,6.878404274862961e-4
PLSCR1,1,0,NA,6.513202146393881e-4
PML,1,0,NA,6.513202146393881e-4
PPARA,1,0,NA,6.513202146393881e-4
PPIP5K2,1,0,NA,6.513202146393881e-4
PRF1,4,0,NA,7.674598752860375e-4
PRKCE,2,0,NA,6.53060214706473e-4
PROS1,1,0,NA,6.513202146393881e-4
PSMB9,1,0,NA,6.513202146393881e-4
PTGFR,1,0,NA,6.513202146393881e-4
PTTG1IP,1,0,NA,6.513202146393881e-4
PWP2,1,0,NA,6.513202146393881e-4
RBAK,1,0,NA,6.513202146393881e-4
REV3L,1,0,NA,6.513202146393881e-4
RIPK1,1,0,NA,6.513202146393881e-4
RNF213,1,0,NA,6.513202146393881e-4
RPS24,1,0,NA,6.513202146393881e-4
S100A10,1,0,NA,6.513202146393881e-4
SBNO2,1,0,NA,6.513202146393881e-4
SCARB1,2,0,NA,6.569127239205493e-4
SEMA4B,1,0,NA,6.513202146393881e-4
SLC2A2,1,0,NA,6.513202146393881e-4
SMARCA4,1,0,NA,6.513202146393881e-4
SNRNP27,1,0,NA,6.513202146393881e-4
SOCS1,3,0,NA,6.569527767831256e-4
SOCS2,2,0,NA,6.530388176658616e-4
SOCS4,1,0,NA,6.513202146393881e-4
SOCS5,1,0,NA,6.513202146393881e-4
SOCS6,1,0,NA,6.513202146393881e-4
SOCS7,1,0,NA,6.513202146393881e-4
STAT2,1,0,NA,6.513202146393881e-4
TAP1,1,0,NA,6.513202146393881e-4
TBX21,2,0,NA,7.065168298206122e-4
TFF1,2,0,NA,6.552993072371814e-4
TH,1,0,NA,6.513202146393881e-4
TIMP1,4,0,NA,6.736790238077389e-4
TLR3,1,0,NA,6.513202146393881e-4
TNFRSF8,3,0,NA,6.569527767831256e-4
TNFSF11,2,0,NA,6.530388176658616e-4
TNFSF13B,1,0,NA,6.513202146393881e-4
TRIM25,1,0,NA,6.513202146393881e-4
UBR1,1,0,NA,6.513202146393881e-4
UPP1,1,0,NA,6.513202146393881e-4
VEGFA,9,0,NA,7.917789031306516e-4
VEGFC,1,0,NA,6.513202146393881e-4
VEGFD,1,0,NA,6.513202146393881e-4
VIP,2,0,NA,6.569127239205493e-4
VPS33B,1,0,NA,6.513202146393881e-4
WARS1,1,0,NA,6.513202146393881e-4
ZC3HAV1,1,0,NA,6.513202146393881e-4
ZFP1,1,0,NA,6.513202146393881e-4
ZFP30,1,0,NA,6.513202146393881e-4
ZNF107,1,0,NA,6.513202146393881e-4
ZNF112,1,0,NA,6.513202146393881e-4
ZNF114,1,0,NA,6.513202146393881e-4
ZNF12,1,0,NA,6.513202146393881e-4
ZNF124,1,0,NA,6.513202146393881e-4
ZNF140,1,0,NA,6.513202146393881e-4
ZNF155,1,0,NA,6.513202146393881e-4
ZNF157,1,0,NA,6.513202146393881e-4
ZNF169,1,0,NA,6.513202146393881e-4
