Node,Degree,Betweenness,Closeness,PageRank
TNS3,3,0,NA,6.418986249957755e-4
TOP3B,1,0,NA,6.274929631571269e-4
TP73,1,0,NA,6.274929631571269e-4
TRAPPC9,1,0,NA,6.274929631571269e-4
TRIO,2,0,NA,6.302064735401373e-4
TSNARE1,1,0,NA,6.274929631571269e-4
TTC7A,4,0,NA,6.621871868842344e-4
TTYH3,2,0,NA,6.355512667187943e-4
TXNRD2,1,0,NA,6.274929631571269e-4
UBAC1,2,0,NA,6.353142577905101e-4
UNC5A,2,0,NA,6.302064735401373e-4
VAV2,2,0,NA,6.353142577905101e-4
WDR86,1,0,NA,6.274929631571269e-4
WNK2,1,0,NA,6.274929631571269e-4
WNT4,2,0,NA,6.302064735401373e-4
WNT7A,1,0,NA,6.274929631571269e-4
XXYLT1,2,0,NA,6.302064735401373e-4
YEATS2,1,0,NA,6.274929631571269e-4
ZBTB16,1,0,NA,6.274929631571269e-4
ZBTB7C,2,0,NA,6.339789148043227e-4
ZC3H18,1,0,NA,6.274929631571269e-4
ZFYVE28,2,0,NA,6.353142577905101e-4
ZMIZ1,3,0,NA,6.400555112266199e-4
ZNF469,2,0,NA,6.353142577905101e-4
ZNF608,1,0,NA,6.274929631571269e-4
PNPLA6,2,0,NA,6.439954157844133e-4
ACAP3,4,0,NA,6.641603611256336e-4
ACTB,3,0,NA,6.530729137681828e-4
ADAM8,2,0,NA,6.399662640035795e-4
AKT1,1,0,NA,6.319079604419119e-4
AP3D1,2,0,NA,6.392947387067738e-4
ARHGAP45,1,0,NA,6.319079604419119e-4
ASPSCR1,3,0,NA,6.565143102745335e-4
BAIAP3,1,0,NA,6.319079604419119e-4
BCAR1,3,0,NA,6.47116033340157e-4
BCL9L,1,0,NA,6.319079604419119e-4
BHLHE40,1,0,NA,6.319079604419119e-4
CDC42BPG,2,0,NA,6.346214708249225e-4
CIC,1,0,NA,6.319079604419119e-4
COMT,1,0,NA,6.319079604419119e-4
DAB2IP,4,0,NA,6.539956900263784e-4
DNMT3A,2,0,NA,6.346214708249225e-4
ECE1,4,0,NA,6.489287171055014e-4
EFNA2,1,0,NA,6.319079604419119e-4
EML2,1,0,NA,6.319079604419119e-4
EPS8L2,3,0,NA,6.496362282775805e-4
FBXL16,1,0,NA,6.319079604419119e-4
FMNL1,1,0,NA,6.319079604419119e-4
GATAD2A,2,0,NA,6.346214708249225e-4
HS6ST1,1,0,NA,6.319079604419119e-4
IGF2BP1,1,0,NA,6.319079604419119e-4
KAZN,3,0,NA,6.424427654583056e-4
KHSRP,1,0,NA,6.319079604419119e-4
KRT8,2,0,NA,6.383939120891077e-4
MARK4,1,0,NA,6.319079604419119e-4
METRNL,2,0,NA,6.41577924715913e-4
MGRN1,2,0,NA,6.531818818447142e-4
MNT,3,0,NA,6.420082490897844e-4
MSLN,1,0,NA,6.319079604419119e-4
MXRA8,1,0,NA,6.319079604419119e-4
NDRG2,1,0,NA,6.319079604419119e-4
