ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,fold_enrichment,ci_lower,ci_upper
PID_CASPASE_PATHWAY,PID_CASPASE_PATHWAY,8/376,48/2388,0.16666666666666666,1.0585106382978724,0.1769920133931463,0.4913857241046098,0.894742368253399,0.8727991136999266,LMNA/TOP1/PTK2/CASP7/LMNB1/CASP1/CASP2/CASP4,8,8.645833333333334,4.061959515313695,18.40255515742259
PID_MTOR_4PATHWAY,PID_MTOR_4PATHWAY,11/376,67/2388,0.16417910447761194,1.0427119720546205,0.1532694498728082,0.4918740767885178,0.894742368253399,0.8727991136999266,SGK1/PXN/BNIP3/DEPTOR/DDIT4/YWHAG/EIF4EBP1/CDK2/RRAGD/EEF2K/PRR5,11,8.51679104477612,4.465109868056572,16.245004455388624
PID_HNF3A_PATHWAY,PID_HNF3A_PATHWAY,6/376,36/2388,0.16666666666666666,1.0585106382978724,0.1528880605034845,0.5100627009706604,0.9104857559382817,0.8881564001161525,SERPINA1/FOS/JUN/NFIC/DSCAM/SFTPD,6,8.645833333333332,3.621161889004853,20.64266561921655
PID_PI3K_PLC_TRK_PATHWAY,PID_PI3K_PLC_TRK_PATHWAY,6/376,36/2388,0.16666666666666666,1.0585106382978724,0.1528880605034845,0.5100627009706604,0.9104857559382817,0.8881564001161525,YWHAG/GAB1/EGR1/GRB2/CAMK4/STAT5A,6,8.645833333333332,3.621161889004853,20.64266561921655
PID_RB_1PATHWAY,PID_RB_1PATHWAY,10/376,62/2388,0.16129032258064516,1.0243651338366506,0.08401676098765765,0.521483483949394,0.922253198466058,0.8996352500881359,CDKN1A/ATF7/CEBPD/JUN/CEBPA/RBP2/CDK2/PPARG/CCNA2/SFTPD,10,8.366935483870968,4.257208874023807,16.444015659746462
PID_P38_GAMMA_DELTA_PATHWAY,PID_P38_GAMMA_DELTA_PATHWAY,2/376,11/2388,0.18181818181818182,1.1547388781431336,0.22232450773642728,0.5363206886134391,0.9308976703947658,0.9080677192608078,MAP2K3/EEF2K,2,9.431818181818182,2.0833410608848095,42.7002548383002
PID_IL27_PATHWAY,PID_IL27_PATHWAY,4/376,24/2388,0.16666666666666666,1.0585106382978724,0.12451534161247323,0.5366713339468369,0.9308976703947658,0.9080677192608078,STAT3/IL1B/STAT5A/STAT1,4,8.645833333333334,2.985146395317925,25.040793357746438
PID_AR_TF_PATHWAY,PID_AR_TF_PATHWAY,8/376,50/2388,0.16,1.0161702127659573,0.04994415007013307,0.5409928869833456,0.9308976703947658,0.9080677192608078,KAT2B/MAP2K4/JUN/NCOA1/CEBPA/EGR1/RXRG/DNAJA1,8,8.3,3.907764276008716,17.629006033691056
PID_NEPHRIN_NEPH1_PATHWAY,PID_NEPHRIN_NEPH1_PATHWAY,5/376,31/2388,0.16129032258064516,1.0243651338366506,0.05901684663281035,0.5529754880211584,0.935010783747929,0.9120799598974011,NCK2/MAP2K4/JUN/PRKCZ/GRB2,5,8.366935483870968,3.2355705876485654,21.63624853634712
PID_SMAD2_3NUCLEAR_PATHWAY,PID_SMAD2_3NUCLEAR_PATHWAY,12/376,77/2388,0.15584415584415584,0.9897761812655429,-0.03941528531025249,0.5655142747724284,0.935010783747929,0.9120799598974011,CBFB/KAT2B/ATF3/CDKN1A/FOS/RUNX1/JUN/NCOA1/MED15/CDK2/FOXG1/TFE3,12,8.084415584415584,4.362919601395469,14.980284147486248
PID_INTEGRIN2_PATHWAY,PID_INTEGRIN2_PATHWAY,4/376,25/2388,0.16,1.0161702127659573,0.0351285336477667,0.5709167912345697,0.935010783747929,0.9120799598974011,PLAUR/JAM3/THY1/FCGR2A,4,8.3,2.874392811934545,23.966800819278127
PID_TCR_CALCIUM_PATHWAY,PID_TCR_CALCIUM_PATHWAY,4/376,25/2388,0.16,1.0161702127659573,0.0351285336477667,0.5709167912345697,0.935010783747929,0.9120799598974011,CABIN1/FOS/JUN/JUNB,4,8.3,2.874392811934545,23.966800819278127
PID_ILK_PATHWAY,PID_ILK_PATHWAY,7/376,45/2388,0.15555555555555556,0.9879432624113476,-0.035290358084674546,0.5781982170648455,0.935010783747929,0.9120799598974011,PXN/NCK2/IQGAP1/ARHGEF7/JUN/PPP1R14C/ZEB1,7,8.069444444444443,3.6154830000702556,18.010300045861076
PID_WNT_NONCANONICAL_PATHWAY,PID_WNT_NONCANONICAL_PATHWAY,5/376,32/2388,0.15625,0.9923537234042553,-0.01882103463823413,0.583003931376215,0.935010783747929,0.9120799598974011,FZD5/PRKCZ/ROR2/PPARG/FLNA,5,8.10546875,3.1408605024406806,20.917396237806123
PID_CXCR3_PATHWAY,PID_CXCR3_PATHWAY,6/376,39/2388,0.15384615384615385,0.97708674304419,-0.06235679198642056,0.5935118489093936,0.935010783747929,0.9120799598974011,GNAO1/GNAI1/MAP2K3/GNAZ/ARRB1/DNM1,6,7.98076923076923,3.3584551859885035,18.964873427675656
PID_ECADHERIN_NASCENT_AJ_PATHWAY,PID_ECADHERIN_NASCENT_AJ_PATHWAY,6/376,39/2388,0.15384615384615385,0.97708674304419,-0.06235679198642056,0.5935118489093936,0.935010783747929,0.9120799598974011,CTNNA1/IQGAP1/RAP1A/ENAH/AFDN/ITGB7,6,7.98076923076923,3.3584551859885035,18.964873427675656
PID_P38_MKK3_6PATHWAY,PID_P38_MKK3_6PATHWAY,4/376,26/2388,0.15384615384615385,0.97708674304419,-0.05077380334108145,0.6037057658911483,0.935010783747929,0.9120799598974011,GADD45B/MAP3K5/MAP2K3/TRAF6,4,7.980769230769231,2.77156220499495,22.98078585427562
PID_VEGFR1_PATHWAY,PID_VEGFR1_PATHWAY,4/376,26/2388,0.15384615384615385,0.97708674304419,-0.05077380334108145,0.6037057658911483,0.935010783747929,0.9120799598974011,VEGFA/HIF1A/SHC2/PTPN11,4,7.980769230769231,2.77156220499495,22.98078585427562
PID_CMYB_PATHWAY,PID_CMYB_PATHWAY,12/376,79/2388,0.1518987341772152,0.9647185564233774,-0.1378332731031272,0.6038629787170526,0.935010783747929,0.9120799598974011,PIM1/MAT2A/COPA/IQGAP1/CDKN1A/CEBPD/CEBPA/SND1/MAF/ETS2/HES1/TOM1,12,7.879746835443037,4.256825840864545,14.586081862833321
PID_TAP63_PATHWAY,PID_TAP63_PATHWAY,8/376,53/2388,0.1509433962264151,0.9586511441188278,-0.13157219902027573,0.61152517914398,0.935010783747929,0.9120799598974011,DICER1/ITGB4/FLOT2/CDKN1A/WWP1/PMAIP1/MFGE8/CABLES1,8,7.830188679245283,3.697247839491488,16.58310651985226
PID_NCADHERIN_PATHWAY,PID_NCADHERIN_PATHWAY,5/376,33/2388,0.15151515151515152,0.9622823984526112,-0.09430000727680368,0.611918052191053,0.935010783747929,0.9120799598974011,CTNNA1/GJA1/PTPN1/PTPN11/CAMK2G,5,7.859848484848485,3.0515379868973693,20.244617130782167
PID_UPA_UPAR_PATHWAY,PID_UPA_UPAR_PATHWAY,5/376,33/2388,0.15151515151515152,0.9622823984526112,-0.09430000727680368,0.611918052191053,0.935010783747929,0.9120799598974011,DOCK1/PLAUR/BCAR1/ITGB3/PDGFRB,5,7.859848484848485,3.0515379868973693,20.244617130782167
PID_RHODOPSIN_PATHWAY,PID_RHODOPSIN_PATHWAY,3/376,20/2388,0.15,0.952659574468085,-0.09188877248709591,0.6313449168675227,0.9549006433351727,0.9314820273922602,GUCA1B/RGS9/SLC24A1,3,7.781249999999999,2.302328280498612,26.298530959011295
