"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Metabolism","Metabolism of terpenoids and polyketides","mmu00900","Terpenoid backbone biosynthesis","5/1217","23/9577",0.217391304347826,1.71072844842985,1.3019947048708,0.159073591077361,0.354698064833888,0.273090840894663,"110196/110460/17855/15357/68603",5
"Human Diseases","Infectious disease: viral","mmu05163","Human cytomegalovirus infection","38/1217","254/9577",0.149606299212598,1.17730445978558,1.09267975083541,0.159107417654058,0.354698064833888,0.273090840894663,"14972/21937/11652/18019/18797/18752/12317/14964/14695/12915/11513/19303/11514/20315/14102/19229/19744/16177/26399/18750/16451/20302/18021/14082/224129/12010/12767/16150/18035/19218/19225/14827/22030/12912/18709/14708/12028/13557",38
"Genetic Information Processing","Information processing in viruses","mmu03265","Virion - Ebolavirus, Lyssavirus and Morbillivirus","4/1217","17/9577",0.235294117647059,1.85161196771231,1.34082311891634,0.160949924177844,0.354873757074263,0.273226110709809,"18145/17968/11889/18053",4
"Human Diseases","Cancer: specific types","mmu05220","Chronic myeloid leukemia","13/1217","76/9577",0.171052631578947,1.34607317389612,1.15564459427159,0.161902410336424,0.354873757074263,0.273226110709809,"21808/11652/21813/20418/216148/13016/20416/16150/18035/107986/18709/12028/13557",13
"Environmental Information Processing","Signal transduction","mmu04310","Wnt signaling pathway","27/1217","175/9577",0.154285714285714,1.2141284188285,1.09073043131775,0.163903997303414,0.354873757074263,0.273226110709809,"57265/20379/16476/18019/18797/18752/54612/22413/22417/18750/14366/22411/18021/20317/20319/22420/21414/11789/13016/93759/54630/20187/16348/93735/16842/14160/12301",27
"Organismal Systems","Endocrine system","mmu04922","Glucagon signaling pathway","17/1217","104/9577",0.163461538461538,1.28633619872322,1.12016855013075,0.164566736146797,0.354873757074263,0.273226110709809,"12894/18641/20525/78070/11652/18797/110078/74551/14936/18639/100705/68401/56421/93759/18679/103988/12912",17
"Metabolism","Nucleotide metabolism","mmu00240","Pyrimidine metabolism","10/1217","56/9577",0.178571428571429,1.40524122549595,1.16038089574422,0.166990252765376,0.354873757074263,0.273226110709809,"67464/12497/22271/382985/55936/230718/21915/99586/80914/22247",10
"Cellular Processes","Transport and catabolism","mmu04144","Endocytosis","40/1217","270/9577",0.148148148148148,1.16582975744849,1.05456586521391,0.167485324645444,0.354873757074263,0.273226110709809,"11772/14972/193740/12389/18719/67588/30948/15481/18717/319277/15511/14964/17274/330192/74192/19158/68942/234353/13132/234852/12391/21813/69710/225861/230837/76709/16185/216724/70160/12767/218038/216869/65114/11867/16574/71889/22365/116733/14184/106572",40
"Metabolism","Lipid metabolism","mmu00561","Glycerolipid metabolism","11/1217","63/9577",0.174603174603175,1.37401364270715,1.1363454158924,0.170057312536218,0.354873757074263,0.273226110709809,"67916/110197/11669/69060/68262/14732/56752/235582/102247/64899/231510",11
"Environmental Information Processing","Signal transduction","mmu04330","Notch signaling pathway","11/1217","63/9577",0.174603174603175,1.37401364270715,1.1363454158924,0.170057312536218,0.354873757074263,0.273226110709809,"19208/16848/208117/15213/68318/13016/56381/19165/66935/18222/19664",11
"Organismal Systems","Endocrine system","mmu04929","GnRH secretion","11/1217","63/9577",0.174603174603175,1.37401364270715,1.1363454158924,0.170057312536218,0.354873757074263,0.273226110709809,"16524/11652/18797/18752/239556/18750/22066/216869/16514/54393/18709",11
"Human Diseases","Infectious disease: viral","mmu05165","Human papillomavirus infection","52/1217","359/9577",0.144846796657382,1.1398502642463,1.03044871688846,0.170558544177134,0.354873757074263,0.273226110709809,"14972/57265/22370/103733/21937/11652/16419/54411/21826/14964/13645/16848/11966/101206/19303/19106/14102/22413/19744/14268/665033/15213/22417/16451/14366/22411/66335/66237/11972/68553/12843/22420/14082/21414/11789/245000/16412/106759/16150/93735/105782/11964/19225/12839/12912/18709/12842/12028/140494/103768/68775/19664",52
"Metabolism","Metabolism of other amino acids","mmu00470","D-Amino acid metabolism","2/1217","6/9577",0.333333333333333,2.62311695425911,1.51733333926811,0.171058705308252,0.354873757074263,0.273226110709809,"70503/217830",2
"Genetic Information Processing","Folding, sorting and degradation","mmu04141","Protein processing in endoplasmic reticulum","27/1217","176/9577",0.153409090909091,1.20722996190334,1.0586589509373,0.171489433284304,0.354873757074263,0.273226110709809,"71853/14828/81489/193740/22433/227619/12304/15481/50527/67838/12317/15511/19358/12915/74126/66861/230904/75744/15502/66245/67437/14827/22027/64209/19089/22030/12028",27
"Environmental Information Processing","Signal transduction","mmu04071","Sphingolipid signaling pathway","20/1217","126/9577",0.158730158730159,1.24910331155196,1.07389077355644,0.172503002873414,0.354873757074263,0.273226110709809,"70059/230379/21937/11652/18797/18752/208449/13033/13609/20598/18754/76893/18750/241447/18201/433323/22030/18709/12028/54447",20
"Metabolism","Glycan biosynthesis and metabolism","mmu00563","Glycosylphosphatidylinositol (GPI)-anchor biosynthesis","6/1217","30/9577",0.2,1.57387017255546,1.20108857983324,0.173381178456283,0.354873757074263,0.273226110709809,"56176/14756/230801/327942/67556/78928",6
"Human Diseases","Endocrine and metabolic disease","mmu04934","Cushing syndrome","25/1217","162/9577",0.154320987654321,1.21440599734218,1.05007058597203,0.174682143828439,0.355457850813683,0.27367581897234,"57265/18797/12915/11513/18584/11514/218461/77037/239556/22413/11606/22417/14366/22411/22420/21414/13070/224129/11789/15370/93735/16842/12912/12579/13557",25
"Human Diseases","Neurodegenerative disease","mmu05014","Amyotrophic lateral sclerosis","54/1217","375/9577",0.144,1.13318652423993,1.00385046339701,0.176764498861037,0.357616038158168,0.275337460957868,"14828/22433/382562/14814/56488/21937/16593/66413/74018/19185/445007/17274/71805/18039/12359/14800/68942/19181/100504663/73677/12865/26399/20511/18141/84682/14799/69590/69077/19182/14812/51897/57296/23996/18643/67665/66679/13163/56436/18040/233908/19172/12859/69654/16574/21681/21762/19069/18125/232943/19132/20239/22030/68118/12028",54
"Organismal Systems","Endocrine system","mmu04923","Regulation of lipolysis in adipocytes","10/1217","57/9577",0.175438596491228,1.38058787066269,1.09953261436729,0.180989797562214,0.364059937625143,0.280298779043719,"22095/19092/11652/18166/11513/11514/224129/19218/19225/18709",10
"Environmental Information Processing","Signal transduction","mmu04340","Hedgehog signaling pathway","10/1217","58/9577",0.172413793103448,1.35678463151333,1.03982125678271,0.195506513042954,0.387964936748468,0.298703831000324,"74770/14725/16147/240888/19207/216869/14634/16568/226861/16576",10
"Organismal Systems","Endocrine system","mmu04916","Melanogenesis","16/1217","100/9577",0.16,1.25909613804437,0.993710133090035,0.196462220311999,0.387964936748468,0.298703831000324,"57265/18797/18752/11513/11514/22413/22417/18750/14366/22411/22420/21414/224129/93735/16842/12912",16
"Human Diseases","Cancer: specific types","mmu05215","Prostate cancer","16/1217","100/9577",0.16,1.25909613804437,0.993710133090035,0.196462220311999,0.387964936748468,0.298703831000324,"18791/11652/13645/21417/11835/54635/21414/20732/16150/18035/16842/22027/21802/12912/18709/13557",16
"Organismal Systems","Immune system","mmu04657","IL-17 signaling pathway","15/1217","93/9577",0.161290322580645,1.26925013915763,0.99548760552843,0.197307882117792,0.387964936748468,0.298703831000324,"14281/16476/20201/57890/50772/20202/14282/14082/21929/16150/16819/18035/19225/22027/22030",15
"Environmental Information Processing","Signal transduction","mmu04390","Hippo signaling pathway","24/1217","158/9577",0.151898734177215,1.19534443485225,0.944629289403568,0.202149503132039,0.39526439159896,0.304323862404011,"57265/21808/15901/12159/54401/12550/12160/11839/12162/22413/29806/22417/14366/22411/21813/22420/21414/11789/93735/105782/16842/14164/13385/12386",24
"Organismal Systems","Digestive system","mmu04972","Pancreatic secretion","18/1217","115/9577",0.156521739130435,1.23172448286949,0.953813772397789,0.204633916384634,0.397899281859011,0.306352529792201,"69060/98660/18797/18752/54403/17274/11513/11514/381290/18750/12638/224129/19340/233979/20496/80718/16535/11931",18
"Metabolism","Metabolism of other amino acids","mmu00480","Glutathione metabolism","12/1217","73/9577",0.164383561643836,1.29359192264833,0.960697229707107,0.211349421187118,0.408686726052439,0.314658050735111,"76263/75475/14381/93674/14862/11758/382985/93673/69590/54486/16790/269951",12
"Metabolism","Carbohydrate metabolism","mmu00020","Citrate cycle (TCA cycle)","6/1217","32/9577",0.1875,1.47550328677075,1.02795656645884,0.214365876184381,0.412242069585349,0.317395397936389,"74551/20917/78920/12974/67834/269951",6
"Human Diseases","Infectious disease: parasitic","mmu05143","African trypanosomiasis","7/1217","39/9577",0.17948717948718,1.4124475907549,0.984706114457257,0.220191045224576,0.420590412631873,0.323822994387246,"18797/18752/50492/14102/18750/15930/16173",7
"Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","15/1217","95/9577",0.157894736842105,1.24252908359642,0.90637907778429,0.221110388355042,0.420590412631873,0.323822994387246,"21937/57266/20315/56744/20302/16185/55985/12767/237313/17000/21933/16173/76527/12977/24047",15
"Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","42/1217","294/9577",0.142857142857143,1.12419298039676,0.825202924681593,0.227869463200131,0.431104389838086,0.331917966311429,"77125/14600/21808/21937/57266/100532/12159/57890/12160/12162/20315/14102/69583/12986/16157/16177/21813/29820/12504/269275/16878/56744/20302/11482/16185/18414/16164/16168/55985/57916/12767/16323/237313/17000/18053/110075/320100/21933/16173/76527/12977/24047",42
"Human Diseases","Infectious disease: viral","mmu05168","Herpes simplex virus 1 infection","31/1217","213/9577",0.145539906103286,1.14530458566243,0.818224800154637,0.233792732289788,0.439932560760354,0.338714994149325,"14972/21937/11652/12317/14998/14964/14999/19106/14102/78781/246727/19744/332579/231805/16451/58235/209354/14082/16149/12010/13163/14960/106759/16150/18035/21681/14827/22030/18709/12028/246730",31
