gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
AC025569.1,-1.2359636266876888,4.8283709906936725,2.5643602098539e-4,0.00733883985658105,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
HS3ST1,-1.4386582904471277,2.5327789288375535,2.5702303780898e-4,0.00734796133560792,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC068643.1,-1.7727560141815402,0.8390419418321932,2.5797413789283e-4,0.00736746161481647,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
EML1,-0.8343361697201225,5.382817493759962,2.5931905185735e-4,0.00738370652242567,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
ECM2,-1.1808187864065365,2.675944781033688,2.5935174801276e-4,0.00738370652242567,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AL357141.1,-1.1087836748044169,3.050587311399338,2.5991441319007e-4,0.00738437339050812,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
PLD5,-0.7260285725612597,7.459958477180408,2.6030402913398e-4,0.00738777901546264,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
ANKRD18B,-1.8138217314577076,0.2090248899523965,2.6073309489567e-4,0.00738970574283804,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC010883.2,-2.924550574799249,-0.5460440683919633,2.6099423761114e-4,0.00738970574283804,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
NSG2,-1.188898885540566,4.708060263130961,2.6118163758253e-4,0.00738970574283804,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AL450345.2,-1.1362235780220888,3.225379077623032,2.6159252119144e-4,0.00738970574283804,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
LPAR4,-2.31780407993763,-0.26554988469868174,2.6172099352099e-4,0.00738970574283804,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC018647.1,-1.084434089772477,5.5297800391805305,2.6374683043018e-4,0.00742682985081704,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
CYBB,-1.1512256579579565,4.873779691095453,2.6400810239345e-4,0.00742682985081704,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AL360178.1,-1.8049897392519785,2.9663408076354276,2.6412050075565e-4,0.00742682985081704,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC103794.1,-2.259431352468413,0.5746218409219923,2.6445437091981e-4,0.00742859108795065,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
TLR7,-1.2615838955389669,2.487553368787509,2.6552891113945e-4,0.00744350646702905,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
SRGAP2B,-0.7334958658414112,6.558120653349192,2.6621014175788e-4,0.00745174875498555,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
PPP1R9A,-0.5226888316664313,8.532024442166616,2.6758803534152e-4,0.00745458603486831,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
NLGN4X,-0.6056847463642994,6.9369694201641465,2.6762889116344e-4,0.00745458603486831,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
ELOVL2,-1.0728668055728616,3.0581658256485795,2.678294383785e-4,0.00745458603486831,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
KCNMB2,-1.2479181189395097,6.9877605574060855,2.6984698905308e-4,0.0074652215517028,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
LINC00958,-1.91453756219135,0.8502404494804041,2.7062331972276e-4,0.00747914377453785,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
CCDC171,-0.8343111667170133,5.7295842454690575,2.7135851318353e-4,0.00748042440506229,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
KCNJ16,-1.2870179319979076,2.0758504499119117,2.7426302266422e-4,0.00753691422788711,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
GIMAP6,-2.2333198679479755,-0.10484919759972323,2.7531575583044e-4,0.00754451177528093,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
TRAF3IP3,-1.1450031592346674,3.322045261463166,2.7837194365884e-4,0.00759496699269528,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
RMDN2,-0.899663422554462,3.845994344650143,2.7841926612626e-4,0.00759496699269528,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
PTPRG,-0.6978017234230168,6.802782480066328,2.8027146667951e-4,0.00762095763224192,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
DIAPH2-AS1,-1.348426131714993,4.3436674891134475,2.80322129822e-4,0.00762095763224192,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
NCAN,-1.002154289082061,3.3127964448178595,2.810280116925e-4,0.00762095763224192,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
MOV10L1,-1.479094049016015,2.030375323412582,2.8242680036854e-4,0.00763370320830189,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
DHRS9,-1.931831258938832,3.070589070706821,2.8262679093332e-4,0.00763370320830189,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
ST6GAL1,-0.5952384294036139,7.862121563107025,2.8330947487987e-4,0.00763370320830189,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AP001977.1,-0.9775712901793168,3.7292379815495,2.8348571472848e-4,0.00763370320830189,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
SMIM35,-1.2566087157310817,2.253399968680786,2.8388665550774e-4,0.00763370320830189,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
DPP6,-0.6189048974314207,8.983576810583168,2.8402373683408e-4,0.00763370320830189,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
FAP,-4.58072553860323,3.4939663103849377,2.8474381294657e-4,0.00763508633857516,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
LIX1-AS1,-0.8332725425437711,5.285548245994058,2.871570245976e-4,0.00765576818868186,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AL357522.1,-0.8695012164908557,3.995170683278959,2.8723686977246e-4,0.00765576818868186,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
OSBPL6,-0.6922817032012513,5.644636674490177,2.8763639061463e-4,0.00765576818868186,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
MFGE8,-1.0398011443465052,3.4067436233223125,2.8897299366733e-4,0.00768387606850587,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
KCNMA1-AS1,-1.2000863809653857,2.701913905140644,2.8936316409578e-4,0.00768678791295366,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
GALNT7,-0.6484445491022774,6.07201028747777,2.9034291901625e-4,0.00769788176768359,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
LINC01619,-1.1661378523796078,2.9107465981906633,2.9201346395417e-4,0.00771999575188128,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AL358154.1,-2.2823139315269825,-0.2560853210535378,2.9287063958619e-4,0.00773494800095154,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
LINC01376,-0.5783600366984276,6.121164052282584,2.9393147203963e-4,0.00775548666302645,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AC008738.2,-3.0399549319710486,-0.9835592644521092,2.9510431527665e-4,0.00777145864115089,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AL445070.1,-5.072210227472323,-3.0692273504678877,2.9865503536665e-4,0.00783483152166851,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
DSCAM,-0.9219287025886552,9.04960840731492,3.0117194985453e-4,0.00788575273672659,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
USP43,-1.173752659601999,2.609825563540434,3.0150825290613e-4,0.00788701817630678,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
DLGAP1-AS4,-1.3809151493574423,2.0143795899291,3.0253175877383e-4,0.00790624027604744,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC025040.1,-1.8264283234887717,1.1882397068267698,3.0342680111798e-4,0.00791462975917629,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
NR2F1-AS1,-1.164531463188714,5.016386265160423,3.0622434672961e-4,0.00793996508222468,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AP000977.1,-2.923556762828087,-2.2928938741926843,3.0625703629246e-4,0.00793996508222468,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
MCTP1,-0.8427152225527171,5.050118345613079,3.0711313764911e-4,0.00794312652940484,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
GOLGA8B,-0.850311644408577,4.167894863533818,3.0713345241126e-4,0.00794312652940484,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AL158058.1,-2.629509046517144,-1.1846475427960848,3.0749963185741e-4,0.00794401964402524,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AL121894.3,-3.3285325338475897,-1.473006811973158,3.0912480012691e-4,0.00795694571323993,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
S100Z,-1.2343000665504131,4.288564607231225,3.0917829970482e-4,0.00795694571323993,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
TBCE,-1.0221586239311342,2.9965906964658835,3.0985097449499e-4,0.00795694571323993,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
CCND3,-1.2217701967712062,4.67805045239974,3.099920065732e-4,0.00795694571323993,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
FLRT2,-1.1401702387424344,5.504241582810806,3.1230572388328e-4,0.00800133691834929,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
RASGRP3,-0.5472871874186686,7.071194575655901,3.1810902856464e-4,0.0081185581755795,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
NRSN1,-2.1513609846695765,3.180320697256802,3.186862310836e-4,0.0081192358110862,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
GRAMD1B,-1.2273286574550428,4.906429608630986,3.1931619767593e-4,0.00812772492746148,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC037450.1,-1.6787260804274284,0.9955989008552504,3.1980308750579e-4,0.00813255985200437,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
PRAG1,-0.9925507717016546,3.776027661556178,3.2196130471019e-4,0.00816470019759532,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
HECTD2,-0.623678598344878,5.434844654137612,3.2270701388577e-4,0.00817604042211256,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
WDR86,-1.423175723698579,1.5646138041257045,3.2424756364815e-4,0.00819990052926643,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
RIMS2,-0.6739302381262734,6.399448719486371,3.3160353062345e-4,0.00834042110923836,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AC010378.2,-1.3377144635226677,3.1013898474862183,3.3216350735835e-4,0.00834042110923836,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
CU633906.2,-2.627938338428903,-0.34185128145779625,3.3223440216884e-4,0.00834042110923836,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
UNC80,-0.9700023586406908,4.909430321742597,3.3224037644877e-4,0.00834042110923836,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AC090138.1,-1.3509735884497842,2.617361971110133,3.3269651536152e-4,0.0083431871806577,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC068725.1,-2.475614821153779,2.230046171648886,3.3338641481438e-4,0.00834624052005152,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
B3GALT5,-1.5739602095070977,1.5987685645775247,3.3452591774052e-4,0.00836711948408903,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC023051.1,-1.084112173133885,4.832808442133075,3.3497606167262e-4,0.00837073392070244,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
LIX1,-1.2524039837023382,2.3707393102761247,3.361862545996e-4,0.00838870724842977,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
PTPRO,-0.7455999197298361,4.642257351451309,3.3708590468522e-4,0.00838870724842977,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AL157413.1,-1.2559535906267612,2.9281163693876535,3.3887971931214e-4,0.00842217581898457,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
GCNT2,-1.1340669842808464,4.597700901733178,3.3922836985849e-4,0.00842319727441923,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
ESRRB,-1.2316635311605122,2.367664563421307,3.4058214775314e-4,0.0084491520495138,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC093535.1,-0.9153318368151452,5.947039171881197,3.4121040702241e-4,0.0084570774909774,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
LPXN,-0.7498554569754393,5.032205362230557,3.4229300528392e-4,0.00847623944730201,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
IRF5,-1.9125033521253885,1.8535819356810757,3.4377066113867e-4,0.00849746468164801,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AL591518.1,-1.7275462734672946,0.8887464893299665,3.4510038026078e-4,0.00852264131161628,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
CPA6,-2.559932286242127,3.0950088109877116,3.4820406047205e-4,0.00858796275732084,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
ARHGAP42,-0.8650414608827626,5.280439504173046,3.4837252166581e-4,0.00858796275732084,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
PLCB1,-1.0808786321391026,7.408438000834813,3.5161704878949e-4,0.00863386117599338,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
OPCML,-0.7660949305367074,8.408243118154154,3.5206932667229e-4,0.00863386117599338,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AL358473.1,-2.0764479550449217,-0.6543887858799867,3.5212585561503e-4,0.00863386117599338,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
SRGAP2,-0.5677629957850421,7.690129246404135,3.537172952069e-4,0.0086651245806142509,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
HMGA1P4,-1.2647281479997552,2.6801071191905903,3.5604198866934e-4,0.00869983027628186,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
ZNF618,-0.7373112142192013,4.627837496057336,3.5608696289294e-4,0.00869983027628186,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
