gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
GBP1,1.610438458114234,1.8762787322315235,0.00119080502046039,0.01681122056720069,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
BVES-AS1,0.6453227428842848,4.18023422023891,0.00119304760682965,0.01683420291388489,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
AL391840.1,-1.1545634691197404,5.481924392990855,0.0011946797959223,0.01684855316720916,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
MAP3K1,-0.5936685589647105,5.639454857428327,0.00119750535144268,0.01687102703976968,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
LMNTD2,-2.22906109072888,-2.2712779533616967,0.00119866511988634,0.0168786839606413,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
GNA12,0.5275256611436691,6.330303782912122,0.00120042197091956,0.01688662345774072,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
NUP188,0.5384895114893896,4.816853120786957,0.00120046209552436,0.01688662345774072,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
AL603756.1,2.9130708343091185,-3.091819515099598,0.00120182165832358,0.01688730327647716,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
TAL1,-0.9364556836303564,4.018056671066399,0.00120184276943837,0.01688730327647716,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
LINC00102,-4.103055095531604,-3.152751589236435,0.00120236020845371,0.01688730327647716,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
LINC02552,-1.6455833272450018,-0.8044589061418842,0.00120372080213916,0.01689774747769734,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AP001057.1,2.1823770070700372,-1.483457843472989,0.00121106415650874,0.01698342299972427,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
SGSM1,-0.9519641356972812,4.164073475402618,0.00121270762561694,0.01699771737982059,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AL139353.2,-0.7371163391389988,4.001425065094897,0.00121449093230352,0.01699960513822574,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
CFAP47,-1.5082029601566571,2.3108798732062525,0.00121470086371797,0.01699960513822574,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AKR1C3,-1.2197163187872493,1.0524981833835598,0.00121679898854299,0.01701913495081669,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AL137230.1,1.4939580053077934,-0.309095934430015,0.00121808372679098,0.01702085566803652,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
AC234775.4,1.6291994050191725,0.16118492911052193,0.00122197907223643,0.01706595099294717,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
ANKFN1,-1.1054114129626076,4.681629402042411,0.00122255717278232,0.01706595099294717,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
CYP4F26P,-2.34823129784452,2.393912413672132,0.00122683891691496,0.01709957468522496,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
RGS9,-0.9331350078567908,3.668983799443662,0.00122941810649524,0.01712154258318832,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
TUBA1A,0.7611362311166527,8.12621025157495,0.00122969515580505,0.01712154258318832,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
LINC02576,-1.3127809309016123,1.167170315327108,0.00123029048501952,0.01712154258318832,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
CCND1,-1.027923846606942,3.2270404416911904,0.00123564052486435,0.01718365422538229,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
SLC5A4-AS1,-1.38254732051689,1.3088810492197456,0.00123614663150376,0.01718365422538229,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
ALDH5A1,-0.9101771417835044,2.555339315555826,0.00123700781034642,0.01718365422538229,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
PCDHB9,1.1485708421861496,1.4667180848421706,0.00123726325881604,0.01718365422538229,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
SRPX2,-1.3888948087663415,1.5445588064845828,0.00123882638853802,0.01719664324849435,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
HPSE,1.5894596993337025,0.819967808637315,0.00124030818126731,0.01720849061223366,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
CSF1,0.8620840031414938,3.8682010148804657,0.00124338642013471,0.01722898100674028,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
LINC01001,0.9432198671914672,3.417775389500804,0.00124430131558829,0.01722898100674028,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
COL12A1,-1.1185483904653435,2.3789778875297287,0.00124536107084139,0.01723494138868317,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
FABP7,-1.0487003882856012,1.6055929414397498,0.00124750139670266,0.01725584255196599,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
CASC2,-0.7386428032153735,4.620595200030745,0.00124864305228421,0.01726291565671881,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
ARC,1.950113987200491,-0.10455406902358876,0.00125000284903506,0.01727299597849267,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
LINC00539,-0.8204071016482292,3.47936317808678,0.00125242329630874,0.01729428284974619,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AC087164.1,1.3431541447458928,0.8846894841024636,0.00125280623535477,0.01729428284974619,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
LOR,-2.0217049740298414,-1.379235022816307,0.00125446403239905,0.01730335262951693,OUD_vs_Control_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
SRGAP2-AS1,-0.9183797135598852,4.056430204630762,0.00125507918995856,0.01730335262951693,OUD_vs_Control_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
