"gene_id","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Sp140",-0.482591679016574,1.5070146592784,-1.51018880187092,0.157276591009025,0.99996385589442,-4.55289107028815
"Il17ra",-0.448659048690871,2.46848575977312,-1.50966003028672,0.15740995456664,0.99996385589442,-4.53447135058706
"1110017D15Rik",0.523501589264658,4.10507729656334,1.5093812689545,0.15748030103351,0.99996385589442,-4.49637515356953
"Rpl9-ps6",-0.349723317095527,6.41380786385499,-1.50879448661414,0.157628465732121,0.99996385589442,-4.47545267150198
"AF251705",-0.630112254099773,2.88167576352927,-1.50842062052873,0.157722930529841,0.99996385589442,-4.52540359824403
"Gm3693",-0.403041577390731,1.42365211972649,-1.50657116450868,0.158190946007265,0.99996385589442,-4.55441135439673
"Crispld2",0.516656937526918,2.61105319691507,1.50651144688451,0.158206077682902,0.99996385589442,-4.5315046722854
"Ablim1",-0.323576417095533,6.26256266977412,-1.50583012612299,0.158378803271602,0.99996385589442,-4.47623713662262
"Cdkl5",0.378947992517064,6.37939236656548,1.50523243784964,0.158530459538004,0.99996385589442,-4.47620937314802
"Zfhx4",0.260753898845365,5.09830333840397,1.50438828855207,0.158744863982382,0.99996385589442,-4.48178582570202
"Gm4779",-0.528894571162114,0.795041549684049,-1.50422401938911,0.15878661532336,0.99996385589442,-4.56333618346275
"Tbc1d12",-0.229356488013829,4.50630029225282,-1.50403663409569,0.158834253424891,0.99996385589442,-4.48958683021539
"Pik3c2a",0.221105825372487,5.59590683026753,1.50358901710768,0.158948098511484,0.99996385589442,-4.47805127006677
"Cyp26b1",0.64381484323253,0.573820595436627,1.50353458934952,0.158961946203978,0.99996385589442,-4.56582866146473
"Samd5",0.355467156994432,3.32839753029544,1.5033323700212,0.159013404560687,0.99996385589442,-4.51509845463541
"Ciz1",-0.231032791954231,4.40303841574131,-1.50277277122181,0.15915587883132,0.99996385589442,-4.49169025036033
"Rsad2",-0.391875394986168,2.53113924684967,-1.50266501934079,0.15918332506942,0.99996385589442,-4.53367217160528
"Rsf1",0.325105881889574,7.75127310923092,1.50183182809643,0.15939568972213,0.99996385589442,-4.48145799155517
"3110070M22Rik",0.887694990939139,0.409042606300999,1.50149490172692,0.159481634616151,0.99996385589442,-4.56791317100248
"8430432A02Rik",-0.691754526763621,0.0813192312900112,-1.50018121725896,0.159817114357799,0.99996385589442,-4.57026105265056
"Zbed4",0.372012309245048,1.80626534156754,1.49567752518897,0.160971817237982,0.99996385589442,-4.54902269378352
"Dcps",-0.291185650830625,5.04795898732714,-1.49565635240061,0.160977262515618,0.99996385589442,-4.48481455585941
"Ifi44",-0.836626105693097,0.594269608325925,-1.49561648107963,0.160987517161691,0.99996385589442,-4.56617654089981
"Pappa",0.81984521778229,0.420970066265468,1.49561335976319,0.160988319967645,0.99996385589442,-4.56805183405466
"Gm1698",0.552000102993042,1.08031765266648,1.49532187434964,0.161063305393983,0.99996385589442,-4.56044137644258
"Usp42",0.229305767759048,4.72786224223295,1.49426094918023,0.161336483112725,0.99996385589442,-4.48897663015415
"Per1",0.268975662066868,5.43363471901696,1.49400044319977,0.161403621261574,0.99996385589442,-4.48185480854727
"Gm13476",-0.371317231458393,3.35105574971526,-1.49332072402915,0.16157891219105,0.99996385589442,-4.51655206597194
"Pex12",-0.265052815953597,3.20920544183302,-1.49285356410209,0.161699480960848,0.99996385589442,-4.51974626700064
"Psmb9",-0.453005465673437,2.02028606664997,-1.49282453420056,0.16170697578739,0.99996385589442,-4.54561110519439
"Gm10288",-0.380011400003919,5.85536094551119,-1.49264463737475,0.161753427456461,0.99996385589442,-4.48068639900858
"Cep85l",0.357590801126384,4.6050547975511,1.4925741587804,0.161771629037394,0.99996385589442,-4.49129907669212
"Tnfrsf21",-0.310889285569141,5.51987110360021,-1.49252472332026,0.16178439712707,0.99996385589442,-4.48203395213391
"Slc38a5",-0.587559641631444,2.58445789179915,-1.49196050640201,0.161930182830167,0.99996385589442,-4.53432551347858
"Smg5",0.320569163292605,5.60004796258266,1.49182260632173,0.161965831305122,0.99996385589442,-4.48152792428137
"Mtrr",0.319949581233736,2.9483767625374,1.49143497989994,0.162066072257647,0.99996385589442,-4.52608114923788
"Mxd1",0.261266362121535,5.19397135676171,1.4909132082083,0.162201086986987,0.99996385589442,-4.48466657013519
