gene,logFC,logCPM,PValue,FDR,contrast,significant_fdr05,significant_fdr10,significant_nominal,significant_strict,significant,direction
LINC00710,2.6231582347100852,-0.30462856323169046,0.00405383012192075,0.03823031624478271,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
UHRF2,-0.5353480946260827,6.599034197860395,0.00406467887821241,0.03827977176412365,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
AK7,-1.0003152325839249,3.080173000176631,0.00406562396399243,0.03827977176412365,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
LINC00634,1.5187472365944048,-0.03568043103706923,0.00407334682127276,0.03833875447104136,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
ZFYVE28,-1.469270440864907,5.918842281335,0.0040754620786078,0.03834493454632853,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
HRH2,-1.3501258226633612,3.496567929372009,0.00407957529363582,0.03836990172418552,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
P4HA2-AS1,-1.670848710070824,0.3078814811504889,0.0040817558391872,0.03837668007888167,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
LHFPL1,2.9881015730824125,0.6201162678354382,0.00408601302873489,0.03840297121894273,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
SOX3,1.6292997012741313,-0.816114984376798,0.00408797683203239,0.03840769655484903,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
GET1,-0.6168362225049744,5.002151204957893,0.0040906425719784,0.03841901105114983,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
KLHDC8B,1.403785215253962,-0.5778344205501551,0.00409445181986628,0.03842428835835946,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
LUZP2,1.2326779906659795,8.141894535287143,0.00409458474428602,0.03842428835835946,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
IL1A,-1.6050973974482972,1.2219395688729875,0.00409820227573576,0.03842428835835946,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
GPR137C,-0.6830092378584546,7.244991453784568,0.00410188897127706,0.03842428835835946,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
SEPTIN10,-0.6716443006692822,5.730177631547558,0.0041022679080201,0.03842428835835946,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
SLC45A2,-1.1890943656599793,2.06298453573762,0.00410240874782396,0.03842428835835946,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
GSDME,1.195858624133775,3.076965968872099,0.00410571727210223,0.03842428835835946,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
PADI1,2.978996259048173,-2.0285647636688084,0.00410582113506663,0.03842428835835946,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
FRRS1,2.1921976960340444,1.628280508287724,0.00411682597534938,0.03847813947878062,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
ENO2,-0.815417015036276,4.517456787685736,0.00411693769295163,0.03847813947878062,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
CCNT2-AS1,-0.6731931392678181,4.435691021400043,0.00411773214025097,0.03847813947878062,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Down
ANK1,1.149940204058974,1.6280154369570432,0.00411889396276965,0.03847813947878062,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
GC,1.8990702322213544,-1.3977071495555178,0.00412706333058875,0.03854016599632247,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
PAK3,1.1708249540436628,4.23364685120738,0.00412846574275882,0.03854016599632247,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
AC002480.2,0.9710834946444332,1.4790408320001314,0.00413048057392227,0.03854528694613732,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
U91324.1,3.680204906870859,-1.4235715395536372,0.00413302824544048,0.0385492469314512,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
NXPE1,1.3162930115147684,1.1573518977415744,0.00413454808292956,0.0385492469314512,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
AP003025.2,1.4438433527651322,4.182098844883944,0.00413530418239091,0.0385492469314512,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
PIM3,-1.0903060257262436,4.205567171594905,0.00414259748536091,0.03860354579764898,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
AC211433.1,0.6534925524603137,5.407886318601473,0.00415758248124812,0.03871573796211504,OUD_Effect_Male_vs_Female,FALSE,TRUE,TRUE,FALSE,TRUE,Up
AP002383.2,1.995883326486437,-0.04518569794336151,0.00416429078458389,0.03876447455564499,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
AC091544.4,-1.8829377786778128,-1.3928665441388306,0.0041709775523944,0.03881297624684743,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Down
ACKR3,2.2167568171114067,0.92779221332703,0.00417399506573688,0.03881515472751592,OUD_Effect_Male_vs_Female,TRUE,TRUE,TRUE,TRUE,TRUE,Up
