"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Method"
"20998",0.0345449808116315,1.47612250897168,0.485542055005449,0.632615507988389,0.77130487299429,-6.31637423860055,"Mixed_Effects"
"17694",-0.0576638074068626,-0.0485401177354503,-0.485351604423693,0.632748189346107,0.771429828669769,-6.0012819633587,"Mixed_Effects"
"6967",-0.0548900143196556,5.3271125413183,-0.48524928130247,0.632819480134347,0.771479930235837,-6.89717346342235,"Mixed_Effects"
"24591",0.0205668202923049,4.49493180548844,0.485095960744185,0.63292630884642,0.771573349781333,-6.83506326791828,"Mixed_Effects"
"3191",-0.0212671453217896,4.90853383905686,-0.484990748293158,0.632999622187335,0.771625905208466,-6.8705706207135,"Mixed_Effects"
"25090",0.0383472881906527,4.11201891593449,0.484911730298237,0.63305468546006,0.771656209867323,-6.79080674803138,"Mixed_Effects"
"29778",-0.0659005768435481,-0.760954835378573,-0.484782498301964,0.633144744814972,0.771707103585352,-5.88211344988809,"Mixed_Effects"
"28814",0.0479955704812662,1.31251575069001,0.484736999647378,0.633176453368409,0.771707103585352,-6.27944985282645,"Mixed_Effects"
"189",0.0416587569368097,1.12655736170933,0.484721790711635,0.633187052818495,0.771707103585352,-6.26454039241047,"Mixed_Effects"
"29560",-0.0318925730054161,3.45846048180142,-0.48467103104449,0.633222428961666,0.771713405721313,-6.69826560181616,"Mixed_Effects"
"6526",-0.206190667271315,0.778566384756087,-0.484546155232313,0.633309463019464,0.771782660180505,-6.29143695995899,"Mixed_Effects"
"20292",0.179242907957273,-2.96900512679722,0.484498853405311,0.633342432160319,0.771786024957741,-5.4867848431653,"Mixed_Effects"
"5851",-0.0244587297350934,5.06510799515554,-0.484150077998882,0.633585551115192,0.772045464083657,-6.87806874226869,"Mixed_Effects"
"19602",-0.0784828562175758,2.88068018365384,-0.484059821607899,0.633648472584621,0.772076275461058,-6.62858609081209,"Mixed_Effects"
"2700",0.11561868929108,-2.35775654453486,0.483938680028674,0.633732929884325,0.772076275461058,-5.57944657325951,"Mixed_Effects"
"25254",-0.195217847157931,-0.559131998757762,-0.483893709899198,0.633764283398338,0.772076275461058,-5.85856538999734,"Mixed_Effects"
"6489",0.0226748688829563,6.95239484793045,0.483879926074244,0.633773893727062,0.772076275461058,-6.94173398713249,"Mixed_Effects"
"12352",-0.0367427797339262,7.06018506430512,-0.48385689593284,0.63378995090109,0.772076275461058,-6.94306566401208,"Mixed_Effects"
"15855",-0.0742461954408561,-1.86176728652317,-0.483853737111109,0.633792153322821,0.772076275461058,-5.67703780445515,"Mixed_Effects"
"2738",0.0595325236258986,1.95019116774916,0.483733937292059,0.633875683795678,0.77214121508991,-6.4389248267766,"Mixed_Effects"
"20830",-0.0312514189510788,2.92353854468628,-0.483627238563936,0.633950083758928,0.772195026934772,-6.6077488519442,"Mixed_Effects"
"29770",-0.108006256493887,-2.33746675607733,-0.483514591674408,0.634028635641511,0.772253890732502,-5.61971870922564,"Mixed_Effects"
"2137",-0.0229922898217763,4.90787539512357,-0.483385091232976,0.634118945474151,0.77232706954851,-6.87128348663794,"Mixed_Effects"
"20465",-0.163482502161059,-2.81528768904133,-0.483226856257825,0.634229301900329,0.772424656032582,-5.52956485856327,"Mixed_Effects"
"11794",-0.0710577055134801,1.4029288101623,-0.483150886554855,0.634282287894684,0.772452365385447,-6.30410190782019,"Mixed_Effects"
"20413",0.0269241411154931,6.30880688611668,0.482952211633405,0.634420865682386,0.772584303971367,-6.93496844882119,"Mixed_Effects"
"7784",0.0749861477170876,-0.771088899471743,0.48282876202083,0.634506980003108,0.772627537759723,-5.87434649764453,"Mixed_Effects"
"9717",-0.0304294003685325,4.61450122247846,-0.482814613515118,0.634516849867882,0.772627537759723,-6.84952692859616,"Mixed_Effects"
"7876",0.0217505118779365,4.03987080878813,0.482672441857833,0.634616031366981,0.772644219451736,-6.7895683371273,"Mixed_Effects"
"14307",0.0769384311009743,3.23270074918737,0.482667960800205,0.63461915754807,0.772644219451736,-6.64465261411142,"Mixed_Effects"
"16976",-0.0231043408399869,4.91910830144969,-0.482664926206042,0.634621274617193,0.772644219451736,-6.87504646778917,"Mixed_Effects"
"744",-0.0834298937468694,0.19585735907364,-0.482433620835278,0.634782653102118,0.772803869441819,-6.09537861797394,"Mixed_Effects"
"9368",-0.0398450024958608,0.638694940637527,-0.482311528918411,0.634867842445312,0.772870753639648,-6.16652828012845,"Mixed_Effects"
"26938",0.0510297771431399,0.097591197797284,0.482187564957501,0.63495434333177,0.772939228024747,-6.03663891083656,"Mixed_Effects"
"21074",0.0194071064460863,6.91789655920895,0.48206896760033,0.63503710447756,0.77300314366083,-6.94521782926789,"Mixed_Effects"
"18071",-0.0204474982100293,5.79457257212504,-0.481991044787598,0.635091484259737,0.773032507448881,-6.91962288182824,"Mixed_Effects"
"23342",-0.0705527479578194,-2.01262172108428,-0.481810362254678,0.635217584848384,0.773149162750291,-5.63703054392935,"Mixed_Effects"
"25511",-0.0202141850867156,4.39463307530969,-0.481421298924516,0.635489155682849,0.773442856256722,-6.82665341055345,"Mixed_Effects"
"5694",-0.128916500068517,3.91049284312137,-0.48127934377409,0.63558825522071,0.773505385333709,-6.77612535645902,"Mixed_Effects"
"8931",0.0229371737405573,7.21372996309125,0.481260969908959,0.63560108261364,0.773505385333709,-6.94458626295766,"Mixed_Effects"
