TF,Activity_Score,Up_Targets,Down_Targets,Total_Targets,Up_Pvalue,Down_Pvalue,P_value,Significant,Up_FDR,Down_FDR,FDR
GABPA,1.844769700971089,23,14,54,0.012618078193486875,0.8825979519613323,0.06122406691930785,FALSE,0.15690305927553244,1,0.35295316270706645
BACH2,1.8399762763792284,23,18,51,0.005576000993134507,0.38574394600106576,0.015361498839287923,FALSE,0.08840195339325636,1,0.19101689861027593
RUNX3,-1.7872840253354985,1,8,12,0.9793231069699561,0.01598239928659918,0.08071953586968332,FALSE,1,0.3047310797311577,0.4275145788653598
NR2F1,1.6561636045893258,27,17,68,0.02052281812420332,0.929823677277793,0.09463020911064962,FALSE,0.20961763759165972,1,0.4652562535321028
HOXA9,1.6541484557345463,11,4,22,0.021254935280273186,0.95853558993457,0.09969857044763222,FALSE,0.20961763759165972,1,0.4652562535321028
BCL6,1.6506804085986477,20,14,46,0.015003509108562615,0.6712329307502135,0.05637772496943856,FALSE,0.1716401442019563,1,0.34306445406934954
RBPJ,-1.6100331581285054,18,29,61,0.4174620252590145,0.010246695194609141,0.02760921733968249,FALSE,1,0.2930554825658215,0.23794279598874538
ZBTB33,1.607086729060367,7,0,12,0.024712305884135182,1,0.024712305884135182,FALSE,0.21215256927585827,1,0.2208662338394582
ZEB1,-1.5590017727938177,2,9,15,0.9472785101719238,0.026150254042759908,0.11637830246743665,FALSE,1,0.41497286029492186,0.46879147191108284
ELF1,1.5133727284734326,21,14,51,0.02517729934531755,0.8210731906335906,0.10085974726919711,FALSE,0.21215256927585827,1,0.4652562535321028
REST,1.5117024925027092,7,3,12,0.024712305884135182,0.8028155269890866,0.09761163233016068,FALSE,0.21215256927585827,1,0.4652562535321028
MYBL2,-1.4389307023618918,6,14,27,0.7972864057906385,0.029019081139505024,0.11027658502322914,FALSE,1,0.41497286029492186,0.46879147191108284
ZNF384,1.438784666724214,26,20,66,0.025220934809018113,0.6927010505684694,0.08817810860112513,FALSE,0.21215256927585827,1,0.4503381974986033
TEAD4,-1.4298399195777927,18,32,73,0.753702770756296,0.02801303682923605,0.10256607383267885,FALSE,1,0.41497286029492186,0.4656174145420024
TP73,-1.4249163479620182,13,21,42,0.3690242781899331,0.013871984391370037,0.03212120394868614,FALSE,0.9682655372689988,0.3047310797311577,0.2436997211321624
ZNF740,1.409430476375939,16,7,38,0.038293744946429474,0.983010862102708,0.1610978423774061,FALSE,0.2868570200715664,1,0.555108227951062
NRF1,1.3798902033962508,30,24,79,0.029053227654182473,0.6967622140852405,0.09919035718928644,FALSE,0.23740637454560534,1,0.4652562535321028
MAZ,1.3594488429612186,27,15,72,0.04326649535382051,0.9899210541040149,0.17776792763290963,FALSE,0.30181018710226015,1,0.5808549910381254
RUNX2,-1.3411137056439828,20,30,65,0.3273455865105719,0.014924259237096454,0.030883025073588748,FALSE,0.908940172252656,0.3047310797311577,0.2436997211321624
SNAPC4,1.3245242965958108,13,5,30,0.04663941805377221,0.9846398750239835,0.18740217712042057,FALSE,0.31636945018334856,1,0.5843941922695763
PRDM14,1.3134335650933264,66,60,196,0.03592945028929687,0.7394079875129498,0.12295261344535369,FALSE,0.2777249400740245,1,0.48170475952563224
NR4A1,1.2749439165298706,4,0,6,0.05309530054622391,1,0.05309530054622391,FALSE,0.33011425991782695,1,0.33011425991782695
NR4A1,1.2749439165298706,4,0,6,0.05309530054622391,1,0.05309530054622391,FALSE,0.33011425991782695,1,0.33011425991782695
POU5F1,1.2040439095833206,29,27,72,0.013534427662348733,0.2165129138512163,0.020022172785032055,FALSE,0.1612852629763224,1,0.21208671913033955
IRF3,1.1856839120915097,27,19,74,0.05991981386906077,0.9188706244844044,0.21469302339962132,FALSE,0.33984501230486663,1,0.6349417043112621
MAFK,1.1738471900333347,20,16,50,0.03911686637339542,0.5837289686072877,0.10913387847474215,FALSE,0.2868570200715664,1,0.46879147191108284
LYL1,-1.127973679179551,22,35,84,0.6549866806796114,0.0487819087417658,0.1419776469922231,FALSE,1,0.6341648136429554,0.5013037906145161
SREBF2,1.1254205003321691,8,5,16,0.04756603621637758,0.6349177412139264,0.13589920421490684,FALSE,0.31636945018334856,1,0.5013037906145161
EHF,1.1082446722402208,9,4,20,0.07249115767335512,0.9301001355512669,0.24925005391528382,FALSE,0.3839346498996216,1,0.6911611250160606
ZNF24,1.1082446722402208,9,4,20,0.07249115767335512,0.9301001355512669,0.24925005391528382,FALSE,0.3839346498996216,1,0.6911611250160606
