"","Control_DLPFC_vs_NAC_full","Control_Male_vs_Female_full","DLPFC_OUD_vs_Control_full","Female_OUD_vs_Control_full","Male_OUD_vs_Control_full","NAC_OUD_vs_Control_full","OUD_DLPFC_vs_NAC_full","OUD_Male_vs_Female_full","Pooled_OUD_vs_Control_full"
"FOXM1",0.140737194711067,-0.790853164415856,1.73296298802497,0.893163264973985,1.5220798937249,1.01519758261332,0.469667365575189,-0.326464903728572,1.11753293135099
"FOXO1",-0.784970596321817,-2.24217157432849,3.4750179375028,2.73603243518587,3.20439581573684,2.02049693593901,-0.749532899204676,-2.04850157318777,3.05656641352506
"FOXO3",0.335164289005698,0.165691311842366,1.19186113993624,0.892210199190936,1.20862221798507,0.636784688594697,0.426484598999856,0.0956438779482556,0.996619504670381
"FOXO4",0.570539280419684,-1.29455029921168,1.36456164757624,1.30343165546045,0.699537203205372,0.366540456657581,0.0658148404924991,-1.69700519641734,1.09328057364411
"FOXP1",-3.03803235514996,-0.422320943460757,-0.0164939328050067,-1.7284000608928,0.30137309104221,-0.887762991085331,-2.51351636549301,1.81977674696304,-0.88738095524838
"FOXP2",-1.24040415025493,0.726796277059531,-1.65684675831605,-1.42599196257379,-0.57691954422623,-0.536442648032455,-1.36298109601906,1.97059735543606,-1.14319435443301
"GABPA",2.24821439914611,1.0805375419468,0.195881748815374,0.620988833364578,-0.273256042119486,0.159379189000292,2.17552715824801,-0.0451353594088773,0.290007743662767
"GATA2",-0.512160612658751,-1.12597282260265,2.46392709908684,1.26587369493885,1.04433066111116,0.705049611996127,0.281948706096907,-1.21660193120982,1.57735194106438
"GATA3",-0.830070673648695,0.262791234615275,1.6607323579685,1.87665885972102,1.51226197932707,1.7074847872204,-0.998584263355118,-1.06025203854209,1.85856970771882
"GATA6",0.0644101883207126,-0.656175839652816,-1.52902902310693,-1.6148313174982,-0.618569716659704,-1.36989166385633,0.23464815822585,0.264424779402528,-1.37847217271942
"GFI1B",-0.0818462827059041,-0.705258529078696,0.296710631656775,0.413735984196942,0.234090681419983,0.611395287548272,-0.131434793400631,-1.74553075987298,0.341057397287013
"GLI2",-1.26371946028038,0.208634903763483,-0.236742356380983,-1.58115625903966,-1.31289590353627,-2.02930186144367,-0.865873526624534,0.387507179111648,-1.80681651613352
"GRHL2",0.471193128733685,-1.29442057985405,-0.79718499004944,-0.998146695719732,-0.504817990376264,-0.313189480783228,0.323785427805517,-0.734076986554685,-0.626648039588793
"HBP1",-1.63393197444591,-1.66743402793984,-1.21500076331632,-1.61659481716813,-0.12877580909487,-0.471411706506391,-1.56868929391607,0.236584894257365,-1.24900742436183
"HHEX",1.25746124846246,-1.09256371306575,2.26183048867368,1.99906180946159,2.19863803413728,1.87245457038256,1.15045242342802,-2.12225291898772,2.17776133968339
"HIF1A",-0.402853534712107,-0.66145208522227,3.1270028922756,2.39046221228642,2.97804423540106,1.66214058407995,0.519165917719286,-0.191356614672985,2.11687424646778
"HINFP",0.186610001951082,0.200406450192139,0.592922802190462,0.928077218284321,-0.0550434315573802,0.215463888218406,0.25553554397776,-1.23665747337762,0.450935164125269
