TF,Activity_Score,Up_Targets,Down_Targets,Total_Targets,Up_Pvalue,Down_Pvalue,P_value,Significant,Up_FDR,Down_FDR,FDR
ZBTB11,0,0,0,22,1,1,1,FALSE,1,1,1
ZBTB33,0,0,0,12,1,1,1,FALSE,1,1,1
ZBTB7A,0,0,0,90,1,1,1,FALSE,1,1,1
ZEB1,0,0,0,15,1,1,1,FALSE,1,1,1
ZEB2,0,0,0,53,1,1,1,FALSE,1,1,1
ZFX,0,0,0,54,1,1,1,FALSE,1,1,1
ZKSCAN1,0,0,0,47,1,1,1,FALSE,1,1,1
ZNF143,0,0,0,51,1,1,1,FALSE,1,1,1
ZNF217,0,0,0,11,1,1,1,FALSE,1,1,1
ZNF24,0,0,0,20,1,1,1,FALSE,1,1,1
ZNF274,0,0,0,18,1,1,1,FALSE,1,1,1
ZNF384,0,0,0,66,1,1,1,FALSE,1,1,1
ZNF592,0,0,0,14,1,1,1,FALSE,1,1,1
ZNF639,0,0,0,29,1,1,1,FALSE,1,1,1
ZNF740,0,0,0,38,1,1,1,FALSE,1,1,1
