TF,Activity_Score,Up_Targets,Down_Targets,Total_Targets,Up_Pvalue,Down_Pvalue,P_value,Significant,Up_FDR,Down_FDR,FDR
CREB3,1.753226379564067,3,0,25,0.01765117498857197,1,0.01765117498857197,FALSE,0.10974426188546921,1,0.09178610994057425
STAT6,1.7018810349461668,2,0,10,0.019866390372178685,1,0.019866390372178685,FALSE,0.12088909886049157,1,0.101460493686484
SMAD4,1.66303243545887,3,0,27,0.02172538915857674,1,0.02172538915857674,FALSE,0.1294471104031864,1,0.10900809297110434
PGR,1.6211196092226845,2,0,11,0.023926567030833863,1,0.023926567030833863,FALSE,0.13692815603484979,1,0.11042593228616919
NFIC,1.620903269093798,3,0,28,0.02393848881728143,1,0.02393848881728143,FALSE,0.13692815603484979,1,0.11042593228616919
PPARG,1.5962807466767648,4,1,41,0.012937976777394809,0.510677958961534,0.03977236685286984,FALSE,0.08222803018522033,1,0.15722131675727807
HSF1,1.54831471986637,2,0,12,0.028293409162877568,1,0.028293409162877568,FALSE,0.15267764189779215,1,0.12643617219660913
KLF4,1.54831471986637,2,0,12,0.028293409162877568,1,0.028293409162877568,FALSE,0.15267764189779215,1,0.12643617219660913
WT1,1.5047308962188732,3,0,31,0.03128016993543893,1,0.03128016993543893,FALSE,0.1653343899402756,1,0.1345915719740932
ESRRA,-1.5020133915039438,0,4,69,1,0.031476512545349875,0.031476512545349875,FALSE,1,0.6441168087331601,0.1345915719740932
TFAP4,-1.5012733648919911,0,3,40,1,0.03153019343449036,0.03153019343449036,FALSE,1,0.6441168087331601,0.1345915719740932
E2F5,1.4821279802196963,2,0,13,0.032951259533551436,1,0.032951259533551436,FALSE,0.1653343899402756,1,0.13658058299414072
SOX9,1.4821279802196963,2,0,13,0.032951259533551436,1,0.032951259533551436,FALSE,0.1653343899402756,1,0.13658058299414072
CREB3L1,1.4489528191083065,3,1,21,0.010899591465592435,0.3064524087403486,0.022385135033632892,FALSE,0.07422102759903419,1,0.11038187275205186
CEBPD,1.421532653267472,2,0,14,0.037885004810669656,1,0.037885004810669656,FALSE,0.17762477665330365,1,0.15478730536930743
TFAP2A,1.3701716320624664,5,2,62,0.012384353048220957,0.29043232817958153,0.02383864270355887,FALSE,0.08049829481343622,1,0.11042593228616919
TCF3,1.3657237089949248,2,0,15,0.04308005915808669,1,0.04308005915808669,FALSE,0.18668025635170898,1,0.16211706472648413
TFAP2C,1.3657237089949248,2,0,15,0.04308005915808669,1,0.04308005915808669,FALSE,0.18668025635170898,1,0.16211706472648413
TWIST1,1.3657237089949248,2,0,15,0.04308005915808669,1,0.04308005915808669,FALSE,0.18668025635170898,1,0.16211706472648413
KLF1,1.3411232077128643,4,1,51,0.026854412812611778,0.5890319719703261,0.08140947225702544,FALSE,0.15059533459621505,1,0.25035601145708897
KLF5,1.3188190905869746,5,1,82,0.03651563332354138,0.760848043171807,0.12733813985849302,FALSE,0.17700798526326839,1,0.34357271697668873
ATF4,1.3140581891730612,2,0,16,0.04852234828846651,1,0.04852234828846651,FALSE,0.2071252479179317,1,0.1779152770577105
E2F4,1.2798725060885738,10,3,237,0.04089772005268683,0.7790612510052719,0.14166873386704862,FALSE,0.1856626656360069,1,0.3674202338618336
SMAD1,1.2660143838321205,2,0,17,0.05419829396307982,1,0.05419829396307982,FALSE,0.22795164813883573,1,0.1962115452334282
GRHL2,-1.2395625185541586,1,4,79,0.8323257927645777,0.04794362133037725,0.16844820120258705,FALSE,1,0.842674405047931,0.4082727588469483
NFKB2,1.2211631136077163,2,0,18,0.06009479892667681,1,0.06009479892667681,FALSE,0.2420720069440784,1,0.209598932841824
ZNF274,1.2211631136077163,2,0,18,0.06009479892667681,1,0.06009479892667681,FALSE,0.2420720069440784,1,0.209598932841824
ONECUT1,-1.1581439032865135,0,3,55,1,0.06947940597353612,0.06947940597353612,FALSE,1,0.842674405047931,0.23377776598154507
FOXO1,1.1501516186170995,3,0,43,0.07076986731937747,1,0.07076986731937747,FALSE,0.2735159736938102,1,0.2353509541086274
NCOA1,1.1396654966773685,2,0,20,0.0724994151791182,1,0.0724994151791182,FALSE,0.2764644365497041,1,0.23566514046634668
HNF4G,-1.13958801444417,0,3,56,1,0.07251235091272205,0.07251235091272205,FALSE,1,0.842674405047931,0.23566514046634668
PROX1,-1.132766221369108,0,2,26,1,0.07366035009160236,0.07366035009160236,FALSE,1,0.842674405047931,0.2367062935527896
AHR,1.126426482446151,3,0,44,0.07474351496213977,1,0.07474351496213977,FALSE,0.28127164841015756,1,0.23751828087968857
GATA3,1.0948310664328227,4,0,73,0.08038387417192584,1,0.08038387417192584,FALSE,0.2985686754957246,1,0.24988900014316076
ETV1,-1.0505886961841584,0,2,29,1,0.08900436453781344,0.08900436453781344,FALSE,1,0.8595436954181191,0.26794998166120676
MAFB,-1.0404649991971493,1,3,53,0.6980188632127331,0.06359195255104148,0.1826483173156478,FALSE,1,0.842674405047931,0.4231030217061173
