TF,Activity_Score,Up_Targets,Down_Targets,Total_Targets,Up_Pvalue,Down_Pvalue,P_value,Significant,Up_FDR,Down_FDR,FDR
SP3,1.4908530761193763,3,0,77,0.032295865213400145,1,0.032295865213400145,FALSE,0.2496383094873633,1,0.2496383094873633
KLF5,1.4218388145542593,3,0,82,0.0378583067178674,1,0.0378583067178674,FALSE,0.28493357161342303,1,0.28493357161342303
FOXP2,1.3815272341712173,2,0,36,0.04154060007315545,1,0.04154060007315545,FALSE,0.30463106720314,1,0.3003592011189533
RFX5,-1.3766651012594011,0,1,16,1,0.04200827987677669,0.04200827987677669,FALSE,1,1,0.3003592011189533
HBP1,1.3186146555264908,2,0,39,0.048015929947844926,1,0.048015929947844926,FALSE,0.32815940886768113,1,0.32815940886768113
PPARG,1.2796526620166833,2,0,41,0.05252273561629167,1,0.05252273561629167,FALSE,0.32815940886768113,1,0.32815940886768113
HIF1A,1.2775233407419717,1,0,6,0.05278088394375291,1,0.05278088394375291,FALSE,0.32815940886768113,1,0.32815940886768113
TP53,1.2775233407419717,1,0,6,0.05278088394375291,1,0.05278088394375291,FALSE,0.32815940886768113,1,0.32815940886768113
HIF1A,1.2775233407419717,1,0,6,0.05278088394375291,1,0.05278088394375291,FALSE,0.32815940886768113,1,0.32815940886768113
TP53,1.2775233407419717,1,0,6,0.05278088394375291,1,0.05278088394375291,FALSE,0.32815940886768113,1,0.32815940886768113
FOXO1,1.2428046042663405,2,0,43,0.05717358115052711,1,0.05717358115052711,FALSE,0.3479073235968245,1,0.34065925435522404
SPI1,1.1899971951266661,3,0,102,0.06456583989798276,1,0.06456583989798276,FALSE,0.3768536777718994,1,0.3768536777718994
BATF,1.1431155008673797,2,0,49,0.07192576655749407,1,0.07192576655749407,FALSE,0.41141538470886607,1,0.41141538470886607
BACH2,1.1130070474806233,2,0,51,0.07708909593886086,1,0.07708909593886086,FALSE,0.41599021582102275,1,0.41732879117188454
KLF6,1.1130070474806233,2,0,51,0.07708909593886086,1,0.07708909593886086,FALSE,0.41599021582102275,1,0.41732879117188454
TEAD2,-1.1116118161619755,0,1,30,1,0.0773371536087758,0.0773371536087758,FALSE,1,1,0.41732879117188454
FOSL2,1.0633949666516884,1,0,10,0.08641816362054722,1,0.08641816362054722,FALSE,0.4576961999162316,1,0.4576961999162316
ZNF217,1.0239251869905626,1,0,11,0.09464001773614295,1,0.09464001773614295,FALSE,0.4903605886071115,1,0.4817577712631271
BHLHE40,1.0176624484425596,2,0,58,0.09601466070628757,1,0.09601466070628757,FALSE,0.4903605886071115,1,0.4817577712631271
TFAP4,-0.9923217815830623,0,1,40,1,0.10178369631926643,0.10178369631926643,FALSE,1,1,0.5018989163329345
EPAS1,0.955211703902521,1,0,13,0.11086342617360334,1,0.11086342617360334,FALSE,0.5284489980941759,1,0.5114022562201703
FLI1,0.955211703902521,1,0,13,0.11086342617360334,1,0.11086342617360334,FALSE,0.5284489980941759,1,0.5114022562201703
MYCN,0.955211703902521,1,0,13,0.11086342617360334,1,0.11086342617360334,FALSE,0.5284489980941759,1,0.5114022562201703
SOX9,0.955211703902521,1,0,13,0.11086342617360334,1,0.11086342617360334,FALSE,0.5284489980941759,1,0.5114022562201703
RUNX2,0.9351924347658246,2,0,65,0.11609340929522735,1,0.11609340929522735,FALSE,0.5396152127464693,1,0.5230116677388857
CEBPD,0.9249412989418729,1,0,14,0.11886628812247402,1,0.11886628812247402,FALSE,0.5396152127464693,1,0.5230116677388857
FOXO4,0.9249412989418729,1,0,14,0.11886628812247402,1,0.11886628812247402,FALSE,0.5396152127464693,1,0.5230116677388857
ETV4,0.8968894781672262,1,0,15,0.1267974506466999,1,0.1267974506466999,FALSE,0.5579087828454796,1,0.5412547893277041
TFAP2C,0.8968894781672262,1,0,15,0.1267974506466999,1,0.1267974506466999,FALSE,0.5579087828454796,1,0.5412547893277041
CREM,-0.8851255584680024,0,1,52,1,0.13027900755909583,0.13027900755909583,FALSE,1,1,0.5479381788514913
E2F4,0.8709151117130842,5,1,237,0.0635369784504081,0.4719996422787579,0.13515967459815642,FALSE,0.3768536777718994,1,0.5602270570300396
MAX,-0.8624476531936833,0,1,55,1,0.1372626397781579,0.1372626397781579,FALSE,1,1,0.5608159282364736
SMAD1,0.8463459935862895,1,0,17,0.14244722933045606,1,0.14244722933045606,FALSE,0.6135398955652056,1,0.5726372358608587
IRF2,0.8254297664749626,2,0,76,0.14947557527303798,1,0.14947557527303798,FALSE,0.6135398955652056,1,0.5726372358608587
NFKB2,0.8234251850403829,1,0,18,0.15016710730616922,1,0.15016710730616922,FALSE,0.6135398955652056,1,0.5726372358608587
TAL1,0.8234251850403829,1,0,18,0.15016710730616922,1,0.15016710730616922,FALSE,0.6135398955652056,1,0.5726372358608587
ZNF274,0.8234251850403829,1,0,18,0.15016710730616922,1,0.15016710730616922,FALSE,0.6135398955652056,1,0.5726372358608587
TBX21,0.8164444203721999,2,0,77,0.15260036754129488,1,0.15260036754129488,FALSE,0.6147000720677512,1,0.5742592778527675
ESR1,0.8131807493189521,4,1,156,0.05269571127070683,0.34273307714421863,0.09055610751466306,FALSE,0.32815940886768113,1,0.4708917590762479
TP63,0.80184398864255,1,0,19,0.15781780958944458,1,0.15781780958944458,FALSE,0.626887410313627,1,0.586180435617937
NCOA1,0.7814646177360616,1,0,20,0.16539995317381118,1,0.16539995317381118,FALSE,0.6480052959960274,1,0.6023443177539255
KLF9,-0.7775629617541402,0,1,68,1,0.16689258374880422,0.16689258374880422,FALSE,1,1,0.6023443177539255
RUNX1,0.7621694669282612,1,0,21,0.17291414957530338,1,0.17291414957530338,FALSE,0.6492802386178678,1,0.6023443177539255
STAT5A,0.7621694669282612,1,0,21,0.17291414957530338,1,0.17291414957530338,FALSE,0.6492802386178678,1,0.6023443177539255
HNF4A,0.7574431229951214,2,0,84,0.17480621808942592,1,0.17480621808942592,FALSE,0.6492802386178678,1,0.6023443177539255
LYL1,0.7574431229951214,2,0,84,0.17480621808942592,1,0.17480621808942592,FALSE,0.6492802386178678,1,0.6023443177539255
IRF3,-0.7441780795031034,0,1,74,1,0.1802278577233707,0.1802278577233707,FALSE,1,1,0.6136329441533811
FOXL2,0.7264405960797431,1,0,23,0.18774111979628583,1,0.18774111979628583,FALSE,0.6883841059197147,1,0.6316936501380911
VDR,0.7098427128881643,1,0,24,0.19505508969383578,1,0.19505508969383578,FALSE,0.7061488057270511,1,0.648671577353919
CREB3,0.6939965935464556,1,0,25,0.20230350465931668,1,0.20230350465931668,FALSE,0.7232350291570572,1,0.6650437049720066
