TF,Activity_Score,Up_Targets,Down_Targets,Total_Targets,Up_Pvalue,Down_Pvalue,P_value,Significant,Up_FDR,Down_FDR,FDR
PPARG,1.459597230738624,5,1,41,0.024781360596664925,0.7140397314046785,0.08908450264219346,FALSE,0.17286510074746753,1,0.3107093628739918
ZFX,-1.4565739576757708,2,5,54,0.6519811274739029,0.022785631367702803,0.07738929020122928,FALSE,1,0.32457559607482306,0.28016882275381744
WT1,1.4435540061600385,4,0,31,0.03601189654559406,1,0.03601189654559406,FALSE,0.22390005243565,1,0.16884266249245738
RBPJ,1.4259518471832344,6,0,61,0.03750145800413042,1,0.03750145800413042,FALSE,0.22820036147194253,1,0.1729905965996984
MYOD1,-1.2823229992607879,0,4,47,1,0.05220078100095739,0.05220078100095739,FALSE,1,0.6668093804168191,0.22886107091427854
MITF,1.2772501717756277,4,0,35,0.05281409328791044,1,0.05281409328791044,FALSE,0.2961731505949487,1,0.22886107091427854
NFATC1,1.2772501717756277,4,0,35,0.05281409328791044,1,0.05281409328791044,FALSE,0.2961731505949487,1,0.22886107091427854
KLF9,-1.2442992333897138,1,5,68,0.9411584308176164,0.053624530592960976,0.2011899541116405,FALSE,1,0.6668093804168191,0.5183813232065692
STAT6,1.2211483331775113,2,0,10,0.060096844179686026,1,0.060096844179686026,FALSE,0.3242961780262303,1,0.25326294992773063
SNAPC4,-1.2202854593288273,0,3,30,1,0.060216365717082804,0.060216365717082804,FALSE,1,0.7175783581285701,0.25326294992773063
PPARA,1.194176975194159,4,1,32,0.03987352024676608,0.623536031220689,0.11671466947069596,FALSE,0.236938974134918,1,0.37932267577976186
FOXL2,1.1856929614455438,3,0,23,0.06520892467539598,1,0.06520892467539598,FALSE,0.33303129387791514,1,0.2664250351023321
NCOA3,1.1856929614455438,3,0,23,0.06520892467539598,1,0.06520892467539598,FALSE,0.33303129387791514,1,0.2664250351023321
NR2F6,-1.152178098477162,0,3,32,1,0.0704404142818494,0.0704404142818494,FALSE,1,0.7748445571003434,0.27016441117076345
ELF1,1.1494791788825702,5,1,51,0.055948360147550634,0.7893444154508276,0.18194424807936735,FALSE,0.3077159808115285,1,0.4897569272413669
PGR,1.1455993665077318,2,0,11,0.07151557478346508,1,0.07151557478346508,FALSE,0.35072643251819685,1,0.27016441117076345
ZNF217,1.1455993665077318,2,0,11,0.07151557478346508,1,0.07151557478346508,FALSE,0.35072643251819685,1,0.27016441117076345
ATF2,1.140545523742812,3,0,24,0.0723526556593483,1,0.0723526556593483,FALSE,0.35072643251819685,1,0.27016441117076345
MAFB,1.0976257217248728,5,1,53,0.06404140683712434,0.801837910248226,0.20381524698126602,FALSE,0.33303129387791514,1,0.52045679139859
ESR1,1.097619889330569,12,6,156,0.0262330605537371,0.328449686035894,0.04957876484440899,FALSE,0.17863465043735263,1,0.22507185310319003
SP1,1.0895154690537945,20,10,321,0.04059443962451392,0.49886383352051056,0.0992211906673563,FALSE,0.236938974134918,1,0.32996814570771976
KLF4,1.0779757111754755,2,0,12,0.0835649752379346,1,0.0835649752379346,FALSE,0.3854771438395048,1,0.2987447864756162
GATA3,1.0642712373897252,6,1,73,0.07697316210307807,0.8925048100920091,0.25267611852809785,FALSE,0.36690540602467214,1,0.6051189374916969
NEUROD1,-1.0598934842787007,0,3,35,1,0.08711772300008487,0.08711772300008487,FALSE,1,0.8305222926008091,0.3076008491114108
HMBOX1,1.0189698640748872,3,0,27,0.09572604938051305,1,0.09572604938051305,FALSE,0.390537790645965,1,0.3235998378378347
SMAD4,1.0189698640748872,3,0,27,0.09572604938051305,1,0.09572604938051305,FALSE,0.390537790645965,1,0.3235998378378347
RELB,1.016938812107863,2,0,13,0.09617477697977604,1,0.09617477697977604,FALSE,0.390537790645965,1,0.3235998378378347
MXI1,-1.0033789376194968,2,5,77,0.8269592820595993,0.08205502622258097,0.2504140202456497,FALSE,1,0.8193158917303587,0.6051189374916969
IRF2,1.003360539063937,6,1,76,0.08949798231137737,0.9019319747212173,0.2838763339471297,FALSE,0.390537790645965,1,0.6435680119996708
FOXP1,0.9979597996964461,11,1,174,0.09998223207440655,0.9951364357684952,0.32909664665709026,FALSE,0.39715164407333714,1,0.6675293683966512
CEBPD,0.9614617670750155,2,0,14,0.10927938265815268,1,0.10927938265815268,FALSE,0.41671871253642223,1,0.35924026942795023
ARID2,0.9146146691155391,3,0,30,0.12172655492194688,1,0.12172655492194688,FALSE,0.439072929461612,1,0.3859981797464721
TFAP2C,0.9107393841360047,2,0,15,0.12281760264660475,1,0.12281760264660475,FALSE,0.439072929461612,1,0.3859981797464721
MAX,-0.9012930940188,2,4,55,0.6618757010543486,0.0830774855251063,0.21448541813599953,FALSE,1,0.8193158917303587,0.5334159094512684
LYL1,-0.8991355067658735,2,5,84,0.8617640547054808,0.10870583801733065,0.3154992340778013,FALSE,1,0.9675362763860459,0.6570903908748439
TFAP2A,0.8957458986556694,5,1,62,0.10799958265748172,0.8495089835756584,0.3109040207978416,FALSE,0.41671871253642223,1,0.6570903908748439
ARNT,0.8760579061038377,5,1,63,0.11361118609329013,0.8540415497982901,0.32337218932756673,FALSE,0.4275368318773813,1,0.6653557276811805
ATF4,0.8641285465112284,2,0,16,0.1367324052432041,1,0.1367324052432041,FALSE,0.47670310173069197,1,0.4056210974586757
BATF,0.8590399630232389,4,0,49,0.1383439071456204,1,0.1383439071456204,FALSE,0.47670310173069197,1,0.4056210974586757
HNF4A,0.8584860707552961,6,1,84,0.1278858352136044,0.9232270380118937,0.37031891385096366,FALSE,0.4515475169270476,1,0.7108134856468161
ATF3,0.8361226357002884,4,0,50,0.14584023797218654,1,0.14584023797218654,FALSE,0.4965512864291113,1,0.41297334712916184
CDX2,0.8211073891418933,2,0,17,0.15097067988241167,1,0.15097067988241167,FALSE,0.5020652842601132,1,0.4192001402560169
SMAD1,0.8211073891418933,2,0,17,0.15097067988241167,1,0.15097067988241167,FALSE,0.5020652842601132,1,0.4192001402560169
TBP,0.8100904183779912,4,1,46,0.11684316949768268,0.7545599452170033,0.3022781157241007,FALSE,0.4313179619542784,1,0.6544842559737917
NFKB2,0.7812465811211439,2,0,18,0.16548301271440755,1,0.16548301271440755,FALSE,0.5317768723182085,1,0.45074420606019583
MBD1,-0.7615171186269478,1,3,44,0.8399459717730136,0.14545686832563878,0.3790255190041776,FALSE,1,1,0.7178893936105615
PROX1,-0.7370016679665966,0,2,26,1,0.1832307385133785,0.1832307385133785,FALSE,1,1,0.4897569272413669
ATF1,0.7096327433589283,2,0,20,0.1951494163065936,1,0.1951494163065936,FALSE,0.5937524794009125,1,0.5120434226026217
NCOA1,0.7096327433589283,2,0,20,0.1951494163065936,1,0.1951494163065936,FALSE,0.5937524794009125,1,0.5120434226026217
USF2,0.6969781749772014,3,0,38,0.20091937800399665,1,0.20091937800399665,FALSE,0.6048730748330846,1,0.5183813232065692
PAX5,-0.6713305561015023,3,4,55,0.3897749275921014,0.0830774855251063,0.14345555702381338,FALSE,0.9212861924904215,0.8193158917303587,0.4102828930881062
LEF1,0.6470414004096766,2,0,22,0.22540243303553698,1,0.22540243303553698,FALSE,0.6715114150850372,1,0.5557335848979619
CLOCK,-0.6349764305182475,1,3,52,0.8853302944889081,0.20517710360090768,0.49148475160001426,FALSE,1,1,0.8078427526299086
