TF,Activity_Score,Up_Targets,Down_Targets,Total_Targets,Up_Pvalue,Down_Pvalue,P_value,Significant,Up_FDR,Down_FDR,FDR
FOXO4,1.5939285798015024,3,1,14,0.01179076757203979,0.4628823893931654,0.033896490722346656,FALSE,0.17748208029491472,1,0.20636690509240893
SMAD3,1.5583979479090992,4,0,33,0.027644074333295125,1,0.027644074333295125,FALSE,0.26354017531074686,1,0.18386523858889317
ATF3,1.5149545241921492,5,0,50,0.030552410166108802,1,0.030552410166108802,FALSE,0.2817240730617423,1,0.1985906660797072
LYL1,-1.510392405697164,1,8,84,0.950737423719346,0.029354060406336816,0.12778633302662806,FALSE,1,0.33581045104849316,0.4153055823365412
NFATC1,1.4750631574532047,4,0,35,0.033491673021326,1,0.033491673021326,FALSE,0.2817240730617423,1,0.20636690509240893
ASCL1,-1.4699638993403326,1,6,54,0.855472782686159,0.02898960497108018,0.11648273560568576,FALSE,1,0.33581045104849316,0.3919301456850133
ETS1,1.4689539951537212,10,3,145,0.03239610786522954,0.9537769694769216,0.1383346183326608,FALSE,0.2817240730617423,1,0.4250175363997939
CREB3L1,1.4445645611114957,3,0,21,0.03592819828408519,1,0.03592819828408519,FALSE,0.285429575256899,1,0.2097033614132319
MITF,1.3719732611922555,4,1,35,0.033491673021326,0.7886968453714843,0.12240163024653794,FALSE,0.2817240730617423,1,0.4023777729943661
FOXL2,1.3425239707066954,3,0,23,0.045443945391707936,1,0.045443945391707936,FALSE,0.32129284293548716,1,0.24394456593249952
NCOA3,1.3425239707066954,3,0,23,0.045443945391707936,1,0.045443945391707936,FALSE,0.32129284293548716,1,0.24394456593249952
FOSL2,1.3366811250197688,2,0,10,0.04605946349774466,1,0.04605946349774466,FALSE,0.32129284293548716,1,0.24394456593249952
STAT6,1.3366811250197688,2,0,10,0.04605946349774466,1,0.04605946349774466,FALSE,0.32129284293548716,1,0.24394456593249952
