gene,log_fc,p_value,adj_p_value,oud_mean,ctrl_mean,significant
STK32A,0.0,1.4126313441103992e-08,1.8369718388951873e-08,0.26396306434079175,0.26396306434079175,False
TSHZ2,0.0,2.026666696054961e-29,3.41957260301737e-29,0.16696655605106736,0.16696655605106736,False
JPX,0.0,5.391129332467088e-18,7.994754323974921e-18,3.1421288898327884,3.1421288898327884,False
LRP1,0.0,2.870772683001806e-56,5.951843848656129e-56,0.7068655725487568,0.7068655725487568,False
UBE4B,0.0,0.36649345709088166,0.3808383689894856,2.5695875339961636,2.5695875339961636,False
AC096564.1,0.0,0.0,0.0,1.5467689267342009,1.5467689267342009,False
EPB41L3,0.0,7.796363259965109e-11,1.055464340247984e-10,0.9602546935602646,0.9602546935602646,False
ARHGEF26,0.0,7.554474937121654e-09,9.896692057364612e-09,0.289478438374808,0.289478438374808,False
RPS24,0.0,1.9710312123792622e-143,6.666396434202691e-143,0.5563050938555995,0.5563050938555995,False
THSD4,0.0,5.620727657361053e-05,6.736789041982885e-05,0.13653771119585564,0.13653771119585564,False
AMD1,0.0,0.96238239308751,0.9649556080422894,1.9536735599393753,1.9536735599393753,False
BCAT1,0.0,0.0,0.0,0.9848153655294363,0.9848153655294363,False
TBL1XR1,0.0,0.0,0.0,3.5860039313194,3.5860039313194,False
GMDS-DT,0.0,0.0,0.0,2.230338883872127,2.230338883872127,False
LUCAT1,0.0,1.2661290712918569e-53,2.5821802949528015e-53,0.21620425002530358,0.21620425002530358,False
IRAK3,0.0,3.5767319371488934e-20,5.427514320408033e-20,0.2634698377747477,0.2634698377747477,False
LINC00632,0.0,4.528126515315222e-34,7.907089374822856e-34,1.6570746308614994,1.6570746308614994,False
ENAH,0.0,0.0,0.0,2.137667316408985,2.137667316408985,False
FEZ1,0.0,1.2351606657620675e-26,2.0149439898239277e-26,1.9149173573222906,1.9149173573222906,False
AC098829.1,0.0,0.0,0.0,1.3668134985255915,1.3668134985255915,False
CDH8,0.0,1.1160036144888925e-153,3.943475669572058e-153,0.6576205372191655,0.6576205372191655,False
RALGAPA1,0.0,6.370830124378883e-84,1.5887356918650582e-83,3.9534382282605582,3.9534382282605582,False
ZKSCAN1,0.0,0.0,0.0,2.3727338684516623,2.3727338684516623,False
SLC13A3,0.0,0.0,0.0,1.2387830626424583,1.2387830626424583,False
CNTNAP3B,0.0,3.181990837120617e-32,5.486191098483822e-32,0.25793845458484566,0.25793845458484566,False
ARHGAP5,0.0,9.300582548039325e-20,1.4070472841209267e-19,2.272463531887121,2.272463531887121,False
STAT4,0.0,0.7088057449238367,0.7195997410394281,0.04167229321563644,0.04167229321563644,False
INSYN2B,0.0,1.53914549527e-312,8.8626420073e-312,1.5057160178662312,1.5057160178662312,False
ACAP2,0.0,6.919727189505242e-05,8.277185633379477e-05,1.6675798970243538,1.6675798970243538,False
N4BP2L2,0.0,0.0,0.0,4.843975049492647,4.843975049492647,False
PLEKHA1,0.0,3.139692815755707e-23,4.9548019186044825e-23,2.0334993273668114,2.0334993273668114,False
GUCY1A2,0.0,9.146635496687863e-09,1.1966814867014214e-08,0.6313212622617996,0.6313212622617996,False
FAR1,0.0,1.6946615873181278e-44,3.242337220634173e-44,2.27749740968996,2.27749740968996,False
CNOT6L,0.0,2.711841666030443e-52,5.493264684734186e-52,0.7329539441735436,0.7329539441735436,False
SYT11,0.0,0.0,0.0,2.1615248688860715,2.1615248688860715,False
EFCAB11,0.0,0.0,0.0,1.4469390482886464,1.4469390482886464,False
LINC01138,0.0,1.265511026935833e-137,4.153756105916301e-137,0.845140179440122,0.845140179440122,False
PLPP4,0.0,0.0027701371976897957,0.003165871083074052,0.38451098611356715,0.38451098611356715,False
ITSN1,0.0,0.6122449989096603,0.6245273705300853,1.134595464412495,1.134595464412495,False
FGF2,0.0,3.514340700143626e-34,6.15830730165355e-34,0.34099639457621067,0.34099639457621067,False
FGD2,0.0,1.3557939214915397e-36,2.441405620933145e-36,0.26079288959790414,0.26079288959790414,False
UNC79,0.0,6.256733196348614e-72,1.4427516978513331e-71,1.7822076100812898,1.7822076100812898,False
SRGAP3,0.0,2.5770420944801706e-05,3.117389630419561e-05,1.3603945392595853,1.3603945392595853,False
OSBPL9,0.0,0.0,0.0,2.676458604527855,2.676458604527855,False
CDH12,0.0,0.0,0.0,0.9767418022225737,0.9767418022225737,False
LINC00844,0.0,0.0,0.0,1.2665636889249305,1.2665636889249305,False
SUN2,0.0,2.1137004911681391e-10,2.848652953056791e-10,1.6448601275726744,1.6448601275726744,False
AC007364.1,0.0,2.3110519475932924e-223,1.0441499763222707e-222,2.0130050220846063,2.0130050220846063,False
AL137139.2,0.0,2.926302164202071e-19,4.409295074136722e-19,0.21584091154889334,0.21584091154889334,False
