gene,coefficient,abs_coefficient,z_score,pvalue,padj,significant
GLRX2,0.00017538373967778198,0.00017538373967778198,0.04819476853716835,0.9615610194472624,0.9999963503102831,False
B3GALT2,-0.0005784669115176317,0.0005784669115176317,0.15896045413458984,0.8737000306287399,0.9999963503102831,False
LINC01031,0.00013262465271415141,0.00013262465271415141,0.03644473798782039,0.9709277420999625,0.9999963503102831,False
AL138778.1,-8.65714594368999e-06,8.65714594368999e-06,0.002378949985415783,0.998101874326091,0.9999963503102831,False
AL136456.1,-0.0009460560109004082,0.0009460560109004082,0.2599725068715596,0.7948849809570866,0.9999963503102831,False
KCNT2,0.003998236079147165,0.003998236079147165,1.098699701269194,0.2718990729181323,0.9999963503102831,False
CFH,-0.002886690374667855,0.002886690374667855,0.7932512711907552,0.4276314411231803,0.9999963503102831,False
LGR6,-0.0008808134682601317,0.0008808134682601317,0.24204411027617784,0.8087459841385289,0.9999963503102831,False
CFHR5,-8.64612277582146e-06,8.64612277582146e-06,0.0023759208618211658,0.9981042912102096,0.9999963503102831,False
ASPM,-2.2989351619760712e-05,2.2989351619760712e-05,0.006317384280717921,0.9949594901450192,0.9999963503102831,False
DENND1B,-0.0011243136300582836,0.0011243136300582836,0.30895700629598855,0.757354231837553,0.9999963503102831,False
AL450352.1,-0.0003392010484442027,0.0003392010484442027,0.09321112691157962,0.9257358348787261,0.9999963503102831,False
PTPRC,-0.001715803745428425,0.001715803745428425,0.47149618612337746,0.6372864425738152,0.9999963503102831,False
AL157402.2,-0.0006628498281489352,0.0006628498281489352,0.1821485509502266,0.8554661478371408,0.9999963503102831,False
AC096631.1,-0.0002835992744896808,0.0002835992744896808,0.07793197599988531,0.9378821635823265,0.9999963503102831,False
LINC01222,-0.0008621833087187907,0.0008621833087187907,0.236924614999392,0.8127152735669778,0.9999963503102831,False
LINC01221,-0.0007780467434660495,0.0007780467434660495,0.2138042145830362,0.8306997381893588,0.9999963503102831,False
AC105941.1,-0.00021181619880895585,0.00021181619880895585,0.058206266400611426,0.9535843293212871,0.9999963503102831,False
F13B,-1.0510444476371057e-05,1.0510444476371057e-05,0.0028882292035288006,0.9976955297143759,0.9999963503102831,False
