"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Sex","Dataset"
"AC034228.3",-0.602901595465408,1.95169462146701,-1.3859400497883,0.189287385519077,0.762862352609978,-5.15998857071734,"F","gse225158"
"FBRSL1",-0.126238485994819,4.67169288589816,-1.38585140777879,0.189313822797135,0.762862352609978,-5.58507709897076,"F","gse225158"
"NADK2",-0.150996241719155,5.04531116665798,-1.3857018523771,0.189358434260893,0.762862352609978,-5.60943430614807,"F","gse225158"
"DACT3",-0.149173557155172,4.13470225201088,-1.38569536609439,0.189360369275639,0.762862352609978,-5.5353301853418,"F","gse225158"
"STK4",0.0841698745023522,5.7637076673981,1.38557947599249,0.189394944840441,0.762862352609978,-5.64982880067403,"F","gse225158"
"ST7-AS2",-0.383790655727339,3.65549795650524,-1.38549320821616,0.189420686028464,0.762862352609978,-5.4609057859934,"F","gse225158"
"AC015923.1",-0.466838946155111,6.07007467327546,-1.38548233178679,0.189423931619072,0.762862352609978,-5.62869487723835,"F","gse225158"
"PIK3CB",0.0926253275391031,6.81876981090898,1.38547987561175,0.189424664562527,0.762862352609978,-5.66857197373693,"F","gse225158"
"AL121832.2",-0.268507519298588,0.480045938598971,-1.38535700590159,0.189461332911174,0.762862352609978,-4.98178540680234,"F","gse225158"
"KCNJ13",-0.598702438949593,1.50901052748363,-1.38528623126829,0.18948245703877,0.762862352609978,-5.1066943539133,"F","gse225158"
"ENPP4",0.119361925691098,5.38111583580858,1.38515504966169,0.189521615992385,0.762862352609978,-5.63563911144963,"F","gse225158"
"IL5",-0.277081855456284,0.422219822409102,-1.38508430933398,0.189542735421067,0.762862352609978,-4.97559219272114,"F","gse225158"
"DDRGK1",-0.133248794055226,4.497605361048,-1.38506314865681,0.189549053289616,0.762862352609978,-5.56820711036735,"F","gse225158"
"TRIM11",0.140663373631841,3.33198636717839,1.38506070135263,0.189549783983774,0.762862352609978,-5.45450633149637,"F","gse225158"
"LSAMP",-0.168665373662474,11.1723310220419,-1.38483417869764,0.189617427148557,0.762862352609978,-5.56174908664395,"F","gse225158"
"NUP85",-0.0974654802207001,4.24793823614778,-1.3847555005474,0.189640926317523,0.762862352609978,-5.55101825270393,"F","gse225158"
"DYNC1LI1",0.0961725675346517,5.23765971011194,1.38449060453836,0.189720061695967,0.762862352609978,-5.62879246345026,"F","gse225158"
"PTPRJ-AS1",-0.438865041528096,-1.65183522322297,-1.38443281014363,0.189737330886968,0.762862352609978,-4.72904271071377,"F","gse225158"
"KAT14",0.113013001747204,3.74727014437859,1.38435278399648,0.189761245152521,0.762862352609978,-5.50405442596758,"F","gse225158"
"AC022154.1",-0.290637561856416,0.797852216653262,-1.3842107896894,0.189803683521068,0.762862352609978,-5.03252235525552,"F","gse225158"
"FIBP",0.164112549126831,1.89355098409735,1.38420514497469,0.189805370739746,0.762862352609978,-5.2249302382025,"F","gse225158"
"P2RY11",0.159932174946973,1.92522457948652,1.38418535511121,0.189811286074787,0.762862352609978,-5.23463885111318,"F","gse225158"
"PPM1F",-0.150599950594957,3.49791487742195,-1.38417334354791,0.189814876493104,0.762862352609978,-5.46583813051828,"F","gse225158"
"AC067817.2",-0.34909168032012,0.593624100051944,-1.38413060671824,0.189827651562142,0.762862352609978,-5.00501539790398,"F","gse225158"
"CLCN2",-0.236938420784508,3.44187846279222,-1.38412854088348,0.189828269107934,0.762862352609978,-5.45422980670051,"F","gse225158"
"MOSPD3",0.13953048433278,1.63054540563636,1.38411784585109,0.189831466230518,0.762862352609978,-5.18123041404059,"F","gse225158"
"AC016705.1",-0.421783081569998,0.254783199006758,-1.38384442860667,0.189913215370554,0.762987962534283,-4.93946472409492,"F","gse225158"
"TMEM221",-0.275735819243671,-0.474187142312652,-1.3838128014035,0.189922673474394,0.762987962534283,-4.85388295826214,"F","gse225158"
"AC073912.1",-0.499252496358909,-0.759162992691572,-1.38355956661253,0.189998417252798,0.763002734237915,-4.82491556531448,"F","gse225158"
"RTP5",-0.524566726769756,-0.298578334163854,-1.38351795121092,0.190010867007543,0.763002734237915,-4.87228128123617,"F","gse225158"
"NACA",0.117931746384081,4.98508573396399,1.38340288531847,0.190045293872766,0.763002734237915,-5.61425752196218,"F","gse225158"
"AC108925.1",0.444612952467817,-2.48544825840684,1.38334199079071,0.190063515146421,0.763002734237915,-4.67112418201801,"F","gse225158"
"CKLF",-0.101739662812794,4.73401603815006,-1.38319305591096,0.190108086520295,0.763002734237915,-5.5929376430172,"F","gse225158"
"LINC00575",-0.358817251293481,-0.528165811534904,-1.38316644685009,0.190116050655439,0.763002734237915,-4.8550351041171,"F","gse225158"
"AL627309.5",-0.231918830344,1.9665026888462,-1.38290610479595,0.190193985965352,0.763002734237915,-5.23021561527242,"F","gse225158"
"DDR1-DT",-0.59513108599181,-2.84066424197793,-1.38284543475706,0.190212151771166,0.763002734237915,-4.64594907416823,"F","gse225158"
"CARS2",-0.0884850866983119,5.28979220840088,-1.38283586298921,0.19021501787779,0.763002734237915,-5.62833864988456,"F","gse225158"
"LINC01770",-0.39116732835687,-1.01493206992589,-1.38278219690908,0.190231087951871,0.763002734237915,-4.79875787491118,"F","gse225158"
"MAMLD1",-0.134686535793459,5.11241710199873,-1.38269873096714,0.190256083688538,0.763002734237915,-5.61909076405048,"F","gse225158"
"AC108159.1",-0.466763722498628,1.29340852236241,-1.38235934918629,0.190357747010954,0.763172706448571,-5.09510429158132,"F","gse225158"
"CHPF",0.267757446612582,1.41243630245842,1.3823105495235,0.190372368848195,0.763172706448571,-5.1536884307009,"F","gse225158"
"WASHC5",0.119987380488107,6.05567437158503,1.38225700369839,0.190388413842556,0.763172706448571,-5.6659061710755,"F","gse225158"
"AC137735.2",-0.624464874570413,-1.89112262752123,-1.38183239334833,0.190515687701408,0.76335122545952,-4.70391316194599,"F","gse225158"
"TTC39B",0.163914488399343,5.39696354458962,1.38181004633375,0.190522387997895,0.76335122545952,-5.6394376171855,"F","gse225158"
"RHCG",-0.28265844542954,0.837754114608264,-1.38171961722085,0.190549503305614,0.76335122545952,-5.03592620655183,"F","gse225158"
"SYT1",0.199494570280852,9.41020804566146,1.38170826777955,0.190552906677528,0.76335122545952,-5.62566720996721,"F","gse225158"
