"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Dataset"
"LRRC8B",-0.0465950402581812,6.87644235016608,-0.319309735915796,0.752863134337037,0.914554023353792,-6.50733675098048,"gse225158"
"FAIM2",-0.0615891890826288,5.65795678667291,-0.319101715722755,0.75301849015999,0.91469530505081,-6.51032105965801,"gse225158"
"IL18",0.128187446904302,2.82508137739652,0.319021972052381,0.753078048023697,0.91469530505081,-6.29798786491101,"gse225158"
"RBPMS-AS1",0.184099305644531,-2.62669036388165,0.319010196922553,0.753086842606121,0.91469530505081,-5.40762711665813,"gse225158"
"AC005040.2",-0.180873496000875,0.284023250448639,-0.318830042373191,0.753221400335804,0.914815248011953,-5.96669271719761,"gse225158"
"FAM66E",-0.07671433920682,1.19256981693878,-0.318733700858886,0.75329336128795,0.914847657416352,-6.00823502594331,"gse225158"
"SLC37A3",-0.0404837245215733,5.01749299439632,-0.318657490320146,0.753350287324971,0.914847657416352,-6.49440430860315,"gse225158"
"AL731567.1",0.113426476374706,-0.45497452457138,0.318650501662627,0.753355507627798,0.914847657416352,-5.72794317317474,"gse225158"
"C19orf81",-0.10187863817766,0.378723353444737,-0.318569953864072,0.753415675124952,0.914877237821644,-5.84356130105181,"gse225158"
"AC009123.1",0.258141261844059,-2.69478512411877,0.318400764524899,0.753542061228728,0.914920133741806,-5.4113392043112,"gse225158"
"ZNF134",0.0444214540240471,3.25405751478374,0.318377568972536,0.753559389089886,0.914920133741806,-6.35301364454998,"gse225158"
"PIM2",0.0967484988204895,0.155384015448798,0.318364726473937,0.753568982927702,0.914920133741806,-5.81558697369446,"gse225158"
"GDF9",-0.0708845516006832,-0.1938743666876,-0.318330914155524,0.753594242219365,0.914920133741806,-5.74308142214312,"gse225158"
"AC090282.1",-0.0818621421818223,0.534692679532955,-0.318237346912919,0.753664142553868,0.914961519510989,-5.88989442955004,"gse225158"
"AC011474.1",0.0688618434695631,5.66298205203155,0.31818940436398,0.753699959352704,0.914961525301827,-6.50896489869476,"gse225158"
"ARMCX4",0.0326508058717346,6.55869235850485,0.318094995699913,0.753770491609913,0.914974164116077,-6.51084907443729,"gse225158"
"AC008121.2",0.203297021181627,-2.73178938154411,0.318031191085903,0.753818160983215,0.914974164116077,-5.36482965798886,"gse225158"
"EDARADD",-0.0830085092746816,1.60675893612994,-0.318013039108164,0.753831722779761,0.914974164116077,-6.07817172307248,"gse225158"
"AC009163.7",0.109091029085372,1.6842214515767,0.31794181219555,0.753884938978234,0.914974164116077,-6.09469296283349,"gse225158"
"COG8",-0.028357375447494,3.37022638137504,-0.317903660176856,0.753913444247334,0.914974164116077,-6.36887648616895,"gse225158"
"ESR2",-0.0393743250094528,3.81269159409689,-0.317867912987786,0.753940153076734,0.914974164116077,-6.42199679437974,"gse225158"
"EHD2",-0.114980645899481,0.563416731993512,-0.317793679286245,0.753995618458932,0.914974164116077,-5.86945577143757,"gse225158"
"AL139099.1",0.15324752997925,-1.74071313834969,0.317792003240724,0.753996870769889,0.914974164116077,-5.51624323765892,"gse225158"
"AC024257.1",-0.141673181483386,1.21129640410461,-0.317704009305494,0.754062619229204,0.915010489607549,-6.00764781359283,"gse225158"
"SMCR8",0.0390106276426719,2.47584073785198,0.317631742190608,0.754116618154525,0.91503255495963,-6.22505521436012,"gse225158"
"KCTD4",0.0866080742037127,2.81510102428023,0.317514545492283,0.754204191802117,0.915062443347063,-6.28093918122752,"gse225158"
"ANXA7",-0.0263476050954086,5.41774233154403,-0.317491945366907,0.754221079832023,0.915062443347063,-6.50550650519548,"gse225158"
"SPARC",-0.0598492579778005,4.72387125272311,-0.317442363147919,0.754258130778196,0.915062443347063,-6.48025362881566,"gse225158"
"Z95331.1",-0.113412293545178,-1.44915071785623,-0.317407056704292,0.754284514340646,0.915062443347063,-5.55230615334153,"gse225158"
"LSM7",0.0767760684137546,3.345510122481,0.317256197629179,0.754397250780805,0.91508453851938,-6.36812553857342,"gse225158"
"AC012557.2",-0.157019916147847,-1.9845348634362,-0.317242457798077,0.754407518787145,0.91508453851938,-5.46581992203356,"gse225158"
"E2F6",0.0399343214122631,3.97791031803123,0.317238899611981,0.754410177886951,0.91508453851938,-6.43278089573284,"gse225158"
"LDB3",-0.0758549837601386,6.71772260485008,-0.31699260603428,0.754594245363638,0.915204700787925,-6.51078251136803,"gse225158"
"HABP4",-0.0466959043246543,5.98222074703777,-0.316979310171588,0.75460418245265,0.915204700787925,-6.51245094267599,"gse225158"
"AC009159.2",0.122899674580981,-1.6021747001079,0.316921120122666,0.754647673165417,0.915204700787925,-5.54233842242173,"gse225158"
"U2AF1L5",0.390474001029414,0.386190891975527,0.316914624815927,0.754652527750566,0.915204700787925,-5.83261432960826,"gse225158"
"LINC00457",-0.146740599976523,2.93083535941133,-0.316850812709542,0.754700221404575,0.915219098000071,-6.33668569552484,"gse225158"
"ZNF875",-0.0316155098653471,5.57385988586951,-0.316706138462506,0.754808355772002,0.91530678635051,-6.50819175964391,"gse225158"
"AC104964.1",-0.0626165657663884,3.14999135866219,-0.31643531747917,0.755010790350087,0.915372090038891,-6.34282299105852,"gse225158"
"ZC3H7B",0.0349014763784747,4.98645680567403,0.316420312570805,0.755022006822031,0.915372090038891,-6.49304073329172,"gse225158"
"TSSK3",0.0502199408644345,2.64713406269018,0.316317727164585,0.755098692975879,0.915372090038891,-6.27285366816439,"gse225158"
"AC009019.2",-0.169177012491832,-2.02337508406294,-0.316307195581536,0.755106565847244,0.915372090038891,-5.49055932348651,"gse225158"
"LINC02726",-0.10935527191205,0.187719225038854,-0.316291462113772,0.755118327431922,0.915372090038891,-5.82494669631405,"gse225158"
"FAR1",-0.043797344293384,7.46906116139604,-0.316290174280419,0.755119290156979,0.915372090038891,-6.49855415849565,"gse225158"
"AC046168.2",0.0704486886730974,1.09352181854588,0.316267040346652,0.755136584093039,0.915372090038891,-5.98842759797786,"gse225158"
"RALBP1",0.0306370702549379,4.94147031053606,0.316250654818231,0.75514883329092,0.915372090038891,-6.49028623410509,"gse225158"
"AL022311.1",0.104296354853122,-0.765887900090445,0.316101546705434,0.755260303894819,0.915458515211024,-5.679475138725,"gse225158"
"EXOSC7",-0.0429111871502359,4.13767400946165,-0.316006592078494,0.755331293168003,0.915458515211024,-6.44891215648691,"gse225158"
"AL031432.3",0.125506935044337,-1.3531098217119,0.315957859042958,0.755367727463124,0.915458515211024,-5.58459159745801,"gse225158"
"MORN2",0.051735054712964,2.07531739887841,0.315899103677477,0.755411655535965,0.915458515211024,-6.16357043131281,"gse225158"
"NDUFS6",0.0521335569164899,3.70364754470709,0.315885412334233,0.755421891903567,0.915458515211024,-6.40964405055996,"gse225158"
"DLL4",0.144438609444789,-0.466189681118101,0.315867719831781,0.755435119816588,0.915458515211024,-5.70427118971156,"gse225158"
"ACLY",-0.0372786977420684,3.96857959992976,-0.315705716916375,0.755556245929889,0.915523617695064,-6.43312598976612,"gse225158"
"RPN2",0.0308211106068261,4.70818209474504,0.31570001351838,0.755560510356587,0.915523617695064,-6.48125972918573,"gse225158"
"TMEM183A",-0.0427214413883316,2.98537844113807,-0.315650464553919,0.755597558420545,0.915525088688537,-6.31166414486971,"gse225158"
"LINC02387",0.170222063898995,-2.51690623210885,0.315349622934857,0.755822512544012,0.915726306303493,-5.41504324801329,"gse225158"
"LGALS9",-0.106948119468679,1.61182142974761,-0.315332508563422,0.75583531047509,0.915726306303493,-6.06781010490679,"gse225158"
"MYL9",-0.133857612894187,-0.839206694648663,-0.315250532802776,0.755896612012,0.915732404967138,-5.63644845024415,"gse225158"
"OR2T11",-0.151132203441265,-1.12392695086247,-0.315229917140975,0.755912028680455,0.915732404967138,-5.67605508134556,"gse225158"
"MAL2",-0.0827544901063851,4.16218440311027,-0.315130536719402,0.755986348162522,0.915779015182034,-6.4521020466894,"gse225158"
"ZNF557",0.0282507536422529,3.38253622499743,0.314934488452091,0.756132965721434,0.915890607118996,-6.37030087684687,"gse225158"
"AC025165.4",-0.230134348566922,-2.49168861191005,-0.314911490887738,0.756150165406121,0.915890607118996,-5.42145796471946,"gse225158"
"KRTAP10-4",-0.14931862584474,-0.471259157473197,-0.314795865697124,0.756236642485818,0.915909774005762,-5.74008621058488,"gse225158"
"L2HGDH",-0.0542975567957889,5.86637859165992,-0.314686694270288,0.756318295760715,0.915909774005762,-6.51282701334207,"gse225158"
"LRR1",0.0635613813123442,0.972198536431748,0.314593188494328,0.756388234458535,0.915909774005762,-5.95769597974122,"gse225158"
