"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Dataset"
"PKLR",-0.623107584891102,-1.535769815529,-1.32112715979349,0.20243305942505,0.698630586958073,-4.51518515395059,"gse225158"
"AL596451.1",-0.899048863869112,1.59360827072369,-1.32084700702636,0.202524653517427,0.698788511494456,-4.67265736910363,"gse225158"
"CCDC6",-0.178616837895588,6.65191784378347,-1.32064754461822,0.202589886336609,0.698788511494456,-5.03586423371676,"gse225158"
"AC145343.1",0.338057982675217,-1.71023243008415,1.32062557452095,0.202597072519334,0.698788511494456,-4.51784240118104,"gse225158"
"TAL1",0.597728706946834,1.75527162921139,1.32052204468996,0.202630938718503,0.698788511494456,-4.70825071542518,"gse225158"
"VPS11",-0.177243253267337,3.22726441660342,-1.32046901402448,0.202648287592272,0.698788511494456,-4.87072886811713,"gse225158"
"AC005414.1",-0.959643316400648,-0.0209830821314708,-1.32044918021739,0.202654776482485,0.698788511494456,-4.55725696049938,"gse225158"
"LCAL1",0.671153094047024,-1.81302672695533,1.32033840938124,0.202691019625992,0.698788511494456,-4.51552039555969,"gse225158"
"PMS2",-0.125501244112424,4.84415451490481,-1.32020956692267,0.202733182055109,0.698788511494456,-4.99993535201588,"gse225158"
"ZNF777",-0.180609791074769,3.18921828854487,-1.32019812266554,0.202736927410044,0.698788511494456,-4.86869931228288,"gse225158"
"ASPDH",-0.329203046826616,0.703370751634536,-1.31983706347642,0.202855119026418,0.698788511494456,-4.6211856924466,"gse225158"
"ARC",-0.505072428912,0.0312977719662319,-1.3198043663616,0.202865825006999,0.698788511494456,-4.57912388022717,"gse225158"
"YEATS4",-0.141076899061283,3.41498515285623,-1.3197304696512,0.202890022566277,0.698788511494456,-4.89292213522468,"gse225158"
"AL589923.1",-0.673580666724764,-0.46723498810805,-1.31964533060385,0.202917904260618,0.698788511494456,-4.54500538561499,"gse225158"
"GPR171",1.02725585679622,0.553257161760628,1.31964360612026,0.202918469032973,0.698788511494456,-4.58469575548965,"gse225158"
"SPHK1",0.590177058993989,-1.1673932648546,1.31952223795625,0.202958220497633,0.698788511494456,-4.52401427115778,"gse225158"
"COX6B2",0.897456282511597,-2.68705866294619,1.31931758924497,0.203025262563152,0.698788511494456,-4.50907854028202,"gse225158"
"PRPF4B",-0.13017197968655,6.77894125706949,-1.31903621844378,0.203117466949276,0.698788511494456,-5.03833741313787,"gse225158"
"TNFRSF25",-0.341719619074496,2.7785418591018,-1.31901633091034,0.203123985283681,0.698788511494456,-4.81309069719806,"gse225158"
"PSMD5",0.156942259869853,4.91953940427345,1.31894573695007,0.203147124478138,0.698788511494456,-5.00605885389356,"gse225158"
"AC003965.1",0.676078721851275,-2.66235232801573,1.31892014342225,0.203155514003528,0.698788511494456,-4.50940385584965,"gse225158"
"SLC1A3",0.376176204221483,8.63021524137943,1.31880411355991,0.203193551866222,0.698788511494456,-5.01238108600154,"gse225158"
