"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Sex","Dataset"
"AC008764.2",-0.0214481988559127,-0.232831298565757,-0.0513696012174502,0.960265302576837,0.979599503299861,-5.9873250953353,"M","gse225158"
"DNTTIP2",-0.00395857594746052,2.82338990484839,-0.0512432536422418,0.960362937111625,0.97962459166944,-6.50851790733291,"M","gse225158"
"MED20",0.00607648986220886,1.66631544859099,0.0511711239424816,0.960418675339035,0.97962459166944,-6.29267514516751,"M","gse225158"
"DMD",0.00444279915537263,8.85046521556285,0.0511451453077253,0.960438750386295,0.97962459166944,-6.72907242070317,"M","gse225158"
"CENPK",-0.00592218911467971,2.09560928257847,-0.051123307411208,0.96045562569211,0.97962459166944,-6.36805654296144,"M","gse225158"
"AC079414.1",0.037022052551309,-2.22994649514834,0.0510865641253173,0.96048401923392,0.97962459166944,-5.66137608885916,"M","gse225158"
"TEX101",0.00833111625210349,-0.717598906276485,0.050966750397076,0.960576606254291,0.979650082919788,-5.91021713978361,"M","gse225158"
"WEE2",-0.01254469478775,-0.943283177539684,-0.0509537352906627,0.960586663820485,0.979650082919788,-5.87227913374872,"M","gse225158"
"AGMAT",0.00720502662271756,0.369936003194903,0.0506259755374632,0.960839946226078,0.979794137572239,-6.07504900829526,"M","gse225158"
"RB1CC1",-0.00377291121845237,7.0041731744173,-0.0505738901189383,0.960880196630717,0.979794137572239,-6.7886003912023,"M","gse225158"
"AC138409.3",-0.00378198858983536,3.10773369679181,-0.050560771841256,0.960890334150526,0.979794137572239,-6.55818028256252,"M","gse225158"
"PKNOX1",-0.0041558594425613,5.99198565327196,-0.050559068956127,0.960891650103687,0.979794137572239,-6.80353299440298,"M","gse225158"
"ATRX",-0.00385136868537927,7.97314576656311,-0.0504970501760182,0.960939576975445,0.979794137572239,-6.75970497160475,"M","gse225158"
"TSKS",-0.00753719902134755,-0.401139452995729,-0.0504694528204377,0.960960903713546,0.979794137572239,-5.95881977000933,"M","gse225158"
"SLC39A3",0.0109494897415611,1.0469908614407,0.0503156921242634,0.961079727812967,0.979875694689542,-6.18465118712141,"M","gse225158"
"AL121820.3",-0.0086948441297818,-0.0162309715476488,-0.0501949018890626,0.961173073528351,0.979931269597452,-6.0188516101309,"M","gse225158"
"AL512288.1",-0.00774570448211805,0.153218808307213,-0.0501226732309189,0.961228891553836,0.979948581482278,-6.04427972709677,"M","gse225158"
"MAP3K7CL",0.00379822089688339,3.45995834593607,0.0498356428520771,0.961450709749629,0.980135118112506,-6.61896572310065,"M","gse225158"
"FAM182B",0.00508757334260655,4.59845264882769,0.0496519416416179,0.961592676631081,0.980218517814085,-6.75081711232124,"M","gse225158"
"AC004938.2",-0.0147679879700265,-1.48867594425656,-0.0496292462461933,0.961610216053109,0.980218517814085,-5.78755414608198,"M","gse225158"
"AC060834.2",-0.011136945515604,0.0853989390572798,-0.0493765768347974,0.961805485149968,0.980377959170396,-6.0351240201938,"M","gse225158"
"RIPOR3",0.00797960370618844,1.51891426388125,0.0492093289101255,0.961934739938496,0.980427647468306,-6.26634033716766,"M","gse225158"
"AC100849.2",-0.011993851562012,-0.697527878180661,-0.0491944972078447,0.961946202431635,0.980427647468306,-5.91045599844761,"M","gse225158"
"TAX1BP1",0.00295281741437343,6.82426171346442,0.0491338774586177,0.961993051734099,0.980427647468306,-6.79341750837077,"M","gse225158"
"C19orf12",-0.00314610935357891,5.01931448447657,-0.0490724272863627,0.962040542979623,0.980427647468306,-6.78224285721077,"M","gse225158"
"LINC02493",-0.0100335740462262,-1.11877351417111,-0.0490621124491496,0.962048514730017,0.980427647468306,-5.84563722062297,"M","gse225158"
"LINC02652",-0.00862330941132389,1.76833233702337,-0.0490076779803243,0.962090584106637,0.980430921574259,-6.32202799910214,"M","gse225158"
"AL445242.1",0.00485675624951647,2.01007693930531,0.0486238985512831,0.962387189470714,0.980656178683262,-6.35207414445635,"M","gse225158"
"AC105430.1",-0.0185513267507427,0.666045149612637,-0.0486210919133434,0.962389358614257,0.980656178683262,-6.12588226117505,"M","gse225158"
"CD300E",-0.0172750111545593,-2.17705012411276,-0.04854278000933,0.962449883035391,0.980678247738521,-5.66070042020322,"M","gse225158"
"OR2L2",-0.0116835668624503,1.92601388837001,-0.0484077114744049,0.962554273197824,0.980745009745093,-6.33901821414878,"M","gse225158"
"AL365214.2",-0.0156384937450845,0.195788519696179,-0.0482506663335665,0.962675649340808,0.980781731047062,-6.05116764498032,"M","gse225158"
"NRDC",-0.00249069097237177,7.13227680890892,-0.0481945012538481,0.962719058134521,0.980781731047062,-6.78572465103356,"M","gse225158"
"PIK3CB",-0.00372937342006758,6.72201570627641,-0.0481747826626128,0.96273429824493,0.980781731047062,-6.79541997042205,"M","gse225158"
"PNPLA2",-0.00677166411831877,2.65074178765674,-0.0481599066923937,0.96274579559978,0.980781731047062,-6.47338881302186,"M","gse225158"
"LONP2",-0.00289584817541311,7.38857784368305,-0.0481053299045595,0.962787977041685,0.980785103828002,-6.77838645603336,"M","gse225158"
"RPL36A",0.0145931107723601,3.50520744113653,0.0479732421102689,0.962890065894803,0.980849501116579,-6.62567121778622,"M","gse225158"
"MAPKAPK5-AS1",0.00732606952512879,2.58794571541622,0.0476353007089027,0.963151259490505,0.981017257848206,-6.46386264905316,"M","gse225158"
"RBM19",0.00385918500894575,5.15816575472496,0.047616710361446,0.963165628035024,0.981017257848206,-6.78744845277953,"M","gse225158"
"CXorf40A",-0.010010047591602,-0.781321985020865,-0.0476092545758373,0.963171390641788,0.981017257848206,-5.89657439970002,"M","gse225158"
"ZNF772",-0.00362527371717692,3.09364398736549,-0.0475503453843948,0.963216921874102,0.981024032159819,-6.55788908173947,"M","gse225158"
"RAD9B",-0.00497040557956293,1.05302627590216,-0.0474950461071205,0.963259663114488,0.981027964468406,-6.18641008771686,"M","gse225158"
"AC009142.1",0.0142363509323197,-2.34451957626203,0.0472295964913557,0.963464832932782,0.981184363999907,-5.63913456474604,"M","gse225158"
"AC108449.1",-0.0175560968642417,3.05429863054858,-0.047187489804774,0.9634973780609,0.981184363999907,-6.55730662645448,"M","gse225158"
"THRB-AS1",0.00908067940808359,0.678669149419688,0.0471454268331462,0.963529889473276,0.981184363999907,-6.12555030598518,"M","gse225158"
"TMEM81",-0.0109708146388304,-1.0265458503894,-0.0470346681039121,0.9636154977204,0.981231939887854,-5.86276024521317,"M","gse225158"
"CDK13",0.00319445741420538,7.9053388660378,0.046825824850158,0.963776919359042,0.981287255881693,-6.76217697900637,"M","gse225158"
"HDLBP",-0.00259384038540699,6.13262803200616,-0.046825726182224,0.963776995623067,0.981287255881693,-6.80408378019204,"M","gse225158"
"AVEN",-0.00296371174006079,4.86245356353409,-0.0467693126230863,0.963820599773896,0.981287255881693,-6.7668179698248,"M","gse225158"
"NOL9",-0.00280499019605857,4.66957260115396,-0.0467542151885592,0.963832269167886,0.981287255881693,-6.7608948826305,"M","gse225158"
"LINC01509",0.0112537382625221,-1.42231322669629,0.0466608048404252,0.963904469862259,0.981287255881693,-5.79303535419665,"M","gse225158"
"AC009107.1",0.00798981325644701,-0.576779285501471,0.0466347653718618,0.963924596899907,0.981287255881693,-5.93148132428841,"M","gse225158"
"MRPS7",0.00815183616711555,2.34902483420168,0.0466041058546802,0.963948295009204,0.981287255881693,-6.41841497531047,"M","gse225158"
"AC034229.4",-0.00938636287869361,-1.84421978327921,-0.0465247970202184,0.964009596523467,0.981287255881693,-5.73088986140528,"M","gse225158"
"AC114956.2",0.0120692056293507,-1.41552419200834,0.0465115498912623,0.964019835874897,0.981287255881693,-5.80007739737204,"M","gse225158"
"GOLT1B",-0.0039886068060244,5.13401023129626,-0.0462861448556975,0.964194063493078,0.981425011499349,-6.79006332036458,"M","gse225158"
"AC004112.1",-0.00626413816636599,2.67691237457387,-0.0459325359473915,0.964467390853618,0.981663622671177,-6.47959606258648,"M","gse225158"
"MTPAP",-0.00284861792185201,4.0620486636896,-0.0457754229029426,0.964588835361306,0.981747629939755,-6.70214221109622,"M","gse225158"
"CACNA2D1",0.0034318580805478,9.02558357892478,0.0456452601069895,0.964689448734215,0.98181042959268,-6.72298493262451,"M","gse225158"
"PADI6",-0.0106991089038332,-2.27135286778374,-0.0455126706630899,0.964791938549636,0.981875133847635,-5.64788570389215,"M","gse225158"
"AL356805.1",-0.0150615046531708,0.89441528602185,-0.0452483805080818,0.964996233270752,0.98204343623004,-6.16214478017315,"M","gse225158"
"KRT23",0.0275882766441262,-2.08155688253277,0.0450336938638916,0.965162186791201,0.982117412097764,-5.70380782427641,"M","gse225158"
"ZNF726",0.00424065962990954,1.52031412839463,0.0450210773560275,0.965171939451629,0.982117412097764,-6.2679586424363,"M","gse225158"
"ANGPTL4",0.0136777755372764,2.3376543441058,0.0450032819425064,0.965185695457683,0.982117412097764,-6.43131918914578,"M","gse225158"
"GPC3",-0.00683782501358419,1.86061051017482,-0.0448250616615552,0.965323461932218,0.982217984977568,-6.33015176427028,"M","gse225158"
"TTTY4B",0.0107812536539129,-2.730223363381,0.0447081259795711,0.965413855327473,0.982270349515013,-5.57238462206637,"M","gse225158"
"AL162724.2",0.0284176125557532,-2.49116628586438,0.0445329476761785,0.965549272313412,0.982368517702097,-5.62296973524927,"M","gse225158"
"WDCP",-0.00392026186409634,1.79965379488901,-0.04440534936266,0.965647909584485,0.98239052756079,-6.31671480110556,"M","gse225158"
"IL20RB-AS1",-0.00905874766032687,0.481957128629476,-0.0443903238335129,0.965659524804323,0.98239052756079,-6.09468475465493,"M","gse225158"
"NPTXR",0.00391852613055923,3.41254440257999,0.0443538655519793,0.965687708270857,0.98239052756079,-6.61228695580618,"M","gse225158"
"AC107027.3",-0.00718281850453146,0.146037684649142,-0.0439688214722849,0.965985363289512,0.98261091094662,-6.0404059930789,"M","gse225158"
"LINC02060",-0.00680356920892926,3.74291101207061,-0.0439144691183097,0.966027380366528,0.98261091094662,-6.66092336417035,"M","gse225158"
"CGNL1",0.00578633113939561,4.1584965403287,0.0438885148803977,0.966047444324973,0.98261091094662,-6.71340827093418,"M","gse225158"
"AC073342.1",0.00458732949800373,4.06349281973656,0.043872122060084,0.96606011682993,0.98261091094662,-6.70605025301045,"M","gse225158"
"AL442663.3",0.0174451933176998,-1.91634679969999,0.0437200745764559,0.96617765795063,0.982660708980184,-5.70454021432123,"M","gse225158"
"AXDND1",-0.00533841002559854,1.82988127944394,-0.0437080338734697,0.966186966118001,0.982660708980184,-6.34023894969043,"M","gse225158"
"CASC18",0.0125133463504537,-1.90849500886226,0.0436066371313213,0.966265351945785,0.982700820648772,-5.71365889565065,"M","gse225158"
"LINC02128",0.00996897765543548,-0.603376326535567,0.0435194867834414,0.966332724758104,0.982729729196585,-5.92844717728094,"M","gse225158"
"ARMH3",0.00336150595244693,7.00013337265001,0.043371570547396,0.966447074158054,0.982798908309882,-6.7892237737256,"M","gse225158"
"VPS37D",0.00537481668873835,0.36156968058871,0.0433307251498748,0.966478650598174,0.982798908309882,-6.07499531120072,"M","gse225158"
"MAP1A",-0.00549229222534169,5.69491047543967,-0.04326167289262,0.966532033119174,0.982813583447368,-6.80386904427369,"M","gse225158"
"SLC38A7",-0.00323073566112336,3.53489404617697,-0.0431820279681455,0.966593604780511,0.982836584155626,-6.63138205865807,"M","gse225158"
"ERCC3",0.00311546893052764,4.78232634022913,0.0428856849642863,0.966822702832134,0.983029917708753,-6.76692638803393,"M","gse225158"
"RSRC2",-0.00226780474778684,5.54113901577081,-0.0427364001922599,0.966938113748286,0.983107647423006,-6.80117462731156,"M","gse225158"
"LINC01721",0.011306345026011,-1.81755493385302,0.0425336461471044,0.967094862673449,0.983166294619836,-5.71723343316708,"M","gse225158"
"ASTL",-0.0106783500069546,-0.898121641824072,-0.0425281994718995,0.967099073512904,0.983166294619836,-5.87988109612527,"M","gse225158"
"OR8A1",-0.00803478053520298,-0.689171666212388,-0.0424409572533372,0.967166520859072,0.983166294619836,-5.91290532178106,"M","gse225158"
"LRRC66",0.00429058214832168,2.46638019879141,0.04242392969084,0.967179684975876,0.983166294619836,-6.44483574591112,"M","gse225158"
"LINC01497",0.0100772805583252,-1.25886807081494,0.0424097833197748,0.967190621633385,0.983166294619836,-5.83078705375592,"M","gse225158"
"USP33",0.00267232022007759,7.01144639343548,0.0423387820597744,0.967245513310724,0.983174776837612,-6.78895611332514,"M","gse225158"
"MIPEP",0.00240912829039468,6.28273128177726,0.0422587346978959,0.967307398828332,0.983174776837612,-6.80286338245608,"M","gse225158"
"FAM53B-AS1",0.00499339826750668,3.04861819837519,0.0422477875648357,0.967315862198547,0.983174776837612,-6.55096068535623,"M","gse225158"
"RFX2",-0.00298202063590536,5.36777693305106,-0.0417338400926082,0.967713206563761,0.983464208282136,-6.79395971618977,"M","gse225158"
