Gene	Mock_1	Mock_2	Mock_3	Morphine_1	Morphine_2	Morphine_3
Ercc2	178	118	196	177	155	197
Ercc3	281	202	236	269	282	335
Ercc4	323	218	287	310	304	372
Ercc5	394	291	327	362	360	419
Ercc6	551	403	519	846	811	1147
Ercc6l	5	10	12	25	3	14
Ercc6l2	976	693	799	830	760	961
Ercc8	251	170	229	258	221	264
Erdr1	63	23	46	48	52	56
Ereg	10	10	9	1	3	12
Erf	873	581	785	890	929	1259
Erg	55	44	32	24	23	30
Ergic1	223	189	197	250	275	292
Ergic2	279	253	262	266	305	344
Ergic3	1287	815	1148	1101	1195	1551
Erh	45	23	42	42	20	46
Eri1	584	346	536	506	470	684
Eri2	196	150	228	219	213	265
Eri3	503	313	352	408	384	565
Erich1	110	67	80	80	101	90
Erich2	17	9	6	7	9	20
Erlec1	478	354	400	437	432	556
Erlin1	113	86	86	89	87	87
Erlin2	1715	1083	1379	2919	3113	3686
Ermap	32	36	8	18	9	35
Ermard	150	119	143	145	173	182
Ermn	19068	12304	15845	11664	10801	14480
Ermp1	7004	4604	6289	6172	6245	7426
Ern1	410	297	266	335	341	422
Ern2	7	7	3	3	2	7
Ero1l	200	151	190	196	172	247
Ero1lb	44	43	53	52	58	55
Erp27	14	21	6	38	32	70
Erp29	351	274	397	335	341	349
Erp44	386	264	317	316	311	354
Errfi1	1203	699	955	3084	3523	4110
Erv3	15	12	7	10	19	10
Esam	18	24	11	25	24	37
Esco1	221	203	199	276	187	280
Esco2	23	17	34	16	22	17
Esd	282	190	215	233	242	252
Esf1	337	289	343	340	345	414
Esm1	4	3	1	1	3	3
Espl1	26	25	12	12	13	21
Espn	4	9	6	3	3	14
Espnl	6	9	8	2	5	6
Esr1	40	68	44	31	37	44
Esr2	4	22	14	15	5	5
Esrp1	30	27	32	19	22	47
Esrp2	31	49	48	45	32	43
Esrra	36	15	32	60	62	86
Esrrb	9	15	14	8	16	22
Esrrg	45	62	61	46	45	45
Esx1	4	4	0	1	1	3
Esyt1	61	41	50	43	45	92
Esyt2	537	465	545	598	496	827
Esyt3	29	44	24	26	22	39
Etaa1	101	43	105	90	63	114
Etd	2	4	1	2	0	3
Etf1	709	531	724	782	716	985
Etfa	213	118	155	146	171	166
Etfb	121	62	106	96	93	91
Etfdh	369	243	405	295	357	406
Ethe1	50	39	52	38	44	51
Etl4	97	116	115	83	91	92
Etnk1	4217	2966	3596	3739	3473	4483
Etnk2	20	17	11	12	14	12
Etnppl	140	101	144	164	152	255
Etohd2	80	63	98	86	78	64
Etohi1	78	72	82	89	56	84
Etos1	12	13	17	9	8	9
Ets1	60	75	74	46	66	68
Ets2	46	31	57	54	39	57
Etv1	1277	774	1096	1309	1346	1613
Etv2	4	4	2	3	2	2
Etv3	229	152	216	209	195	253
Etv4	29	17	15	16	21	39
Etv5	135	103	136	33	58	86
Etv6	306	189	292	191	190	250
Eva1a	19	3	9	18	19	19
Eva1b	2	1	1	0	0	4
Eva1c	25	18	7	53	52	78
Evc	29	42	24	60	48	62
Evc2	19	35	23	30	25	30
Evf-2_5p	1	0	0	0	0	0
Evf1_1	0	0	0	0	0	0
Evf1_2	0	0	0	0	0	0
Evi2a	5155	3402	4595	3544	3186	4236
Evi2b	19	8	8	3	24	12
Evi5	353	232	269	280	250	277
Evi5l	2241	1620	2098	2051	2021	2784
Evl	74	52	64	65	49	87
Evpl	15	10	8	5	11	10
Evx1	1	11	5	1	0	3
Evx2	3	7	6	8	4	11
Ewsr1	1920	1332	1500	1414	1371	1825
Exd1	18	28	26	16	17	25
Exd2	491	385	437	391	491	535
Exo1	22	34	16	14	15	19
Exo5	48	29	40	44	41	59
Exoc1	461	351	351	445	420	552
