"gene","effect_size","pval","adj_pval"
"MDGA2",-0.149654380817855,0.00156293111682986,0.0937371094386423
"ANK3",0.0686406596073356,0.146884287434951,0.9988234108663
"PWRN1",-0.230173242794962,1.14809145768589e-06,0.000765394305123929
"PEX5L",-0.00776265481922776,0.869689470942746,0.9988234108663
"AL033523.1",-0.0922180983942145,0.0513071854827976,0.751753633447583
"MOBP",-0.0386603046743323,0.413910206086574,0.9988234108663
"LINC01170",0.0357935944362442,0.44938067200175,0.9988234108663
"OPCML",-0.0724743811425716,0.125609946679065,0.9988234108663
"FAM155A",-0.109284666370144,0.020911431342884,0.530486992773973
"SLC8A1",-0.0983636134766585,0.0376377174658719,0.65742737931654
"CHST11",-0.0780116820742891,0.0992155390626489,0.977978855429855
"ZNF536",0.146913938115443,0.00190393439924657,0.110373008651975
"PITPNC1",-0.0720663097347696,0.127753341003384,0.9988234108663
"PLCB1",-0.107546015043749,0.0230360782931916,0.535722751004455
"CELF2",-0.108448550086743,0.0219108601562892,0.530486992773973
"AC079352.1",-0.0378757658210484,0.423449110221119,0.9988234108663
"DCC",-0.0822617667475078,0.0821248139825033,0.90175725459953
"NAV2",-0.0363289190698319,0.442629017859507,0.9988234108663
"CNTNAP4",-0.138887020639838,0.00333349486898007,0.164617030566917
"ITPR2",0.102213093160055,0.0307624623195372,0.585418732713029
"PDE1C",0.0651191845139358,0.168758610366463,0.9988234108663
"TMEFF2",-0.00946427631819148,0.841469361804391,0.9988234108663
"ADGRV1",-0.0528291052679455,0.264221080285216,0.9988234108663
"ARHGAP24",-0.0330756433064842,0.484547144586441,0.9988234108663
"TTLL7",0.0562443645522253,0.234578766663578,0.9988234108663
"DTNA",-0.0939158375334199,0.0471688546059758,0.720135184824059
"NRCAM",-0.0652982518301571,0.167590360822364,0.9988234108663
"NKAIN3",-0.0865243610972143,0.0674637065663968,0.830322542355654
"ANO4",0.103108447762234,0.0293276607158144,0.578951024931509
"TMEM144",0.129686116108662,0.00613017246804263,0.235920351316287
"TNR",-0.0568140156783372,0.229873269537574,0.9988234108663
"SLC5A11",-0.0210209225600562,0.656863273844179,0.9988234108663
"LRRC4C",-0.0911414717949729,0.0540858317161713,0.771446796891284
"ST6GALNAC3",-0.130076414089783,0.00597802146933284,0.234432214483641
"SH3GL3",0.057992297455841,0.220354236035748,0.9988234108663
"PLCL1",0.0319994887262424,0.498872546594687,0.9988234108663
"FGF14",-0.0675076051545963,0.153672283529551,0.9988234108663
"RBFOX1",-0.154346011592258,0.00110672566763146,0.0750322486529805
"CNDP1",0.191295761099353,5.28233338915715e-05,0.00826996338725031
"MACROD2",-0.115121208018172,0.0149773215772421,0.451250623773683
"LINC00609",-0.0187272339089594,0.692271686029601,0.9988234108663
"KCNMA1",-0.110312797685802,0.0197371306777734,0.518467956860543
"TMTC2",0.0377345263223728,0.425179950576906,0.9988234108663
"DPYD",0.0917893178650121,0.0523991563129556,0.756115818527495
"LRP1B",0.0671419895649756,0.15591278621578,0.9988234108663
"MT-ATP6",-0.170599227196132,0.000311699008115222,0.0277065784991308
"OBI1-AS1",-0.062527117311609,0.186360078365821,0.9988234108663
"NEBL",-0.0889818488585467,0.0600388926206453,0.802011599017262
"KCND2",-0.102828811598355,0.0297694639337062,0.580867588950364
"NAV3",-0.180295769860649,0.000138797765526574,0.0146102911080605
"PPP2R2B",0.0385654688740888,0.415056475592325,0.9988234108663
"KCNQ3",-0.102982147188259,0.029526502271507,0.578951024931509
"IMMP2L",-0.121707332494326,0.0101079144596148,0.348548774469475
"MT-CO2",-0.230936919031027,1.05800426102432e-06,0.000765394305123929
"FRMD4A",0.00624428758409409,0.895012487901976,0.9988234108663
"SOX6",-0.0942824305177184,0.0463131207332951,0.71727476072213
"PCDH15",-0.0325872800495022,0.491020297160735,0.9988234108663
"SNTG1",-0.0435640594148966,0.357224865258912,0.9988234108663
"AK5",-0.0994498322900556,0.0355765669624905,0.626899858369877
"DLGAP1",-0.0560816473812669,0.235935301873827,0.9988234108663
"GABRB1",-0.131531701548008,0.00544024413007909,0.229062910740172
"MAML2",-0.169059493880612,0.000353133533913028,0.0307072638185242
"CLMN",0.174905724654447,0.000218687158263843,0.0218687158263843
"EDIL3",0.0594404876269181,0.209046288923657,0.9988234108663
"KAZN",0.0739544399183659,0.118070365229366,0.9988234108663
"HS3ST5",0.0707055837121739,0.135106529703635,0.9988234108663
"RBMS3",-0.0885979739641068,0.061151945448351,0.807343593890395
"CSMD3",-0.0889207055838117,0.0602150456813272,0.802011599017262
"PRUNE2",0.092773175283767,0.0499219306704856,0.742333541568559
"MT-CO3",-0.227112739195597,1.58893519071678e-06,0.000834656116732972
"KCNH8",0.135244230500872,0.00426052946380864,0.198164161107378
"SPOCK3",0.032960387576788,0.486070653255582,0.9988234108663
"SORBS1",-0.0283541920560271,0.549021854221509,0.9988234108663
"SLCO3A1",0.0761450998197467,0.107568023891532,0.9988234108663
"AC090015.1",0.0293682756980634,0.53482483413993,0.9988234108663
"SLC35F1",-0.0517574932167679,0.274032706886891,0.9988234108663
"PDE4D",-0.134136142002741,0.00458570797942285,0.20941620401841
"ENPP2",0.0841211992820639,0.0754392053736648,0.869616200272793
"AL589740.1",-0.0923136370569011,0.0510664910256098,0.750977809200144
"SMYD3",-0.108426912387815,0.0219372666448085,0.530486992773973
"RALYL",-0.0630314833661338,0.182832940414682,0.9988234108663
"PARD3",-0.0424356849524498,0.3698153428135,0.9988234108663
"FGF12",-0.0776638915391762,0.100731304259331,0.977978855429855
"ARHGAP26",-0.0619273643506853,0.190619420714585,0.9988234108663
"LMCD1-AS1",-0.00225359980392014,0.962013749222972,0.9988234108663
"GALNT13",-0.102994849054854,0.029506452756775,0.578951024931509
"ST6GAL1",-0.0435204746001212,0.357706118316675,0.9988234108663
"LPAR1",0.00696140244411766,0.883037635764127,0.9988234108663
"PCDH7",-0.0656304624916836,0.165439097029415,0.9988234108663
"UNC5C",0.0230954253428947,0.625486262036017,0.9988234108663
"ESRRG",-0.0958580232203844,0.042782588994234,0.68727050593147
"SVEP1",0.121327074369672,0.0103449894500454,0.350677608476115
"MT-ND3",-0.207622597411317,1.14494858929033e-05,0.00327128168368666
"NEGR1",-0.120687511732058,0.0107549062771378,0.358496875904593
"MYO1D",0.0777498413821058,0.100355005592961,0.977978855429855
"RGS7",-0.120137245483062,0.0111190810957299,0.364560035925572
"HDAC2-AS2",0.0617119438786937,0.192166664626216,0.9988234108663
"LINC01505",-0.15661469947735,0.000933512088926563,0.0668144383594444
"ADARB2",0.132592836108629,0.00507608136106914,0.216003462173155
"MAML3",-0.102416836321227,0.0304307730178378,0.585418732713029
"HPSE2",-0.0823139788809565,0.0819307363241043,0.90175725459953
"SLIT2",-0.0188679406816414,0.690079086575365,0.9988234108663
"HHIP",-0.020405988595226,0.666284966351773,0.9988234108663
"CSGALNACT1",-0.105977438621822,0.0251113092961762,0.545898028177743
"PHACTR1",-0.0632294083820113,0.181462412035316,0.9988234108663
"LINC00639",0.0161216782476134,0.733322439766832,0.9988234108663
"ATRNL1",-0.0560816413500322,0.235935352257466,0.9988234108663
"LINC01630",0.0643983803907569,0.173523044727809,0.9988234108663
"KCTD8",-0.113647591937482,0.0163153330090279,0.472908203160229
"MAP7",0.110228319573863,0.0198313993499158,0.518467956860543
"MAP3K5",-0.105094580867026,0.0263490571444856,0.562768806940208
"CNTN1",-0.102239995751178,0.0307184883829546,0.585418732713029
"ZEB1",-0.0718400468073829,0.128953985444011,0.9988234108663
"MT-ND4",-0.20832351890226,1.06947227228191e-05,0.00327128168368666
"NTRK2",0.0540280858669884,0.253533580890794,0.9988234108663
"PDZD2",0.00464343756751588,0.921826994404181,0.9988234108663
"ZFPM2",-0.0330458156948756,0.484941172689987,0.9988234108663
"NTRK3",-0.0629003745026196,0.183745016770095,0.9988234108663
"CREB5",0.113657961293246,0.0163055623723233,0.472908203160229
"GRIK2",-0.0624088161206139,0.187194616165686,0.9988234108663
"GRM3",-0.0945798777310066,0.0456284329441098,0.717139496685735
"FRMD5",0.0564766449204717,0.232651885291126,0.9988234108663
"AL354809.1",-0.140318070591929,0.00302262395429449,0.155006356630487
"XYLT1",-0.0211183799122553,0.655375030163361,0.9988234108663
"DOCK5",0.0649789844170984,0.169677544038895,0.9988234108663
"MEF2C",-0.0467207870888847,0.323456877380819,0.9988234108663
"SPOCK1",0.11634612731413,0.0139396842226199,0.428913360695996
"PTPRG",-0.0709306902855934,0.13386800235064,0.9988234108663
"NTM",0.0745222624109375,0.115273851115397,0.9988234108663
"KLHL4",-0.0441898397069587,0.350360155196783,0.9988234108663
"FMN2",-0.106844860516405,0.0239445467816251,0.541119701279664
"ROR1",-0.165607584826038,0.000465456341563658,0.0387880284636381
"KCNMB4",0.145577795412945,0.00209386824529558,0.117964408185666
"SAMD12",0.0276382185652855,0.559156134267089,0.9988234108663
"SFMBT2",-0.167355815368184,0.000404955790821996,0.0344643226231486
"GLIS3",-0.049960832154023,0.291035447556883,0.9988234108663
"ELMO1",0.0619824512919043,0.190225238878988,0.9988234108663
"PRKCA",-0.124618243453813,0.00844765866290668,0.310005822491988
"DOCK8",-0.0390785696265399,0.408877082454981,0.9988234108663
"PRKG1",-0.0647278484671412,0.171332971559379,0.9988234108663
"MMP16",-0.0434710076642408,0.35825281450567,0.9988234108663
"UTY",0.0693073117391709,0.142999005026582,0.9988234108663
"SAMD4A",-0.0215079628244046,0.649439528376845,0.9988234108663
"APBB1IP",-0.0457945085611088,0.333142573172517,0.9988234108663
"GRIA4",-0.204758741022456,1.50953902763672e-05,0.00402543740703126
"CADM2",-0.0685372941800101,0.147493868203981,0.9988234108663
"BCL2",0.015677172571438,0.740406346609576,0.9988234108663
"MAN2A1",-0.0347543683827787,0.46265298962542,0.9988234108663
"SLC44A1",0.0245827279215932,0.60339688787382,0.9988234108663
