contrast,contrast_type,tf,activity,padj
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,ATF1,3.3185264860053016,0.01650158417315591
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,ATF4,3.58207187982525,0.007722031042956915
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,BCLAF1,3.2850979325421976,0.018086162550751003
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,CREB1,4.251158876572108,0.0012735166777525818
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,DLX1,7.193794626676083,4.3103940123853945e-10
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,DLX2,3.4316950472602263,0.011935650334242294
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,E2F7,-3.1307621571023687,0.027904148442541694
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,EPAS1,3.183147872384935,0.024117215840436163
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,ERG,2.96756747109486,0.03937999049318458
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,ETS1,3.4466500493902648,0.011935650334242294
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,ETS2,3.6237131050321043,0.007632153350321074
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,ETV7,3.7472503453902695,0.005875741760060308
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,FOXO3,4.335493788104089,0.0009584098932828124
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,FOXP2,-3.3300029982894546,0.01628917471937051
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,GLIS3,3.4908996290076457,0.010538825013691218
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,HDAC1,-3.4343506355063362,0.011935650334242294
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,HIF1A,4.229327261327247,0.0012864979942961241
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,HSF1,2.978696116986548,0.038753542937444534
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,HSF2,2.8852632529253075,0.047500719565597205
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,JUN,4.103501225948517,0.0016741838086485783
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,KAT6B,4.132041129841911,0.0015780498351027456
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,KDM5A,3.6643343571783813,0.006862990660496016
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,KLF4,3.060013090827411,0.03291325974749286
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,KLF7,4.805244473201566,0.00017026186383223052
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,MEF2B,3.053634655485554,0.03291325974749286
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,NFKB,3.8269171324013525,0.004490260616358398
LEMUR_Sex_OUD_Vulnerability_Putamen,LEMUR_Specific,NFKB1,3.0838605726818447,0.031178206933036457
