TF,Activity_Score,P_value,FDR,Significant
NFE2,-1.239125918208915,0.21529886999738948,0.5687005806899855,FALSE
ARID2,1.233340336395187,0.21744881473854366,0.5687005806899855,FALSE
ESRRA,-1.227538813422243,0.21962014294938464,0.5687005806899855,FALSE
TFAP2A,1.2163314415986528,0.2238586888417698,0.5736378901570351,FALSE
FOXO3,1.2086222179850719,0.22680801659452454,0.5752038358995158,FALSE
RUNX1,-1.1890543028095826,0.23441829898706598,0.586679089429178,FALSE
MYOD1,-1.1847847582825461,0.23610256038003505,0.586679089429178,FALSE
PROX1,-1.1688777138852244,0.2424529037246382,0.59643414316261,FALSE
ZNF384,-1.1381047611272879,0.2550767402880237,0.620074271616046,FALSE
ESR1,1.1251922850239389,0.26050756167473027,0.620074271616046,FALSE
IRF4,1.1234661624396982,0.26123956383837255,0.620074271616046,FALSE
ATF7,-1.1213351696951437,0.2621452205206048,0.620074271616046,FALSE
MXI1,1.1031689236705935,0.26995381402012825,0.6324632214185862,FALSE
MAF,-1.0967437073313426,0.2727534442903281,0.6329938424096294,FALSE
FOXJ2,1.0844336702478659,0.2781725616406734,0.6395369174168752,FALSE
USF1,1.0583966701706786,0.28987463689365195,0.654995851658212,FALSE
IKZF1,-1.0576353075973024,0.2902217391493704,0.654995851658212,FALSE
GATA2,1.0443306611111585,0.2963324318349445,0.6627070748308759,FALSE
SREBF2,-1.032158216645332,0.30199800529489745,0.6692928765995024,FALSE
ZNF143,-1.0025457600023848,0.3160800772633775,0.6810496757129213,FALSE
KLF3,-1.0018098888989881,0.31643542022908333,0.6810496757129213,FALSE
PBX2,-0.9988608618928607,0.3178620979989027,0.6810496757129213,FALSE
MITF,-0.9955711296378231,0.31945856801785316,0.6810496757129213,FALSE
ZNF24,0.9921069111589516,0.3211453755394263,0.6810496757129213,FALSE
POU5F1,-0.9806531089982301,0.3267638348293952,0.687041909128472,FALSE
SP2,-0.9622620458405912,0.33591798906014714,0.6956237545029915,FALSE
EBF1,-0.9611019250031971,0.3365009218937235,0.6956237545029915,FALSE
ELF3,0.9422158393091873,0.3460821461368299,0.7094683995805012,FALSE
MEF2A,0.9274992142767824,0.3536673995462517,0.7190262833750241,FALSE
SP4,-0.9193666302895118,0.3579038373148195,0.7212465538923226,FALSE
NFE2L2,0.9135077722393214,0.36097554777314333,0.7212465538923226,FALSE
E2F1,0.9080641026469852,0.3638443549220628,0.7212465538923226,FALSE
ARNT,0.8955733762201776,0.37048066035027655,0.7212465538923226,FALSE
MAFF,0.8921805686116498,0.37229615562980833,0.7212465538923226,FALSE
CUX1,-0.8894078751767132,0.373783914115567,0.7212465538923226,FALSE
YY1,-0.8866214160475439,0.3752827597488508,0.7212465538923226,FALSE
ATF3,-0.8703381980850126,0.3841156099119543,0.728979933849985,FALSE
E2F3,0.8628965379146843,0.38819435435590055,0.728979933849985,FALSE
SIX2,-0.8628923967349922,0.3881966314404392,0.728979933849985,FALSE
ZEB1,-0.8495146537075404,0.3955949797701731,0.7372451895716862,FALSE
IRF1,-0.8383881889995385,0.4018127206663694,0.7432024758189991,FALSE
TCF12,0.8293946768946108,0.40688111262768895,0.7469608485553095,FALSE
MEF2B,-0.8176562893475484,0.4135534761421023,0.7469932103740126,FALSE
ZNF274,-0.8162647176078756,0.41434874919915743,0.7469932103740126,FALSE
PRDM1,-0.8133657085190923,0.41600841390747856,0.7469932103740126,FALSE
JUND,0.8060754824712907,0.42019932735556953,0.7490509748512326,FALSE
RUNX3,0.7932054987003232,0.42765810437489354,0.7535378954766515,FALSE
AHR,0.77240804424143,0.4398727909522045,0.7535378954766515,FALSE
TFDP1,0.7602970310653956,0.44707705613834253,0.7535378954766515,FALSE
ZBED1,0.7595818224688049,0.44750458804275695,0.7535378954766515,FALSE
ZNF639,-0.7594378620483972,0.4475906716886533,0.7535378954766515,FALSE
KLF6,0.7593512799945292,0.4476424494714597,0.7535378954766515,FALSE
BHLHE22,0.7558263261948976,0.449753330393969,0.7535378954766515,FALSE
SMAD1,0.7474969095203852,0.45476366761600867,0.7535378954766515,FALSE
CTCF,-0.7379856284574378,0.46052318241866325,0.7535378954766515,FALSE
FOXK2,-0.7337623486321437,0.4630935915442511,0.7535378954766515,FALSE
NR4A1,0.7336191441713765,0.46318088984480615,0.7535378954766515,FALSE
SP3,0.7265049815179849,0.4675292547554591,0.7535378954766515,FALSE
MYC,-0.7259296669926302,0.467881888416866,0.7535378954766515,FALSE
BCL6,-0.7236166905209638,0.4693010917372661,0.7535378954766515,FALSE
KLF1,-0.7205287359411119,0.47119951347961236,0.7535378954766515,FALSE
BACH2,-0.7166777595943505,0.4735729519791675,0.7535378954766515,FALSE
TP73,-0.7147069579933015,0.47479013739382514,0.7535378954766515,FALSE
FOXO4,0.699537203205372,0.48421637149500046,0.7635719704344238,FALSE
ATF6,-0.6919660431738701,0.48895865395206733,0.7661390374026024,FALSE
E2F7,0.6818732465590955,0.4953191035695088,0.7711930346715138,FALSE
ZFX,-0.6672783549732675,0.5045943495719498,0.7799855995953082,FALSE
ZBTB11,0.6630356735143812,0.507307707053859,0.7799855995953082,FALSE
SMAD5,0.6422718320260982,0.5206967001501708,0.7936059350805694,FALSE
MAFG,0.6388711241679248,0.5229067742791045,0.7936059350805694,FALSE
BATF,0.6277925214999114,0.5301398658367327,0.7936059350805694,FALSE
TAL1,-0.625888187601089,0.5313882829364172,0.7936059350805694,FALSE
NCOA1,0.6204962756082668,0.534931105271712,0.7936059350805694,FALSE
GATA6,-0.6185697166597035,0.5361998569274422,0.7936059350805694,FALSE
PKNOX1,-0.6064295383936966,0.544229558659285,0.7936059350805694,FALSE
MNT,0.6051611370933234,0.5450719352546691,0.7936059350805694,FALSE
BCL11A,0.6049671478922544,0.5452008253195781,0.7936059350805694,FALSE
MYCN,0.5918108286825463,0.5539772711128754,0.7970179947373718,FALSE
TCF3,-0.5859586941364975,0.5579032729291441,0.7970179947373718,FALSE
PAX5,-0.5820108320047068,0.5605593847119055,0.7970179947373718,FALSE
FOXP2,-0.5769195442262304,0.563993807173454,0.7970179947373718,FALSE
FOXA1,-0.5747009122845759,0.5654935903732738,0.7970179947373718,FALSE
ZEB2,0.5724984349154328,0.5669843458497563,0.7970179947373718,FALSE
NR1H2,-0.5640419397411901,0.5727255899714194,0.8005141768918703,FALSE
NANOG,-0.5464897857183887,0.5847293070471509,0.8074768955677948,FALSE
BACH1,-0.5408977172178986,0.5885780844356685,0.8074768955677948,FALSE
FOS,-0.5383688129448433,0.5903224528385487,0.8074768955677948,FALSE
NFE2L1,0.5376238621399901,0.590836752854484,0.8074768955677948,FALSE
EOMES,0.5316028247029146,0.595001107977736,0.8086755390194644,FALSE
TWIST1,0.5095301279121918,0.6103806859808003,0.812071150091838,FALSE
RBPJ,0.5086347780701577,0.6110082468553227,0.812071150091838,FALSE
GRHL2,-0.5048179903762641,0.6136866788133589,0.812071150091838,FALSE
TEAD2,-0.5043709869202104,0.6140007021075284,0.812071150091838,FALSE
EGR1,0.5043648470251819,0.614005015923097,0.812071150091838,FALSE
ETV4,0.4854246760287942,0.6273751318895605,0.8253170184215608,FALSE
BHLHE40,-0.47115897034782706,0.6375272161104399,0.8342111444849374,FALSE
POU4F2,-0.45747239204371054,0.6473315416105174,0.8425585144771814,FALSE
RUNX2,-0.4478508800781868,0.6542608203057761,0.8470955883958997,FALSE
HOXB13,0.43597237992239984,0.6628567691568304,0.8537317550396873,FALSE
PBX3,0.4180477633156805,0.6759121960094125,0.8654576308923194,FALSE
MEIS1,0.4138318632166302,0.6789972470008847,0.8654576308923194,FALSE
SOX11,0.3861486053901376,0.6993866142313874,0.8813256337940548,FALSE
NCOA3,0.3822563473833235,0.702271230239235,0.8813256337940548,FALSE
HNF4G,-0.3814299002238428,0.7028842777999835,0.8813256337940548,FALSE
SPIB,-0.3775336907573343,0.7057770319407675,0.8813256337940548,FALSE
NCOA2,-0.36822393428345845,0.7127062652064708,0.8854835416201607,FALSE
POU2F1,0.36106024990737967,0.7180544076405124,0.8876451471334977,FALSE
ATF1,0.3162578907673751,0.7518067703345345,0.9145019149370874,FALSE
AR,0.3138932698622726,0.7536021021174193,0.9145019149370874,FALSE
OTX2,0.3137864793214204,0.7536832140648294,0.9145019149370874,FALSE
MEIS2,-0.3070327261379678,0.7588184626220768,0.9145019149370874,FALSE
FOXP1,0.30137309104221016,0.7631300112536286,0.9145019149370874,FALSE
JUNB,0.3001416339451257,0.7640691229957821,0.9145019149370874,FALSE
SOX13,-0.2978699595415292,0.7658024165733335,0.9145019149370874,FALSE
