TF,Activity_Score,P_value,FDR,Significant
KLF1,-1.1552301415115727,0.24799619467463255,0.5557771862797568,FALSE
FOXP2,-1.143194354433012,0.2529579057480663,0.5601834462934745,FALSE
SNAI2,1.1356890347392747,0.2560867313324268,0.5601834462934745,FALSE
ATF7,-1.1343261731820935,0.25665775427788673,0.5601834462934745,FALSE
FOXM1,1.1175329313509874,0.26376652722920174,0.5620882966943904,FALSE
TCF4,1.1175056594177246,0.26377818114271306,0.5620882966943904,FALSE
IRF9,-1.1164053106808396,0.2642486813144943,0.5620882966943904,FALSE
PPARA,1.1073282607131292,0.2681520300319945,0.5655979793111817,FALSE
MAF,-1.0986821287116106,0.27190674038457896,0.5687382653044111,FALSE
FOXO4,1.0932805736441142,0.2742706295602315,0.5689415538811414,FALSE
NCOA1,1.068536394701969,0.28527862243079977,0.579492027113761,FALSE
SOX11,1.0660111092692581,0.2864186200254704,0.579492027113761,FALSE
MAFB,1.0617881149830646,0.288331886497158,0.579492027113761,FALSE
SMAD1,1.0612162260930933,0.28859164696900447,0.579492027113761,FALSE
JUNB,1.046941948606853,0.2951263530472499,0.5879104334512676,FALSE
PRDM1,-1.033480834739061,0.3013789348803985,0.5926413171386389,FALSE
NFYB,-1.0316769892279545,0.3022234605328517,0.5926413171386389,FALSE
IRF1,-1.01605873148369,0.30960141950739367,0.5975597256305832,FALSE
BCL11A,1.0116903953921208,0.3116861092379677,0.5975597256305832,FALSE
ETV1,-1.0112980459700491,0.31187380102632034,0.5975597256305832,FALSE
FOXO3,0.9966195046703806,0.31894923484655324,0.6064868026248854,FALSE
TCF12,0.9705876596346436,0.33175365355280717,0.6260914815169519,FALSE
MYOD1,-0.9419971393457749,0.34619410450494137,0.6484680614234349,FALSE
THAP11,0.9102186676619763,0.362707201162065,0.6743667221605801,FALSE
DUX4,0.9009012185548575,0.3676408432788307,0.6785136151690184,FALSE
FOXP1,-0.8873809552483795,0.37487383341570313,0.6837520764013366,FALSE
ELF1,0.8791357196151124,0.3793276924263579,0.6837520764013366,FALSE
NFKB2,-0.87761388637508575,0.38015329081593585,0.6837520764013366,FALSE
PBX3,0.8753644064140589,0.3813756601441718,0.6837520764013366,FALSE
HNF1A,0.8506466520252159,0.3949656660787002,0.7030949091188209,FALSE
E2F2,-0.845487175235525,0.39783889014675816,0.7032222635692698,FALSE
SIX2,-0.8188419508922168,0.4128765927743226,0.7246994740304543,FALSE
MAFK,0.8123246967758525,0.41660534299178636,0.726166257575961,FALSE
HOXB13,0.7874959964639522,0.4309915711340967,0.7421714669782518,FALSE
TP63,0.786283645842781,0.4317013313897401,0.7421714669782518,FALSE
ZNF384,-0.78037230379722,0.4351717652322363,0.7430483882536822,FALSE
NCOA3,0.7635641647100954,0.44512701126935356,0.7532481826277431,FALSE
SP3,0.7601794489083259,0.44714732753599096,0.7532481826277431,FALSE
MAFG,0.7549109644965122,0.450302406480548,0.7535060268441169,FALSE
E2F7,0.7366060747884873,0.4613619396604687,0.7537178886247589,FALSE
LYL1,-0.7298271342763938,0.4654958562753647,0.7537178886247589,FALSE
NFE2L1,0.7273679438075897,0.46700058639595426,0.7537178886247589,FALSE
RUNX1,-0.7273463998561628,0.4670137806247369,0.7537178886247589,FALSE
NFE2L2,0.7258947106150625,0.4679033193493881,0.7537178886247589,FALSE
CLOCK,-0.7250095400549689,0.46844617779068676,0.7537178886247589,FALSE
POU2F1,0.6955900031832349,0.4866856284963366,0.7725974873380329,FALSE
HNF4G,-0.6948155251270709,0.48717091746216457,0.7725974873380329,FALSE
WT1,0.6902364201142132,0.49004552353955466,0.7725974873380329,FALSE
BACH1,-0.6749454781187988,0.49971040520596627,0.7725974873380329,FALSE
USF1,0.6688083370550629,0.5036177478250873,0.7725974873380329,FALSE
STAT2,0.665466091700043,0.505752424512548,0.7725974873380329,FALSE
NR4A1,0.6645590328601726,0.5063325793884521,0.7725974873380329,FALSE
EOMES,0.6595404726147414,0.5095487654648787,0.7725974873380329,FALSE
FOXK2,0.6592561565443947,0.5097312913720212,0.7725974873380329,FALSE
FLI1,0.6573422306838698,0.5109608880402927,0.7725974873380329,FALSE
IKZF1,0.6494876985718607,0.516023195102822,0.7752280543207173,FALSE
TCF7,0.6439777616233181,0.5195898547309887,0.7752280543207173,FALSE
MNT,0.6389850525990011,0.5228326558246219,0.7752280543207173,FALSE
ARID3A,0.6355728693632196,0.5250548575080555,0.7752280543207173,FALSE
GRHL2,-0.6266480395887931,0.5308899709204226,0.7763051272242613,FALSE
SMAD3,0.6206273696252484,0.5348448272483453,0.7763051272242613,FALSE
YY1,-0.620296047798877,0.5350628964533752,0.7763051272242613,FALSE
MEIS1,0.6134649985918673,0.5395689193898389,0.7773657399501279,FALSE
TCF3,-0.609809412436343,0.5419880657022804,0.7773657399501279,FALSE
ATF6,0.5990270757817082,0.549154829261761,0.7794688548329558,FALSE
KLF6,0.5968916270604314,0.550579737804046,0.7794688548329558,FALSE
SP4,-0.5901191295149683,0.5551107847421237,0.7794688548329558,FALSE
HOXA9,-0.5851514698143183,0.558445873174617,0.7794688548329558,FALSE
PBX2,-0.584354772283161,0.5589816488841914,0.7794688548329558,FALSE
ATF1,-0.5627247549656087,0.5736223247947962,0.7941263304512751,FALSE
SRF,-0.5566047803131564,0.5777974869798757,0.7941263304512751,FALSE
FOXJ2,0.5507469426047843,0.5818071600921755,0.7941263304512751,FALSE
ZEB2,-0.5502493114103206,0.5821483856694607,0.7941263304512751,FALSE
RFX2,-0.5182144112171629,0.6043086810306395,0.8185481190522864,FALSE
CREB3,0.5149706830864158,0.6065735065487063,0.8185481190522864,FALSE
SOX6,0.49326529023889465,0.621825150261944,0.8314432011140547,FALSE
ATF2,0.4919505945684988,0.6227542701571406,0.8314432011140547,FALSE
TEAD2,-0.48304197220498324,0.6290659346349927,0.8348818327399644,FALSE
ELK1,-0.47893866438225124,0.6319822638270647,0.8348818327399644,FALSE
E2F3,0.46938164292509355,0.6387968673551456,0.8394660403462909,FALSE
HINFP,0.45093516412526946,0.652036278772774,0.84532898571788,FALSE
POU5F1,-0.45046170056854934,0.6523775641618493,0.84532898571788,FALSE
MXI1,0.4455599550672945,0.6559151423404213,0.84532898571788,FALSE
TCF7L2,0.4402135186160994,0.6597824695085792,0.84532898571788,FALSE
ELF3,0.4338259967794532,0.6644148019666309,0.84532898571788,FALSE
SOX13,-0.43192079603105604,0.6657989796301597,0.84532898571788,FALSE
XBP1,0.429660092951651,0.6674429168893204,0.84532898571788,FALSE
TWIST1,0.4258720691876646,0.6702010683580004,0.84532898571788,FALSE
POU4F2,-0.41558679465898934,0.677712391297034,0.8505290510777775,FALSE
NFIC,0.38895945655713127,0.6973061383680081,0.8707653767680101,FALSE
KDM5B,0.384162674626794,0.7008578809992394,0.8708679610436093,FALSE
EBF1,-0.37551695958784304,0.7072760358236025,0.8718114052492987,FALSE
ZEB1,0.3737855764629429,0.7085638512783144,0.8718114052492987,FALSE
CREB3L1,0.3671704068836861,0.7134919119407901,0.8735925360836015,FALSE
NR2C2,0.36234022127408183,0.7170978050448107,0.8737453838167353,FALSE
GFI1B,0.34105739728701345,0.7330603724530789,0.8888799685300619,FALSE
CTCF,-0.33150244358670994,0.740264995523821,0.8933005474830724,FALSE
PKNOX1,-0.3227170898074978,0.7469095082989621,0.8935605778543713,FALSE
MYB,-0.32170713238293086,0.7476745740215773,0.8935605778543713,FALSE
KLF3,-0.317109540715213,0.7511604857660252,0.8935605778543713,FALSE
OTX2,0.3049858871005271,0.7603769010488839,0.8963292914831725,FALSE
